dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-09-01,1,1,1,1,1,0,0,0,6,0,14,0,0
2016-10-01,1,5,0,1,0,0,0,0,25,4,198,5,0
2016-11-01,0,0,0,0,0,0,0,0,12,2,143,2,1
2016-12-01,0,0,0,0,0,0,0,0,13,5,93,3,0
2017-01-01,0,0,0,0,0,0,0,0,28,5,277,0,0
2017-02-01,0,0,0,0,0,0,0,0,37,9,286,1,0
2017-03-01,0,0,0,0,0,0,0,0,30,8,241,5,0
2017-04-01,3,38,2,2,1,0,0,0,38,8,206,10,0
2017-05-01,4,154,1,3,1,0,0,0,34,8,150,4,0
2017-06-01,5,43,2,2,0,0,0,0,65,28,270,10,0
2017-07-01,4,20,2,2,0,0,0,0,50,12,213,9,2
2017-08-01,4,86,0,1,0,0,0,0,18,4,76,7,1
2017-09-01,7,342,2,3,1,0,0,0,352,125,1348,23,3
2017-10-01,27,543,20,9,7,46,5,14,381,229,1850,2267,93
2017-11-01,27,390,17,9,4,78,9,79,253,203,1376,891,57
2017-12-01,14,683,4,6,1,20,4,21,122,135,677,449,32
2018-01-01,28,924,16,11,5,70,15,55,326,733,3164,1446,53
2018-02-01,30,314,17,12,6,58,3,51,193,129,1073,729,38
2018-03-01,20,495,9,9,2,51,8,41,179,151,1044,577,31
2018-04-01,19,481,6,6,1,40,6,33,145,120,872,459,27
2018-05-01,32,788,16,13,6,74,5,56,233,161,1257,1239,57
2018-06-01,26,504,14,8,2,31,4,10,161,146,818,549,36
2018-07-01,23,286,10,7,2,23,1,21,130,161,847,453,22
2018-08-01,16,354,6,6,3,28,10,30,149,175,1017,403,20
2018-09-01,27,754,14,9,3,47,11,37,226,181,884,459,40
2018-10-01,28,427,15,12,7,39,6,26,184,165,935,555,38
2018-11-01,29,658,15,14,5,32,3,26,210,187,1052,502,26
2018-12-01,25,407,12,8,3,27,4,12,158,103,592,450,34
2019-01-01,21,517,7,6,2,35,3,33,175,195,817,506,25
2019-02-01,22,444,10,9,3,32,34,46,146,165,672,413,29
2019-03-01,20,619,7,8,3,44,1,36,169,153,722,544,27
2019-04-01,19,504,3,10,2,41,2,29,177,183,890,679,36
2019-05-01,15,505,3,7,0,33,2,24,133,107,518,372,34
2019-06-01,13,592,2,6,1,13,2,2,92,70,174,393,27
2019-07-01,12,207,2,4,1,11,0,6,66,42,218,382,13
2019-08-01,9,299,0,3,0,9,1,5,85,87,257,342,25
2019-09-01,3,4,0,2,0,8,0,2,34,14,150,262,16
2019-10-01,2,11,0,2,0,5,1,3,32,28,184,280,12
2019-11-01,1,2,0,1,0,2,0,0,25,21,110,216,8
2019-12-01,3,5,2,3,1,10,1,3,34,33,127,244,14
2020-01-01,0,0,0,0,0,2,1,1,19,24,68,241,15
2020-02-01,0,0,0,0,0,4,0,0,22,17,57,167,11
2020-03-01,2,2,1,1,0,11,1,0,35,27,108,251,18
2020-04-01,3,8,1,2,1,3,0,3,16,29,112,30,8
2020-05-01,1,2,0,1,0,1,0,1,6,21,67,38,6
2020-06-01,0,0,0,0,0,0,0,0,5,16,52,28,4
2020-07-01,1,26,0,1,0,7,5,4,14,16,25,23,6
2020-08-01,1,1,0,1,0,1,0,1,6,5,25,22,3
