dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-09-01,1,32,1,1,1,1,0,1,2,1,1,0,0
2016-10-01,4,187,3,3,2,23,0,22,51,30,68,19,2
2016-11-01,3,65,2,1,0,9,1,8,12,13,44,9,3
2016-12-01,2,41,1,1,0,10,0,9,11,13,5,1,1
2017-01-01,2,14,1,1,0,3,0,3,4,3,15,7,4
2017-02-01,1,6,0,1,0,3,0,2,4,2,0,16,0
2017-03-01,5,94,4,2,0,15,1,16,26,37,118,45,3
2017-04-01,3,77,2,3,2,16,0,16,24,25,83,31,3
2017-05-01,4,19,1,3,0,9,0,6,16,11,74,86,5
2017-06-01,5,68,3,2,0,14,0,13,17,14,34,157,6
2017-07-01,6,45,4,5,4,11,4,9,14,16,70,93,12
2017-08-01,8,129,5,2,0,33,4,30,50,54,295,27,2
2017-09-01,8,41,3,6,1,22,2,14,42,25,152,138,5
2017-10-01,13,30,9,7,3,23,3,21,37,34,266,242,20
2017-11-01,5,21,1,3,0,28,5,21,45,40,294,666,19
2017-12-01,3,9,1,2,1,21,5,9,25,21,231,134,10
2018-01-01,11,24,7,4,0,23,5,20,32,37,262,168,19
2018-02-01,8,14,5,3,0,14,2,14,32,26,219,138,32
2018-03-01,7,29,4,3,0,33,4,29,43,52,308,207,22
2018-04-01,7,10,4,2,0,13,8,10,28,32,194,167,10
2018-05-01,11,17,6,6,2,27,5,16,34,28,312,152,14
2018-06-01,14,33,7,6,2,34,7,32,51,49,340,170,20
2018-07-01,13,23,6,3,0,26,2,19,39,27,253,157,11
2018-08-01,12,22,3,4,1,22,4,19,37,38,250,202,20
2018-09-01,9,20,4,5,1,21,5,14,30,32,175,168,15
2018-10-01,13,29,5,4,1,33,6,27,48,41,223,272,16
2018-11-01,7,9,2,5,1,7,3,7,23,21,238,175,19
2018-12-01,7,11,5,3,1,13,2,10,20,25,182,131,20
2019-01-01,14,75,9,8,4,16,5,16,38,41,343,191,29
2019-02-01,8,12,3,5,2,0,2,0,20,26,293,224,31
2019-03-01,8,30,3,4,0,14,3,10,37,47,374,157,16
2019-04-01,11,21,4,4,0,17,1,15,26,24,229,136,19
2019-05-01,3,10,0,3,0,6,1,5,15,13,151,147,13
2019-06-01,4,6,3,2,0,6,2,4,13,12,150,142,14
2019-07-01,3,12,2,3,1,9,1,7,20,16,142,104,22
2019-08-01,3,11,2,2,1,11,2,6,27,21,206,106,10
2019-09-01,5,16,2,3,0,9,4,9,20,26,201,85,11
2019-10-01,5,13,4,4,3,10,0,9,28,24,239,97,15
2019-11-01,6,18,3,4,0,8,0,8,19,19,203,79,10
2019-12-01,6,12,2,4,1,13,1,10,24,28,262,98,8
2020-01-01,7,41,3,5,1,21,3,18,27,28,148,92,15
2020-02-01,5,22,1,5,1,12,1,12,22,28,168,93,13
2020-03-01,7,12,3,5,1,13,1,9,23,17,245,106,14
2020-04-01,5,5,4,4,1,8,1,5,27,17,135,101,17
2020-05-01,7,8,4,5,2,10,5,7,39,44,183,115,19
2020-06-01,2,2,1,1,0,1,2,2,9,6,91,120,23
2020-07-01,4,8,2,4,1,10,5,7,35,37,304,76,16
2020-08-01,1,4,0,1,0,3,2,2,33,32,255,127,17
