dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-11-01,1,178,0,1,0,0,0,0,23,1,48,0,0
2016-12-01,1,113,0,1,0,0,0,0,7,1,6,0,0
2017-01-01,1,233,0,1,0,0,0,0,40,9,74,0,0
2017-02-01,3,276,2,3,2,2,0,2,32,14,89,0,0
2017-03-01,3,102,1,3,1,2,0,0,23,9,52,0,0
2017-04-01,2,148,0,2,0,0,1,1,14,4,22,0,0
2017-05-01,3,100,1,3,1,11,1,8,45,17,108,0,0
2017-06-01,4,192,1,3,0,24,2,23,91,78,278,0,0
2017-07-01,3,73,0,3,0,7,1,6,29,16,77,0,0
2017-08-01,6,77,4,3,1,5,0,4,21,61,139,0,0
2017-09-01,8,141,3,2,0,19,1,17,52,40,207,0,0
2017-10-01,10,205,2,3,0,78,4,72,130,123,519,1,0
2017-11-01,8,138,1,3,0,58,4,55,117,80,482,0,0
2017-12-01,9,127,0,3,0,80,3,77,147,121,463,0,0
2018-01-01,12,91,2,4,1,53,3,47,94,84,497,0,0
2018-02-01,11,122,1,4,1,63,5,54,120,125,636,0,0
2018-03-01,11,105,0,4,0,72,8,65,114,121,579,0,0
2018-04-01,10,144,0,3,0,120,22,100,196,190,773,0,0
2018-05-01,11,111,1,4,0,84,6,78,148,143,648,1,0
2018-06-01,14,112,3,5,1,60,6,56,143,100,592,776,21
2018-07-01,9,45,0,4,0,43,6,35,88,74,434,177,4
2018-08-01,11,112,1,4,0,98,7,89,183,178,763,122,6
2018-09-01,15,118,3,6,1,82,1,82,147,163,739,248,14
2018-10-01,10,95,1,4,0,72,8,62,132,144,532,191,9
2018-11-01,8,81,0,4,0,67,4,66,122,111,528,172,10
2018-12-01,7,33,0,4,0,39,3,29,67,54,350,121,7
2019-01-01,10,67,2,7,1,54,9,45,85,97,427,108,9
2019-02-01,10,43,2,3,0,44,7,37,82,71,311,237,8
2019-03-01,9,68,3,6,3,74,6,66,113,100,284,251,10
2019-04-01,15,73,5,6,1,34,4,26,74,43,391,132,5
2019-05-01,19,94,4,11,3,45,3,44,104,78,531,218,11
2019-06-01,14,69,3,6,1,49,10,45,94,77,458,155,8
2019-07-01,15,75,3,7,0,66,4,61,113,111,473,127,8
2019-08-01,18,114,5,7,2,90,5,83,155,158,579,210,19
2019-09-01,13,58,2,6,1,62,7,52,116,105,561,255,16
2019-10-01,15,73,4,9,2,80,13,61,143,107,525,315,19
2019-11-01,15,85,4,8,1,71,8,68,160,124,661,267,23
2019-12-01,9,43,0,6,0,40,5,33,110,65,363,229,20
2020-01-01,16,52,5,7,0,48,3,40,142,137,693,201,8
2020-02-01,15,67,2,7,0,64,4,54,150,124,602,189,7
2020-03-01,21,188,4,11,3,106,11,99,246,195,630,185,7
2020-04-01,20,187,5,8,2,149,22,120,274,250,836,528,24
2020-05-01,19,120,7,9,2,92,6,96,200,166,1655,293,17
2020-06-01,15,82,2,7,1,74,5,71,186,136,1941,215,12
2020-07-01,14,94,3,9,1,59,2,48,154,97,1028,238,16
2020-08-01,20,106,7,8,1,59,5,57,168,117,1227,238,17
