dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-03-01,5,164,5,2,2,0,0,0,31,4,73,0,0
2016-04-01,5,438,1,3,1,1,0,1,25,43,167,3,0
2016-05-01,7,298,2,4,1,2,0,1,27,12,126,2,3
2016-06-01,9,331,4,6,3,5,0,6,73,33,418,2,2
2016-07-01,10,174,5,7,3,5,0,5,35,21,148,3,3
2016-08-01,8,203,2,7,2,5,0,4,33,33,211,3,0
2016-09-01,10,287,4,5,0,20,0,19,43,45,179,3,2
2016-10-01,12,178,4,6,1,23,3,20,29,102,369,5,1
2016-11-01,9,151,1,3,0,17,1,17,17,18,53,2,2
2016-12-01,8,143,0,2,0,14,3,10,14,13,101,2,2
2017-01-01,10,140,1,3,0,22,1,21,22,22,60,2,1
2017-02-01,10,106,0,2,0,11,2,9,11,11,50,7,1
2017-03-01,11,170,1,3,1,19,0,20,19,20,69,1,3
2017-04-01,11,111,1,4,0,15,0,15,15,15,38,2,1
2017-05-01,12,58,2,4,1,15,2,11,15,13,54,5,5
2017-06-01,13,122,4,5,0,24,0,23,24,23,94,4,5
2017-07-01,14,47,4,5,2,36,1,33,39,35,186,3,8
2017-08-01,13,118,3,6,1,42,4,41,51,54,236,6,5
2017-09-01,7,58,1,5,1,17,2,17,17,21,92,7,6
2017-10-01,11,48,2,5,1,12,0,13,12,13,35,8,9
2017-11-01,7,39,1,3,1,18,1,16,18,18,49,12,9
2017-12-01,9,76,1,4,0,29,2,26,29,28,78,16,7
2018-01-01,3,13,0,2,0,7,1,6,9,7,26,15,14
2018-02-01,9,82,1,3,0,38,2,35,68,50,353,3,6
2018-03-01,11,45,5,6,0,19,0,20,36,27,184,11,12
2018-04-01,8,51,1,4,0,15,3,11,38,19,146,10,11
2018-05-01,9,76,1,5,0,13,3,12,69,25,251,6,11
2018-06-01,4,35,0,2,0,12,1,9,70,53,320,9,8
2018-07-01,5,21,0,3,0,13,1,6,106,91,639,14,12
2018-08-01,5,52,1,3,0,16,1,21,154,165,1106,9,8
2018-09-01,7,89,0,4,0,15,5,13,157,149,1109,9,9
2018-10-01,7,153,1,3,1,30,7,21,223,193,1241,11,7
2018-11-01,11,69,4,5,0,47,1,41,122,109,713,16,17
2018-12-01,10,29,4,8,3,26,0,26,80,44,375,21,6
2019-01-01,5,18,0,5,0,15,1,16,36,20,176,19,8
2019-02-01,9,34,1,6,1,25,0,23,83,47,266,14,4
2019-03-01,7,21,0,5,0,20,1,19,58,128,468,17,6
2019-04-01,11,46,3,6,1,34,2,31,87,91,450,19,26
2019-05-01,11,28,5,6,0,18,1,20,73,43,274,9,10
2019-06-01,12,54,3,6,1,38,3,30,129,104,523,12,8
2019-07-01,8,17,1,5,0,18,2,13,89,71,249,11,9
2019-08-01,3,6,0,2,0,17,2,3,83,43,254,18,8
2019-09-01,11,46,4,5,1,21,0,36,42,60,149,10,10
2019-10-01,10,35,1,6,0,30,8,22,51,53,154,9,11
2019-11-01,7,45,2,6,1,18,2,11,42,28,107,6,11
2019-12-01,6,20,0,5,0,9,1,9,21,17,86,11,8
2020-01-01,6,22,0,3,0,12,1,12,23,18,101,6,5
2020-02-01,8,40,1,3,0,14,2,14,38,36,195,3,11
2020-03-01,13,106,3,6,1,39,5,37,80,228,728,9,11
2020-04-01,10,125,1,5,0,44,2,44,226,201,711,5,9
2020-05-01,9,124,0,5,0,50,5,44,258,214,721,12,5
2020-06-01,8,33,2,4,0,28,5,27,106,78,458,7,11
2020-07-01,4,7,0,3,0,6,1,5,27,14,141,13,6
2020-08-01,2,4,0,2,0,6,2,2,22,12,61,6,8
