dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2017-03-01,1,29,0,1,0,1,0,0,1,0,0,3,0
2017-04-01,4,42,3,4,3,3,0,3,3,3,2,3,3
2017-05-01,1,1,0,1,0,0,0,0,1,1,0,0,1
2017-06-01,5,57,3,4,1,10,2,8,18,14,30,23,4
2017-07-01,7,74,4,3,1,23,1,21,38,28,78,10,6
2017-08-01,7,44,1,2,0,17,2,15,25,29,100,8,5
2017-09-01,5,100,0,2,0,17,1,14,23,22,60,4,1
2017-10-01,3,60,0,2,0,19,1,19,21,23,45,13,0
2017-11-01,6,78,3,4,2,35,4,32,45,39,112,23,14
2017-12-01,12,160,8,6,3,26,2,24,69,49,303,74,20
2018-01-01,13,241,4,5,0,32,3,20,89,63,453,83,25
2018-02-01,15,127,4,5,0,33,6,28,85,83,410,42,23
2018-03-01,14,137,3,6,1,70,5,64,102,103,452,53,23
2018-04-01,9,144,1,4,1,64,7,59,92,90,461,46,19
2018-05-01,12,291,4,8,2,147,26,120,216,187,631,56,15
2018-06-01,12,174,3,7,1,79,5,72,130,127,580,43,14
2018-07-01,16,178,9,8,4,85,5,75,139,131,693,54,30
2018-08-01,10,139,2,6,1,72,13,58,95,119,641,40,12
2018-09-01,13,140,5,7,2,77,20,62,97,120,693,56,21
2018-10-01,11,141,4,5,1,73,10,57,96,82,525,28,19
2018-11-01,12,75,2,6,0,44,13,29,70,71,451,32,13
2018-12-01,18,264,7,8,3,97,16,72,132,131,680,44,9
2019-01-01,15,60,3,5,0,23,13,21,26,45,198,27,7
2019-02-01,5,12,0,4,0,5,1,8,7,11,63,6,4
2019-03-01,4,28,1,3,0,11,1,4,13,6,26,15,4
2019-04-01,5,65,1,3,0,18,1,18,28,20,91,9,3
2019-05-01,2,43,0,2,0,11,3,13,17,21,55,16,3
2019-06-01,2,10,1,2,0,6,0,3,9,5,28,19,7
2019-07-01,4,8,1,2,0,6,0,3,9,5,49,13,3
2019-08-01,5,48,0,2,0,20,5,19,37,33,84,8,3
2019-09-01,5,28,0,2,0,12,1,9,15,14,52,11,7
2019-10-01,5,18,1,3,0,8,1,6,10,7,34,10,4
2019-11-01,4,24,0,4,0,14,4,7,20,17,76,15,3
2019-12-01,3,26,0,3,0,11,5,7,18,14,77,16,5
2020-01-01,3,13,1,2,0,8,1,8,9,11,62,9,4
2020-02-01,1,6,0,1,0,2,0,2,3,4,25,9,0
2020-03-01,1,6,0,1,0,1,0,1,1,1,2,15,3
2020-04-01,2,12,0,2,0,4,2,2,6,5,26,7,4
2020-05-01,4,29,0,3,0,11,1,7,20,11,84,23,6
2020-06-01,2,11,0,2,0,2,3,4,3,9,27,10,2
2020-07-01,2,5,0,2,0,3,0,3,3,3,6,11,4
2020-08-01,1,5,0,1,0,3,0,1,3,1,3,12,4
