dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-05-01,8,76,3,2,0,2,0,2,25,17,305,66,20
2016-06-01,7,25,2,2,0,9,0,6,31,19,150,63,41
2016-07-01,7,19,2,2,0,2,0,2,6,4,50,43,34
2016-08-01,4,11,1,2,0,3,2,2,24,17,315,37,26
2016-09-01,12,26,5,5,3,7,0,6,28,15,273,46,23
2016-10-01,7,70,1,3,0,13,2,12,28,45,249,49,35
2016-11-01,7,78,2,4,2,20,1,20,34,27,139,44,32
2016-12-01,9,50,3,4,1,12,1,11,30,42,287,48,28
2017-01-01,4,6,0,3,0,2,0,3,7,8,88,39,28
2017-02-01,6,24,1,2,0,3,0,3,12,12,103,61,26
2017-03-01,4,52,1,3,1,2,0,2,18,5,149,46,37
2017-04-01,2,14,0,2,0,1,0,1,15,10,182,40,23
2017-05-01,10,44,4,3,0,6,2,4,29,27,317,43,23
2017-06-01,1,1,0,1,0,1,1,0,12,11,229,34,25
2017-07-01,2,9,0,2,0,0,0,0,9,7,73,36,33
2017-08-01,1,2,0,1,0,0,0,0,9,6,39,38,21
2017-09-01,3,22,0,2,0,0,0,0,16,17,198,33,17
2017-10-01,7,35,3,4,1,13,2,10,41,47,439,34,28
2017-11-01,5,29,0,3,0,17,1,17,29,33,186,34,24
2017-12-01,5,9,1,2,0,5,1,4,9,18,118,27,20
2018-01-01,2,3,0,2,0,0,0,0,5,16,161,33,15
2018-02-01,2,3,0,2,0,0,0,0,6,10,109,39,16
2018-03-01,7,31,3,4,1,9,2,7,25,25,168,31,23
2018-04-01,4,17,1,3,0,2,1,1,7,6,46,18,16
2018-05-01,6,55,2,2,0,3,0,3,15,15,98,80,26
2018-06-01,5,14,1,3,0,4,0,3,12,17,130,54,21
2018-07-01,8,45,4,2,0,8,0,9,20,17,92,41,26
2018-08-01,8,40,2,2,0,16,0,16,23,27,104,44,24
2018-09-01,7,42,2,2,0,18,2,15,28,26,56,33,22
2018-10-01,6,29,0,2,0,7,0,8,14,15,51,47,22
2018-11-01,6,53,1,3,1,16,1,15,25,26,107,37,26
2018-12-01,8,34,2,2,0,12,0,10,20,17,44,35,25
2019-01-01,8,72,1,4,1,17,0,18,20,23,36,34,31
2019-02-01,6,60,1,2,0,10,0,8,15,11,24,37,26
2019-03-01,9,102,2,3,1,16,0,16,18,20,38,40,29
2019-04-01,9,57,1,2,0,15,0,14,27,22,81,28,27
2019-05-01,8,37,0,2,0,10,2,10,20,25,44,32,17
2019-06-01,6,36,1,2,0,18,2,15,22,22,69,28,26
2019-07-01,6,42,1,2,0,10,0,10,19,21,48,26,26
2019-08-01,4,29,1,2,0,15,1,13,22,19,26,37,20
2019-09-01,4,6,0,2,0,1,0,1,8,2,59,34,24
2019-10-01,6,70,0,2,0,15,0,15,18,22,33,33,17
2019-11-01,5,25,1,2,0,10,0,11,14,16,50,41,36
2019-12-01,6,50,1,2,0,27,1,27,31,31,44,23,22
2020-01-01,6,56,0,2,0,23,2,22,30,29,41,34,18
2020-02-01,7,58,2,2,0,23,2,18,27,25,55,26,28
2020-03-01,8,38,2,3,0,12,1,12,21,18,100,32,31
2020-04-01,4,37,0,2,0,15,0,14,21,20,45,43,21
2020-05-01,7,44,1,2,0,14,2,12,16,17,33,40,29
2020-06-01,8,84,3,4,1,17,0,16,21,22,33,31,15
2020-07-01,9,83,2,5,1,20,1,22,22,25,34,26,14
2020-08-01,6,25,2,2,0,11,0,11,13,13,8,18,13
