dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-12-01,8,24,4,4,0,12,0,3,12,3,75,2,5
2016-01-01,5,167,1,4,0,67,3,64,86,78,626,10,1
2016-02-01,6,76,0,4,0,27,4,23,54,37,235,14,0
2016-03-01,6,42,0,5,0,21,5,15,27,25,239,12,4
2016-04-01,5,18,0,4,0,8,1,10,17,18,150,12,2
2016-05-01,7,30,2,5,0,15,10,10,27,30,183,9,7
2016-06-01,6,31,1,4,0,19,3,12,33,22,220,4,0
2016-07-01,7,52,0,5,0,18,1,22,29,47,380,4,1
2016-08-01,4,4,0,4,0,2,0,2,5,3,35,9,2
2016-09-01,4,8,1,4,0,8,2,3,15,8,60,9,1
2016-10-01,1,1,0,1,0,0,0,1,4,5,31,1,0
2016-11-01,4,9,2,4,1,3,0,3,31,15,133,17,4
2016-12-01,1,1,1,1,0,2,1,0,6,2,47,8,2
2017-01-01,3,3,1,2,0,2,0,2,9,13,98,4,2
2017-02-01,7,15,1,4,0,7,3,3,15,14,95,6,2
2017-03-01,1,5,0,1,0,0,0,0,6,3,47,7,1
2017-04-01,3,5,1,3,1,3,0,1,6,3,35,4,1
2017-05-01,3,6,2,2,0,3,4,0,5,5,69,1,1
2017-06-01,1,13,0,1,0,0,0,0,1,0,14,4,2
2017-07-01,1,3,0,1,0,0,0,0,0,0,0,2,2
2017-08-01,4,15,1,4,0,6,4,2,8,11,136,9,2
2017-09-01,1,12,0,1,0,0,0,0,3,3,17,3,0
2017-10-01,1,1,0,1,0,0,0,0,3,0,4,4,0
2017-11-01,0,0,0,0,0,0,0,0,2,0,8,6,1
2017-12-01,1,1,0,1,0,0,1,0,1,3,17,7,2
2018-01-01,1,44,0,1,0,39,0,0,44,2,78,9,2
2018-02-01,1,1,0,1,0,2,0,0,5,0,15,5,2
2018-03-01,6,40,1,4,0,3,1,42,6,54,123,14,1
2018-04-01,3,6,0,3,0,1,1,1,5,4,37,8,1
2018-05-01,5,20,1,5,1,17,0,4,19,5,46,7,0
2018-06-01,1,4,0,1,0,1,1,7,3,10,15,7,1
2018-07-01,0,0,0,0,0,1,0,0,1,0,3,2,2
2018-08-01,1,1,0,1,0,0,0,0,0,0,0,6,2
2018-09-01,1,1,0,1,0,0,0,0,2,2,18,8,3
2018-10-01,1,1,0,1,0,1,0,0,2,0,4,3,1
2018-11-01,2,36,0,2,0,23,3,14,32,22,78,8,1
2018-12-01,2,14,0,2,0,6,0,21,7,22,15,8,3
2019-01-01,3,8,1,2,0,4,0,4,4,6,5,8,2
2019-02-01,1,7,0,1,0,6,0,6,8,8,13,5,0
2019-03-01,2,11,0,2,0,8,2,8,8,13,13,15,0
2019-04-01,2,3,0,2,0,2,0,3,10,4,37,16,2
2019-05-01,1,2,0,1,0,2,0,0,2,0,0,16,6
2019-06-01,1,1,0,1,0,1,0,0,7,1,10,14,2
2019-07-01,1,1,0,1,0,1,0,3,5,7,28,5,1
2019-08-01,1,2,1,1,0,2,0,0,4,0,9,9,2
2019-09-01,1,1,0,1,0,0,0,3,5,9,33,6,1
2019-10-01,2,3,0,2,0,1,0,1,2,2,1,12,4
2019-11-01,0,0,0,0,0,0,0,0,2,1,7,2,1
2019-12-01,2,5,1,2,0,4,0,2,7,4,32,12,1
2020-01-01,2,29,0,2,0,11,0,1,20,7,41,12,0
2020-02-01,5,25,2,4,2,22,1,28,29,47,170,17,3
2020-03-01,4,58,1,3,0,39,2,35,50,64,384,17,4
2020-04-01,2,7,0,2,0,3,1,1,10,6,92,9,3
2020-05-01,4,13,1,3,0,15,1,13,25,22,59,32,3
2020-06-01,1,3,0,1,0,3,0,2,5,4,22,45,6
2020-07-01,0,0,0,0,0,1,1,0,2,4,40,13,3
2020-08-01,1,2,0,1,0,2,1,2,7,8,14,10,2
