dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-04-01,3,44,3,3,3,16,2,12,36,28,312,43,4
2016-05-01,4,35,1,3,0,10,1,11,30,30,288,32,0
2016-06-01,3,12,1,3,1,9,0,6,24,18,188,32,9
2016-07-01,7,27,5,6,3,15,3,12,36,26,232,24,5
2016-08-01,2,40,1,2,0,15,1,13,56,60,644,39,3
2016-09-01,9,36,6,6,3,24,4,22,58,59,563,42,6
2016-10-01,7,60,3,7,3,20,2,18,58,56,579,39,6
2016-11-01,4,18,0,4,0,9,4,5,50,31,520,46,9
2016-12-01,7,15,2,6,1,9,1,7,37,33,380,44,7
2017-01-01,13,54,8,11,5,18,4,13,58,42,484,36,9
2017-02-01,7,62,3,7,3,16,1,13,48,37,463,42,3
2017-03-01,16,125,10,12,6,37,8,27,100,83,746,101,12
2017-04-01,15,104,9,7,1,31,5,29,77,77,713,114,17
2017-05-01,9,22,4,6,2,25,9,18,69,102,890,118,9
2017-06-01,5,15,2,3,0,19,1,14,72,38,555,147,14
2017-07-01,8,24,7,4,1,45,24,24,99,86,608,159,12
2017-08-01,11,71,8,7,2,98,29,69,137,138,491,146,20
2017-09-01,6,62,4,5,2,90,21,61,128,158,808,123,19
2017-10-01,5,15,3,4,2,81,22,66,136,135,830,191,26
2017-11-01,13,18,10,5,1,20,5,13,57,60,669,174,23
2017-12-01,14,84,9,10,6,96,12,83,135,119,644,170,15
2018-01-01,13,83,8,7,2,70,9,63,108,88,391,222,30
2018-02-01,12,91,6,6,2,93,17,79,128,107,384,183,19
2018-03-01,11,72,5,5,0,72,8,63,139,93,513,262,26
2018-04-01,15,38,12,7,3,37,5,19,81,36,369,212,17
2018-05-01,9,53,6,7,3,63,3,40,104,54,258,228,24
2018-06-01,11,112,5,8,3,47,10,45,90,71,431,156,20
2018-07-01,13,67,6,10,3,48,7,49,76,63,337,179,15
2018-08-01,13,73,6,7,1,71,5,68,104,83,301,147,29
2018-09-01,17,84,9,12,6,67,9,69,108,129,499,171,18
2018-10-01,10,65,3,8,2,76,2,53,113,71,508,173,28
2018-11-01,5,46,0,5,0,39,6,33,73,54,306,173,14
2018-12-01,13,52,7,8,1,41,6,47,73,250,1009,168,14
2019-01-01,11,55,5,9,2,38,4,27,67,74,420,209,19
2019-02-01,4,68,0,4,0,35,1,27,56,45,121,180,18
2019-03-01,14,105,9,8,2,58,24,61,87,106,564,166,20
2019-04-01,5,70,2,3,0,61,2,53,88,69,160,173,25
2019-05-01,9,105,5,6,1,50,13,38,81,62,193,169,18
2019-06-01,8,110,3,6,0,73,23,52,125,245,1757,242,18
2019-07-01,6,66,3,5,0,47,0,48,85,65,321,253,30
2019-08-01,10,70,6,5,0,61,5,56,143,113,1078,343,34
2019-09-01,8,78,5,6,2,69,5,59,109,198,1228,140,24
2019-10-01,5,54,3,5,2,54,3,46,103,62,355,114,33
2019-11-01,2,45,0,2,0,42,0,37,75,46,167,125,21
2019-12-01,1,30,0,1,0,36,2,31,58,35,82,116,11
2020-01-01,3,41,0,3,0,32,19,17,50,45,154,79,16
2020-02-01,1,20,0,1,0,22,2,19,32,26,110,86,11
2020-03-01,1,27,0,1,0,30,0,28,41,32,16,94,9
2020-04-01,1,18,0,1,0,21,1,18,46,27,102,92,7
2020-05-01,1,24,0,1,0,33,3,24,48,31,25,71,4
2020-06-01,0,0,0,0,0,13,3,0,30,8,48,67,6
2020-07-01,2,29,0,2,0,5,16,13,16,32,13,75,8
