dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2017-05-01,11,198,9,7,6,11,1,8,39,29,274,711,45
2017-06-01,7,35,5,5,1,11,1,7,38,27,249,122,31
2017-07-01,4,34,1,3,1,14,6,9,43,36,342,140,35
2017-08-01,4,21,2,4,1,7,2,1,43,25,292,141,35
2017-09-01,9,35,5,6,3,10,3,10,30,42,248,143,36
2017-10-01,6,39,4,4,1,9,6,3,23,20,137,130,32
2017-11-01,11,55,5,6,2,9,4,7,39,38,195,148,41
2017-12-01,3,17,1,3,0,5,2,5,35,20,191,152,27
2018-01-01,7,11,4,6,3,11,2,2,34,17,170,166,50
2018-02-01,9,29,7,5,3,9,6,8,37,33,191,154,42
2018-03-01,9,52,7,7,3,21,7,13,53,56,348,185,42
2018-04-01,12,53,9,7,3,20,1,11,56,45,356,164,53
2018-05-01,4,6,2,3,0,10,5,3,35,15,192,159,44
2018-06-01,5,5,3,3,1,4,2,1,33,7,104,164,37
2018-07-01,3,11,2,2,1,11,5,4,42,21,195,137,40
2018-08-01,3,3,2,3,0,7,1,1,31,10,112,141,43
2018-09-01,6,17,4,3,1,12,5,4,30,17,112,159,44
2018-10-01,1,1,1,1,0,8,2,0,23,5,59,154,33
2018-11-01,2,3,1,2,0,5,1,1,25,10,71,110,43
2018-12-01,1,1,1,1,0,6,1,0,21,5,47,149,46
2019-01-01,1,1,1,1,0,2,0,0,14,2,59,148,41
2019-02-01,1,1,1,1,0,7,1,0,27,3,65,132,46
2019-03-01,3,3,3,3,1,8,3,0,28,8,110,116,49
2019-04-01,6,34,4,4,2,12,0,5,22,7,50,135,45
2019-05-01,5,90,1,4,1,15,7,8,33,20,88,152,42
2019-06-01,4,38,1,3,0,7,7,4,26,14,93,100,47
2019-07-01,11,44,7,7,3,14,7,6,35,17,97,122,46
2019-08-01,5,16,3,3,1,7,0,2,16,5,37,106,51
2019-09-01,3,4,2,2,1,10,4,0,29,8,86,105,37
2019-10-01,2,2,2,2,1,15,1,0,32,3,88,100,55
2019-11-01,4,13,2,3,1,12,3,1,25,9,84,105,51
2019-12-01,5,17,2,4,1,4,2,1,20,7,56,115,38
2020-01-01,14,69,7,9,4,10,32,23,31,80,322,107,39
2020-02-01,7,17,3,5,2,7,5,3,22,16,75,90,39
2020-03-01,7,22,4,6,3,8,1,1,28,9,52,109,52
2020-04-01,4,8,2,3,0,7,1,1,30,5,78,128,48
2020-05-01,2,9,2,2,0,8,1,3,25,12,71,124,48
2020-06-01,7,71,4,6,2,29,10,20,60,152,548,109,46
2020-07-01,6,7,5,4,2,14,1,0,33,9,90,127,48
2020-08-01,5,28,0,3,0,11,4,12,33,29,69,109,49
