dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-07-01,1,23,0,1,0,2,0,1,2,1,3,0,0
2015-08-01,2,33,1,2,1,1,0,2,2,3,9,0,0
2015-09-01,1,24,0,1,0,1,0,1,2,1,6,0,0
2015-10-01,5,75,3,4,2,19,0,18,19,19,52,90,8
2015-11-01,5,175,3,3,1,32,2,31,54,49,344,125,9
2015-12-01,4,128,1,4,0,36,2,33,57,60,457,76,9
2016-01-01,7,63,5,6,2,19,2,15,35,31,246,260,16
2016-02-01,2,125,0,2,0,26,4,24,46,46,348,103,11
2016-03-01,7,130,5,4,0,30,2,29,55,57,389,136,21
2016-04-01,10,104,8,7,2,25,0,24,53,51,486,119,14
2016-05-01,6,92,3,5,1,16,2,14,35,35,332,110,11
2016-06-01,11,123,8,7,2,26,3,24,47,48,470,149,18
2016-07-01,4,48,1,4,1,14,1,11,37,27,237,135,12
2016-08-01,11,115,9,8,4,25,0,25,58,51,424,159,20
2016-09-01,7,36,3,4,0,11,0,11,38,31,321,116,14
2016-10-01,3,24,2,3,1,15,1,15,46,42,372,123,15
2016-11-01,9,15,8,4,1,13,2,10,43,37,276,149,20
2016-12-01,3,5,2,1,0,10,1,4,30,22,219,133,23
2017-01-01,7,12,4,4,2,10,3,9,25,40,367,125,17
2017-02-01,9,20,7,6,3,11,1,14,44,51,521,198,23
2017-03-01,9,26,4,7,3,16,2,14,45,57,558,201,24
2017-04-01,3,21,0,2,0,16,0,10,43,34,397,131,11
2017-05-01,9,17,7,8,3,12,1,9,51,43,450,156,25
2017-06-01,10,29,6,7,2,13,1,18,43,56,506,156,23
2017-07-01,7,17,4,5,1,8,0,9,33,35,265,134,19
2017-08-01,6,11,3,4,0,10,1,7,43,38,441,128,22
2017-09-01,5,21,1,3,0,8,1,11,38,49,477,156,19
2017-10-01,5,13,3,2,0,8,1,6,43,43,414,138,15
2017-11-01,4,8,1,3,0,1,0,2,26,26,282,157,19
2017-12-01,5,9,4,4,0,10,2,8,33,32,234,163,27
2018-01-01,2,3,1,2,1,3,0,3,46,35,305,119,17
2018-02-01,2,3,1,2,0,7,1,3,48,39,138,89,16
2018-03-01,4,9,3,2,1,6,0,7,22,34,242,148,13
2018-04-01,4,4,3,3,1,5,1,4,24,19,169,146,18
2018-05-01,6,10,4,3,0,10,1,10,36,37,385,133,14
2018-06-01,5,5,4,3,0,6,2,5,27,30,253,131,21
2018-07-01,5,9,2,3,0,10,1,8,36,35,341,117,19
2018-08-01,3,6,1,3,0,7,2,4,27,25,234,104,13
2018-09-01,2,3,1,2,1,9,6,3,28,28,314,112,16
2018-10-01,4,4,3,2,0,4,2,4,23,22,226,109,18
2018-11-01,0,0,0,0,0,2,1,0,19,22,294,98,19
2018-12-01,3,5,2,3,1,10,1,5,32,29,365,86,18
2019-01-01,2,4,1,2,0,5,1,4,22,18,160,115,14
2019-02-01,2,2,1,2,0,1,4,2,16,18,221,81,16
2019-03-01,3,5,1,3,0,6,0,5,21,20,211,141,23
2019-04-01,3,3,1,3,0,4,1,3,21,20,191,92,19
2019-05-01,2,2,0,2,0,4,0,2,25,21,254,123,9
2019-06-01,2,2,0,2,0,1,2,1,18,24,183,97,19
2019-07-01,1,1,0,1,0,3,1,1,30,7,149,112,21
2019-08-01,1,2,0,1,0,4,0,2,24,7,134,99,30
2019-09-01,0,0,0,0,0,2,0,0,18,4,122,82,18
2019-10-01,1,1,1,1,0,5,1,1,25,3,140,81,31
2019-11-01,0,0,0,0,0,1,0,0,19,6,116,85,9
2019-12-01,2,6,1,2,0,6,1,6,15,23,130,81,27
2020-01-01,2,9,1,2,0,12,1,9,30,15,70,82,15
2020-02-01,3,7,1,2,0,9,2,7,22,93,390,60,17
2020-03-01,2,6,0,2,0,9,2,6,30,18,204,73,28
2020-04-01,1,2,0,1,0,4,0,2,20,8,78,87,16
2020-05-01,1,1,1,1,0,1,0,1,14,7,25,82,15
2020-06-01,7,9,5,6,2,6,10,9,28,73,403,76,19
2020-07-01,2,3,0,2,0,5,1,3,24,18,209,73,17
2020-08-01,2,4,0,2,0,4,1,4,18,29,119,87,14
