dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-09-01,9,144,9,2,2,19,0,19,54,44,354,2311,82
2016-10-01,11,27,10,5,3,9,0,8,24,14,89,410,40
2016-11-01,6,26,3,3,1,4,0,4,22,21,109,277,23
2016-12-01,6,41,4,4,3,3,0,3,32,35,224,326,31
2017-01-01,9,35,6,5,1,10,0,5,32,14,183,351,33
2017-02-01,12,66,6,5,1,12,3,15,39,54,298,297,32
2017-03-01,11,76,7,2,0,8,0,8,61,41,481,474,51
2017-04-01,19,149,13,3,1,8,3,5,81,78,783,342,43
2017-05-01,18,89,12,8,5,3,1,2,54,50,520,381,44
2017-06-01,15,78,9,8,5,2,0,1,58,50,490,385,45
2017-07-01,19,160,12,8,4,2,0,2,73,86,750,464,51
2017-08-01,14,77,10,10,7,1,0,1,52,50,457,423,58
2017-09-01,6,20,3,3,0,1,0,1,48,49,454,417,47
2017-10-01,11,20,7,4,2,3,1,1,54,43,393,413,48
2017-11-01,15,43,9,6,2,6,1,5,63,62,467,423,60
2017-12-01,18,30,13,4,0,5,1,4,51,54,367,429,71
2018-01-01,12,49,5,3,0,8,5,4,72,85,753,492,70
2018-02-01,5,21,3,4,2,20,4,16,83,79,683,494,72
2018-03-01,9,22,7,1,0,11,6,5,97,81,757,670,90
2018-04-01,7,41,2,3,0,15,6,8,108,108,912,577,97
2018-05-01,9,29,6,3,0,3,3,1,79,83,652,545,104
2018-06-01,5,9,3,3,2,6,5,1,49,33,329,459,112
2018-07-01,6,11,5,5,3,6,2,3,51,35,318,445,104
2018-08-01,10,18,7,6,3,6,4,3,58,48,372,484,104
2018-09-01,10,16,6,7,3,6,3,2,45,44,347,406,93
2018-10-01,11,57,8,3,1,8,0,8,95,111,774,387,110
2018-11-01,7,52,3,4,1,4,3,0,91,94,689,373,91
2018-12-01,9,45,5,2,0,3,4,0,72,77,549,347,105
2019-01-01,8,35,6,6,2,4,2,3,38,53,341,374,122
2019-02-01,13,24,11,5,3,11,5,5,68,64,555,383,121
2019-03-01,7,10,5,3,2,6,3,3,44,27,314,453,134
2019-04-01,3,6,1,2,0,1,0,0,25,17,163,364,95
2019-05-01,2,2,1,1,0,2,0,1,34,5,151,333,135
2019-06-01,0,0,0,0,0,5,2,0,25,8,77,294,118
2019-07-01,12,28,11,3,0,0,2,0,51,73,384,329,156
2019-08-01,11,29,7,6,2,2,2,0,58,67,398,296,96
2019-09-01,5,28,4,2,0,4,1,4,53,47,294,258,88
2019-10-01,10,51,8,5,0,7,1,6,70,98,586,234,89
2019-11-01,5,7,3,3,1,0,0,0,28,22,167,231,82
2019-12-01,2,2,1,1,0,0,0,0,31,3,110,192,63
2020-01-01,1,2,1,1,0,0,0,0,25,7,98,171,80
2020-02-01,2,2,2,1,0,0,0,0,23,6,77,182,83
2020-03-01,6,6,4,3,0,0,0,0,24,21,107,225,84
2020-04-01,12,24,9,4,1,0,2,1,31,58,304,254,103
2020-05-01,9,17,5,5,0,1,0,1,34,56,227,256,99
2020-06-01,10,44,7,7,2,3,0,3,51,97,363,219,95
2020-07-01,8,14,5,5,1,0,1,0,43,46,230,227,97
2020-08-01,12,62,6,7,2,5,0,5,72,93,371,191,32
