dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-02-01,5,24,5,3,3,21,2,18,67,38,248,4,0
2016-03-01,6,131,1,4,1,53,1,48,114,81,412,1,0
2016-04-01,13,169,7,7,3,85,2,82,143,122,663,4,0
2016-05-01,23,126,14,10,4,55,6,48,164,119,990,1217,55
2016-06-01,11,28,2,5,1,23,1,13,49,25,208,90,6
2016-07-01,11,29,4,3,0,24,5,20,50,36,410,111,9
2016-08-01,12,56,6,4,0,40,7,36,75,70,643,60,9
2016-09-01,12,48,6,4,1,32,4,25,69,46,583,137,6
2016-10-01,10,43,4,5,1,16,0,16,33,20,102,154,8
2016-11-01,6,21,2,2,0,13,0,13,33,16,141,89,5
2016-12-01,12,66,5,5,2,30,4,24,60,40,391,97,10
2017-01-01,21,80,11,5,1,63,4,59,107,106,650,185,18
2017-02-01,12,49,3,4,0,22,2,21,68,43,373,77,4
2017-03-01,12,57,4,4,1,43,3,35,80,55,493,183,10
2017-04-01,16,83,6,8,3,26,2,18,62,29,293,143,11
2017-05-01,11,37,5,3,0,23,5,16,39,26,220,102,10
2017-06-01,11,49,5,5,1,18,3,18,40,26,260,92,11
2017-07-01,7,23,4,3,0,10,1,10,24,23,135,74,4
2017-08-01,4,10,0,3,0,7,5,6,34,35,431,148,5
2017-09-01,4,34,1,3,0,19,2,20,48,70,355,274,13
2017-10-01,12,101,5,7,2,67,4,62,147,177,883,253,10
2017-11-01,11,74,4,5,0,38,2,33,94,72,477,196,6
2017-12-01,8,39,2,6,2,19,1,13,54,26,286,374,12
2018-01-01,12,66,4,7,1,37,4,32,72,55,350,575,13
2018-02-01,9,48,3,5,1,16,2,14,40,32,321,279,7
2018-03-01,8,29,2,5,1,25,2,21,47,44,202,207,8
2018-04-01,3,7,0,3,0,9,3,7,29,18,105,148,4
2018-05-01,10,41,3,5,1,24,1,24,62,60,374,246,15
2018-06-01,7,15,2,5,1,21,0,14,57,117,676,205,13
2018-07-01,8,43,3,3,0,41,1,40,66,61,325,138,8
2018-08-01,7,38,3,3,0,32,0,29,66,57,430,165,6
2018-09-01,7,22,3,5,0,15,0,13,36,26,167,160,7
2018-10-01,6,30,1,3,0,25,1,22,41,56,170,191,10
2018-11-01,5,17,2,4,1,17,3,15,25,21,129,276,4
2018-12-01,7,11,2,3,0,10,2,8,29,19,133,144,4
2019-01-01,5,10,1,3,0,9,2,8,24,13,58,216,7
2019-02-01,2,2,0,2,0,3,1,2,9,6,63,116,2
2019-03-01,5,14,0,3,0,16,3,12,27,20,51,134,6
2019-04-01,4,20,0,1,0,16,2,15,32,22,72,159,7
2019-05-01,2,5,0,2,0,7,0,5,15,7,30,127,5
2019-06-01,1,2,0,1,0,2,0,2,13,6,50,89,3
2019-07-01,3,8,1,2,1,3,0,3,7,3,3,82,4
2019-08-01,2,2,1,2,1,2,0,1,9,2,19,83,2
2019-09-01,2,2,0,1,0,3,0,2,11,2,27,105,7
2019-10-01,7,18,2,4,0,19,3,14,29,19,81,104,8
2019-11-01,1,2,0,1,0,5,2,2,18,5,91,87,5
2019-12-01,5,10,2,3,0,10,9,10,27,68,408,123,8
2020-01-01,6,15,2,3,1,8,0,8,12,9,43,110,7
2020-02-01,1,1,0,1,0,1,1,2,6,7,67,90,5
2020-03-01,3,4,1,1,0,2,0,3,10,5,25,91,3
2020-04-01,1,1,1,1,0,2,1,1,10,5,50,111,3
2020-05-01,2,14,0,1,0,4,0,3,15,5,48,89,3
2020-06-01,2,9,0,1,0,4,0,4,13,7,9,79,4
2020-07-01,5,13,3,2,1,15,1,10,22,15,80,67,11
2020-08-01,2,7,0,1,0,6,1,5,8,9,65,76,4
