dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-08-01,4,107,4,2,2,14,1,13,24,20,236,324,10
2016-09-01,3,98,0,2,0,9,1,8,9,13,148,66,3
2016-10-01,1,37,0,1,0,0,0,0,3,3,36,145,4
2016-11-01,2,38,1,2,1,3,1,2,3,3,6,36,2
2016-12-01,1,15,0,1,0,0,0,0,0,0,0,25,0
2017-01-01,4,33,3,3,0,3,0,3,8,8,48,18,1
2017-02-01,2,15,1,2,0,2,0,2,3,3,14,18,1
2017-03-01,3,80,0,2,0,9,1,8,10,10,30,62,2
2017-04-01,5,37,3,5,3,4,0,4,5,5,16,35,3
2017-05-01,4,35,1,4,1,4,0,4,8,8,38,23,0
2017-06-01,1,18,0,1,0,1,0,1,2,2,6,44,3
2017-07-01,3,66,1,3,1,3,0,3,8,7,116,238,8
2017-08-01,1,31,0,1,0,1,0,1,4,4,49,58,4
2017-09-01,3,36,2,3,1,2,0,1,4,2,14,32,6
2017-10-01,1,52,0,1,0,1,0,2,1,3,2,24,3
2017-11-01,1,36,0,1,0,1,0,1,4,5,103,40,2
2017-12-01,0,0,0,0,0,0,0,0,1,1,10,25,0
2018-01-01,2,61,1,2,0,3,0,3,5,5,58,40,3
2018-02-01,3,39,1,2,0,1,0,1,2,1,15,24,1
2018-03-01,1,1,0,1,0,0,0,0,0,0,0,17,0
2018-04-01,5,17,3,3,1,5,2,3,7,7,88,25,3
2018-05-01,0,0,0,0,0,0,0,0,0,0,0,16,1
2018-06-01,1,4,0,1,0,0,0,0,1,1,6,14,3
2018-07-01,3,23,1,2,0,3,0,3,7,6,44,20,1
2018-08-01,1,7,0,1,0,0,0,0,0,0,0,29,1
2018-09-01,2,24,1,2,0,1,0,1,1,1,20,28,1
2018-10-01,1,18,0,1,0,0,0,0,0,0,0,31,0
2018-11-01,2,16,1,2,1,5,0,2,7,2,81,25,2
2018-12-01,2,8,1,2,0,1,0,1,3,2,13,24,1
2019-01-01,2,7,1,2,0,1,1,1,4,3,32,561,14
2019-02-01,4,16,2,4,1,3,0,4,5,9,31,76,0
2019-03-01,3,21,2,2,0,4,1,4,8,10,91,55,5
2019-04-01,0,0,0,0,0,1,1,0,4,3,25,229,2
2019-05-01,3,30,1,3,1,3,1,2,6,8,48,62,4
2019-06-01,3,16,1,3,0,5,0,4,7,8,48,47,1
2019-07-01,2,3,1,2,0,1,0,1,2,1,3,52,2
2019-08-01,2,5,1,2,0,1,0,1,1,2,3,69,4
2019-09-01,3,14,1,3,0,2,0,2,4,3,10,37,1
2019-10-01,0,0,0,0,0,0,0,0,0,0,0,30,2
2019-11-01,1,6,0,1,0,0,0,0,0,0,0,30,2
2019-12-01,1,3,0,1,0,0,0,0,0,0,0,33,3
2020-01-01,3,8,2,3,0,7,1,1,9,4,10,27,2
2020-02-01,3,15,0,2,0,3,0,8,5,10,30,16,2
2020-03-01,4,22,1,4,1,20,10,8,24,22,52,12,2
2020-04-01,4,11,1,3,0,18,13,5,19,20,35,24,2
2020-05-01,0,0,0,0,0,15,14,0,15,14,29,18,4
2020-06-01,3,9,0,3,0,38,29,3,40,33,69,57,5
