dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-05-01,6,133,3,3,0,32,1,25,32,26,94,8,3
2016-06-01,6,181,1,4,1,48,5,43,48,48,283,10,6
2016-07-01,7,116,3,5,2,22,4,16,22,20,111,16,7
2016-08-01,5,51,1,4,1,13,1,12,13,13,48,6,8
2016-09-01,5,108,0,4,0,27,2,30,27,32,79,5,3
2016-10-01,5,102,1,5,1,23,1,20,23,21,74,15,10
2016-11-01,4,167,0,4,0,32,2,29,32,31,73,7,2
2016-12-01,3,171,0,3,0,6,0,9,6,9,34,7,3
2017-01-01,6,272,2,5,1,31,1,27,31,28,58,4,6
2017-02-01,3,175,0,3,0,21,1,19,21,20,35,6,6
2017-03-01,7,88,3,7,2,26,2,21,26,23,70,13,7
2017-04-01,6,117,2,4,0,19,5,11,19,16,119,12,7
2017-05-01,7,107,3,5,3,17,4,15,18,20,62,15,8
2017-06-01,8,64,4,5,2,20,3,16,20,19,24,26,8
2017-07-01,4,57,1,4,1,19,1,12,19,13,14,34,12
2017-08-01,5,294,0,4,0,79,9,71,79,80,52,44,11
2017-09-01,6,298,2,4,1,56,6,45,56,51,24,45,21
2017-10-01,8,115,3,5,0,33,5,20,33,25,49,51,24
2017-11-01,9,95,3,7,1,9,6,11,9,17,39,30,17
2017-12-01,10,238,4,6,1,24,3,22,24,25,12,51,20
2018-01-01,8,193,4,4,0,32,6,21,32,27,84,94,30
2018-02-01,11,405,5,8,3,64,13,56,64,69,105,71,26
2018-03-01,9,214,3,5,1,51,15,43,51,58,120,89,27
2018-04-01,5,115,0,4,0,36,5,25,36,30,50,75,24
2018-05-01,7,103,2,4,1,19,4,22,20,27,37,74,26
2018-06-01,8,176,4,3,1,22,0,18,23,19,51,58,29
2018-07-01,4,164,1,1,0,27,3,27,27,30,31,51,21
2018-08-01,11,126,4,8,2,31,2,30,31,32,56,38,28
2018-09-01,8,185,3,5,0,28,1,23,30,25,53,51,27
2018-10-01,9,191,4,4,0,38,3,34,39,37,9,31,18
2018-11-01,8,62,2,6,1,25,4,18,25,24,48,38,12
2018-12-01,5,69,2,4,1,6,1,3,7,5,1,16,11
2019-01-01,12,182,7,7,3,12,2,9,19,18,33,26,21
2019-02-01,6,166,2,3,0,7,2,4,38,33,43,27,10
2019-03-01,8,158,1,6,1,4,4,1,32,31,38,15,5
2019-04-01,6,253,1,6,1,4,2,1,53,49,86,25,10
2019-05-01,11,314,5,9,2,74,8,59,95,96,72,24,19
2019-06-01,8,149,2,7,1,44,5,46,44,52,78,21,4
2019-07-01,9,155,4,7,1,58,1,56,58,57,32,22,15
2019-08-01,11,106,4,6,1,41,7,33,41,40,22,18,8
2019-09-01,12,162,4,5,0,55,7,51,55,58,14,19,11
2019-10-01,12,56,4,7,0,26,2,19,26,21,27,12,11
2019-11-01,7,67,2,4,0,22,2,23,23,25,53,17,9
2019-12-01,7,127,0,3,0,30,6,21,30,27,17,19,10
2020-01-01,7,119,1,4,1,28,5,22,29,27,23,16,15
2020-02-01,9,175,2,5,0,46,7,27,46,36,69,17,11
2020-03-01,7,122,1,5,1,34,8,28,36,38,50,16,8
2020-04-01,7,279,0,5,0,58,3,65,59,69,67,16,7
2020-05-01,4,68,0,3,0,16,2,9,17,12,26,14,7
2020-06-01,8,148,2,4,1,31,8,26,32,35,26,12,12
2020-07-01,4,51,0,3,0,18,32,16,20,50,79,15,11
2020-08-01,1,10,0,1,0,3,3,2,3,5,0,15,5
