dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-06-01,3,136,3,3,3,1,0,1,1,1,0,20,2
2015-07-01,0,0,0,0,0,0,0,0,0,0,0,2,0
2015-08-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2015-09-01,0,0,0,0,0,0,0,0,0,0,0,4,0
2015-10-01,0,0,0,0,0,0,0,0,0,0,0,8,1
2015-11-01,2,4,0,2,0,0,0,0,0,0,0,1,0
2015-12-01,1,10,0,1,0,0,0,0,2,0,14,2,0
2016-01-01,2,45,0,2,0,0,0,0,0,2,14,4,0
2016-02-01,3,17,1,3,1,2,1,1,4,2,14,7,4
2016-03-01,1,3,0,1,0,0,0,0,0,0,0,7,1
2016-04-01,1,3,0,1,0,0,0,0,0,1,10,6,2
2016-05-01,2,2,1,2,1,1,0,1,1,1,4,4,1
2016-06-01,0,0,0,0,0,0,0,0,0,0,0,4,0
2016-07-01,2,2,1,2,1,2,0,1,3,1,15,10,2
2016-08-01,0,0,0,0,0,0,1,0,0,1,2,5,1
2016-09-01,0,0,0,0,0,0,0,0,0,0,0,3,1
2016-10-01,2,4,1,2,0,0,0,0,0,0,0,12,1
2016-11-01,3,44,2,2,1,5,0,5,10,9,60,8,2
2016-12-01,5,97,2,5,2,9,0,9,14,15,90,13,1
2017-01-01,5,35,1,5,1,4,0,4,10,10,44,13,3
2017-02-01,1,1,0,1,0,0,0,0,2,1,15,8,2
2017-03-01,9,50,5,6,2,18,5,12,35,26,196,49,5
2017-04-01,8,55,3,6,1,21,3,17,32,30,147,29,6
2017-05-01,9,82,3,7,1,19,1,18,35,37,311,34,4
2017-06-01,3,11,0,3,0,3,0,3,5,6,35,25,2
2017-07-01,3,3,0,3,0,1,1,2,1,4,52,36,2
2017-08-01,1,1,0,1,0,0,0,0,4,2,72,37,4
2017-09-01,1,6,0,1,0,1,0,0,5,3,43,50,3
2017-10-01,4,8,3,4,2,5,0,5,8,9,98,53,4
2017-11-01,4,6,1,3,0,3,0,3,7,6,97,35,3
2017-12-01,5,19,1,5,1,4,1,4,5,7,46,22,1
2018-01-01,8,32,4,6,1,10,0,8,16,9,173,190,12
2018-02-01,6,26,3,3,0,6,0,6,11,9,120,38,6
2018-03-01,5,22,1,4,0,5,0,5,8,11,28,50,5
2018-04-01,7,9,3,6,2,7,0,6,10,11,54,40,3
2018-05-01,4,5,2,4,2,3,0,3,5,3,44,25,2
2018-06-01,6,13,1,5,0,5,1,4,11,10,70,27,2
2018-07-01,4,6,2,4,1,2,0,3,3,6,23,30,7
2018-08-01,3,4,1,3,1,3,0,2,10,6,73,67,13
2018-09-01,5,8,1,3,0,3,1,2,11,5,75,63,12
2018-10-01,6,8,5,4,2,5,1,3,13,7,51,29,7
2018-11-01,5,9,3,4,2,5,0,6,12,14,118,780,65
2018-12-01,3,4,1,3,0,6,1,4,16,7,107,591,72
2019-01-01,3,3,3,2,1,8,0,3,22,5,104,250,34
2019-02-01,6,6,5,5,2,4,0,6,18,9,133,216,30
2019-03-01,11,23,6,6,3,22,6,15,36,37,343,183,25
2019-04-01,6,65,3,4,0,33,9,26,55,72,611,272,27
2019-05-01,11,47,7,6,2,26,9,22,39,63,407,182,23
2019-06-01,6,23,3,5,2,24,5,18,44,45,314,162,17
2019-07-01,6,13,3,5,0,11,0,9,28,22,207,184,24
2019-08-01,5,25,1,4,0,18,2,17,46,48,475,176,27
2019-09-01,10,44,4,6,2,27,0,29,52,49,416,157,28
2019-10-01,17,37,10,9,5,35,3,30,70,60,631,175,31
2019-11-01,10,11,6,7,2,15,0,10,38,25,194,232,31
2019-12-01,6,12,3,2,0,11,0,9,28,28,196,141,23
2020-01-01,12,27,4,4,0,22,3,21,44,58,640,137,17
2020-02-01,11,36,4,6,1,34,3,27,62,51,407,115,21
2020-03-01,10,15,4,4,1,16,2,15,53,38,311,172,42
2020-04-01,9,14,3,6,2,8,1,9,31,37,305,138,19
2020-05-01,8,9,5,5,2,9,0,8,34,28,326,142,25
2020-06-01,9,12,5,4,1,17,2,9,46,43,508,137,28
2020-07-01,6,13,4,2,0,13,3,13,49,38,275,121,18
2020-08-01,7,11,4,5,1,16,3,11,41,36,216,119,25
