dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-09-01,3,60,2,2,1,1,0,1,27,3,136,2,1
2016-10-01,11,88,8,7,5,18,2,13,56,39,336,265,9
2016-11-01,8,31,3,5,0,9,1,6,29,20,276,48,1
2016-12-01,4,18,0,4,0,1,0,2,12,16,102,33,2
2017-01-01,9,58,4,7,3,11,2,8,40,30,312,145,2
2017-02-01,5,23,0,4,0,5,0,4,25,22,224,61,1
2017-03-01,8,31,3,6,1,10,5,5,47,37,426,81,6
2017-04-01,15,49,9,8,3,17,1,11,51,29,278,78,11
2017-05-01,17,64,10,9,4,18,4,20,47,50,453,67,10
2017-06-01,12,84,4,7,2,21,5,16,55,42,318,41,6
2017-07-01,11,87,7,8,4,22,2,19,41,36,282,52,6
2017-08-01,7,64,2,5,1,15,2,16,38,34,265,51,4
2017-09-01,13,51,9,8,4,17,1,14,34,26,224,50,14
2017-10-01,10,39,6,5,1,17,2,15,39,72,458,61,4
2017-11-01,14,94,7,8,3,34,6,30,66,50,393,56,10
2017-12-01,12,42,2,5,0,12,2,9,37,28,233,69,3
2018-01-01,10,76,4,7,3,29,2,25,46,41,369,54,6
2018-02-01,12,76,6,7,1,18,3,15,52,40,308,60,4
2018-03-01,13,74,4,10,1,27,1,29,60,48,278,74,6
2018-04-01,9,31,2,4,1,13,2,12,41,39,297,54,3
2018-05-01,10,76,3,7,2,27,3,23,48,47,270,45,9
2018-06-01,8,37,1,5,0,16,3,13,33,65,439,59,2
2018-07-01,13,83,6,9,4,31,3,28,51,44,368,41,7
2018-08-01,11,88,3,7,2,27,5,25,58,48,464,65,3
2018-09-01,10,46,2,7,0,20,0,18,39,25,180,63,4
2018-10-01,11,53,2,8,1,18,1,19,38,36,274,58,1
2018-11-01,6,66,0,4,0,22,0,19,50,44,351,75,2
2018-12-01,8,88,2,6,1,28,3,25,58,51,443,79,7
2019-01-01,9,110,5,7,4,43,6,36,62,55,607,76,4
2019-02-01,10,96,3,6,2,38,7,35,105,50,654,56,5
2019-03-01,5,31,2,5,2,12,0,7,26,48,375,71,3
2019-04-01,7,66,2,5,0,18,2,18,34,30,256,92,4
2019-05-01,8,18,5,6,4,10,3,6,25,19,139,63,6
2019-06-01,9,32,2,4,0,15,3,13,34,27,115,61,3
2019-07-01,5,42,0,5,0,15,1,11,26,20,108,74,5
2019-08-01,6,46,0,5,0,10,2,14,15,21,172,60,4
2019-09-01,5,15,2,4,0,7,0,6,14,11,73,52,5
2019-10-01,6,16,3,4,2,6,0,7,23,17,81,53,6
2019-11-01,4,7,1,2,0,5,0,3,13,7,31,69,4
2019-12-01,7,13,3,3,0,6,0,4,13,5,24,59,3
2020-01-01,4,11,1,3,0,4,0,5,14,9,25,56,2
2020-02-01,6,20,0,4,0,12,4,7,21,12,37,49,5
2020-03-01,4,14,0,2,0,4,2,4,15,6,14,73,0
2020-04-01,5,8,0,4,0,2,0,2,7,5,18,72,3
2020-05-01,4,15,0,3,0,4,0,4,10,7,14,44,0
2020-06-01,4,6,1,2,0,3,1,1,10,4,18,37,4
2020-07-01,2,3,0,2,0,2,0,2,3,3,10,35,3
2020-08-01,2,3,0,1,0,2,0,0,5,0,1,33,3
