dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-06-01,37,123,20,17,5,50,12,28,71,51,609,1421,76
2015-07-01,25,113,10,12,2,71,16,50,94,80,870,272,57
2015-08-01,24,101,7,11,3,56,10,44,75,66,809,101,19
2015-09-01,18,90,3,9,1,54,13,39,69,64,913,140,26
2015-10-01,22,81,7,12,3,59,16,33,72,56,701,95,24
2015-11-01,11,48,2,6,0,33,11,25,43,44,416,77,19
2015-12-01,12,38,4,8,2,20,2,13,26,19,389,109,14
2016-01-01,20,94,8,9,3,59,16,44,76,69,1063,92,19
2016-02-01,21,121,5,13,2,57,10,55,75,108,917,61,13
2016-03-01,26,156,9,19,6,82,13,70,111,106,1197,74,15
2016-04-01,22,118,9,10,0,64,9,54,84,77,847,116,18
2016-05-01,19,100,5,11,2,48,6,34,65,47,606,71,14
2016-06-01,20,78,6,10,0,52,7,37,69,60,751,89,21
2016-07-01,18,51,8,9,0,25,4,22,36,32,445,60,16
2016-08-01,20,57,6,10,2,38,12,31,45,51,581,93,22
2016-09-01,21,107,7,10,2,62,10,44,82,68,679,68,18
2016-10-01,23,103,4,11,2,59,12,51,73,77,841,75,12
2016-11-01,14,40,4,9,3,28,6,17,42,35,360,102,21
2016-12-01,16,35,6,10,2,22,5,16,38,25,402,97,18
2017-01-01,18,64,4,10,1,44,6,30,57,41,412,80,17
2017-02-01,18,55,7,11,2,33,14,26,49,54,583,65,20
2017-03-01,15,51,3,10,1,29,13,18,43,54,716,126,22
2017-04-01,13,32,5,10,3,22,4,16,33,26,327,76,22
2017-05-01,17,39,4,13,1,25,9,15,44,37,492,64,20
2017-06-01,10,38,1,8,0,21,7,16,30,29,278,72,13
2017-07-01,13,45,1,9,1,25,5,14,37,30,383,77,19
2017-08-01,13,54,3,10,1,31,3,23,40,39,473,58,16
2017-09-01,13,37,4,11,1,13,4,17,23,27,270,67,13
2017-10-01,12,37,4,10,1,20,20,22,29,47,462,73,17
2017-11-01,13,26,4,10,2,21,3,11,34,17,259,70,20
2017-12-01,6,11,1,5,0,5,1,7,13,12,113,99,24
2018-01-01,13,20,4,9,0,21,4,6,30,15,245,100,15
2018-02-01,13,30,6,9,3,20,1,14,39,21,326,96,20
2018-03-01,15,22,4,13,2,19,5,8,24,17,143,103,26
2018-04-01,7,17,3,5,1,9,1,11,18,14,190,82,18
2018-05-01,8,12,0,6,0,10,2,5,21,11,202,93,15
2018-06-01,13,22,3,8,1,17,3,9,21,15,172,63,16
2018-07-01,10,15,3,8,1,13,4,5,23,11,137,76,15
2018-08-01,14,25,4,11,3,19,2,10,28,20,259,86,10
2018-09-01,7,16,1,7,1,10,4,9,16,15,140,67,15
2018-10-01,12,24,4,7,1,13,2,9,20,15,237,94,28
2018-11-01,11,43,2,8,0,20,3,21,23,31,376,82,16
2018-12-01,8,13,1,6,0,9,2,6,12,12,112,110,16
2019-01-01,5,13,0,4,0,9,1,4,15,5,93,98,15
2019-02-01,11,24,2,9,0,23,6,10,31,17,282,172,35
2019-03-01,11,33,0,9,0,19,6,9,31,24,332,128,27
2019-04-01,10,18,2,7,0,13,3,4,15,9,111,120,16
2019-05-01,8,14,3,7,2,10,3,7,19,15,91,99,19
2019-06-01,6,12,1,5,0,8,1,5,11,7,101,87,18
2019-07-01,7,9,5,7,2,11,0,3,18,6,73,93,18
2019-08-01,9,20,2,8,2,15,3,9,30,16,163,106,21
2019-09-01,9,24,3,9,1,6,2,12,9,15,185,112,22
2019-10-01,8,27,3,7,2,16,0,13,32,25,239,81,18
2019-11-01,5,9,0,5,0,3,0,2,7,5,48,81,14
2019-12-01,8,18,4,8,1,12,2,8,23,16,136,92,23
2020-01-01,7,17,1,7,1,13,2,8,26,18,198,101,13
2020-02-01,12,28,3,10,2,14,4,6,19,14,263,96,20
2020-03-01,17,83,6,10,1,28,28,36,39,96,775,71,14
2020-04-01,14,139,3,11,0,63,14,46,89,89,1037,84,30
2020-05-01,14,137,1,10,0,54,11,46,76,74,834,102,26
2020-06-01,12,66,3,10,1,29,5,22,47,48,497,64,18
2020-07-01,16,59,7,12,3,37,4,23,46,35,279,70,16
2020-08-01,10,50,0,7,0,19,3,22,34,34,216,81,12
