dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-06-01,3,30,1,3,1,1,1,0,1,1,0,0,0
2016-07-01,2,8,0,2,0,0,0,0,0,0,0,0,0
2016-08-01,2,14,0,2,0,0,0,0,0,0,0,0,0
2016-09-01,2,11,0,2,0,0,0,0,0,0,0,0,0
2016-10-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2016-11-01,2,14,0,2,0,0,0,0,0,0,0,1,0
2016-12-01,2,14,0,2,0,1,0,0,1,0,6,1,0
2017-01-01,3,22,1,3,1,3,1,1,3,2,0,3,1
2017-02-01,4,26,1,4,1,1,2,1,2,4,16,1,0
2017-03-01,4,55,2,4,2,1,0,1,2,2,0,3,0
2017-04-01,8,68,5,7,2,29,9,18,32,30,26,12,5
2017-05-01,12,115,4,6,0,24,6,17,25,23,32,7,1
2017-06-01,15,94,7,8,2,33,6,27,34,33,15,11,2
2017-07-01,10,88,4,7,0,37,12,24,37,36,29,4,4
2017-08-01,5,48,1,4,0,11,4,6,11,10,19,9,4
2017-09-01,6,48,3,4,0,9,1,6,10,7,20,4,2
2017-10-01,10,74,0,6,0,33,4,31,35,38,48,3,1
2017-11-01,13,103,6,10,3,34,3,28,36,33,29,8,4
2017-12-01,17,131,6,8,2,52,5,37,74,48,88,10,3
2018-01-01,22,361,8,10,2,136,18,108,206,162,406,27,17
2018-02-01,24,342,10,11,2,152,19,105,234,177,586,34,14
2018-03-01,36,567,21,16,7,263,37,197,465,336,1280,43,24
2018-04-01,65,550,45,19,8,412,92,226,978,613,3392,190,90
2018-05-01,72,591,37,21,8,517,188,237,1327,944,5068,455,635
2018-06-01,52,421,28,18,8,256,71,157,565,431,2032,99,139
2018-07-01,39,342,17,14,4,201,59,115,486,460,1841,93,104
2018-08-01,38,303,19,18,8,243,182,125,641,646,2578,90,114
2018-09-01,44,313,19,15,3,205,52,137,478,510,1883,83,90
2018-10-01,46,416,18,19,3,310,68,200,562,556,2125,108,106
2018-11-01,52,267,22,16,2,204,54,120,483,462,2305,158,147
2018-12-01,43,196,13,14,1,146,43,72,358,272,1544,112,136
2019-01-01,51,326,23,13,2,225,79,127,513,488,1876,108,169
2019-02-01,49,310,29,14,5,215,54,118,403,334,1341,124,209
2019-03-01,45,202,24,16,6,138,55,77,320,307,1291,129,145
2019-04-01,40,169,15,18,4,132,54,72,330,266,1033,92,104
2019-05-01,40,149,22,16,4,119,43,69,277,230,1067,82,122
2019-06-01,35,140,15,11,3,123,40,63,279,203,967,71,123
2019-07-01,44,228,21,16,4,150,33,121,271,275,876,104,92
2019-08-01,33,201,10,13,1,119,35,74,257,215,1058,53,94
2019-09-01,25,80,9,11,2,56,16,29,162,111,485,55,108
2019-10-01,35,174,12,11,0,129,48,70,225,240,768,49,140
2019-11-01,35,162,18,13,6,84,32,54,180,166,521,72,71
2019-12-01,31,104,13,11,3,69,14,44,168,126,456,37,66
2020-01-01,31,114,13,10,2,73,24,32,175,161,652,39,82
2020-02-01,45,170,15,12,3,90,80,81,211,287,963,54,81
2020-03-01,39,163,14,15,3,92,42,74,241,259,985,58,82
2020-04-01,41,143,15,14,3,91,23,60,257,230,958,60,122
2020-05-01,65,193,37,19,7,154,46,102,355,329,1337,69,107
2020-06-01,42,203,20,15,4,116,29,83,258,253,779,44,74
2020-07-01,31,118,13,11,4,76,22,57,219,183,520,34,74
2020-08-01,26,80,7,8,0,62,18,44,163,128,340,32,60
