dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-10-01,6,185,2,2,0,11,1,10,11,11,10,4,3
2016-11-01,9,170,2,2,0,16,0,15,16,15,14,4,2
2016-12-01,10,71,1,2,0,8,1,6,9,7,6,5,3
2017-01-01,6,228,0,2,0,37,2,32,39,34,33,4,3
2017-02-01,12,267,1,3,0,43,4,40,45,45,23,6,0
2017-03-01,8,83,0,2,0,23,1,18,26,19,70,8,2
2017-04-01,11,232,1,3,0,15,3,11,19,14,33,3,3
2017-05-01,11,209,4,4,1,46,5,46,50,63,186,11,5
2017-06-01,8,171,3,3,1,33,1,30,41,38,116,8,1
2017-07-01,9,109,1,2,0,24,0,19,32,24,91,6,3
2017-08-01,13,274,3,3,0,42,2,42,58,50,174,12,3
2017-09-01,8,205,1,2,1,31,1,30,36,38,94,17,2
2017-10-01,7,208,0,2,0,35,3,28,38,33,113,13,3
2017-11-01,8,136,2,3,0,31,2,28,34,32,93,12,1
2017-12-01,6,32,1,1,0,9,0,9,10,11,24,9,2
2018-01-01,6,197,1,1,0,46,4,47,51,55,127,18,6
2018-02-01,4,69,1,2,1,22,1,21,28,26,116,11,1
2018-03-01,11,292,4,3,1,38,5,38,48,52,87,26,5
2018-04-01,8,205,2,4,0,36,1,32,39,37,76,22,3
2018-05-01,5,188,1,1,0,30,1,28,36,31,81,56,5
2018-06-01,14,327,9,6,3,44,1,39,66,50,276,32,8
2018-07-01,8,81,3,2,0,17,1,17,30,28,152,33,4
2018-08-01,8,243,3,4,1,35,2,31,43,37,141,71,2
2018-09-01,10,234,4,5,1,30,1,28,46,45,213,35,7
2018-10-01,13,335,7,4,2,32,4,34,63,54,351,36,16
2018-11-01,10,282,2,3,1,30,3,27,51,40,196,34,5
2018-12-01,12,133,6,3,1,22,0,16,40,28,224,39,4
2019-01-01,14,203,6,3,0,24,8,22,50,40,300,31,4
2019-02-01,14,260,6,4,1,31,3,30,60,49,401,40,5
2019-03-01,16,332,9,5,2,40,2,36,80,56,507,51,10
2019-04-01,8,229,2,2,0,28,3,27,53,42,252,39,5
2019-05-01,15,155,10,5,1,23,3,16,53,37,391,67,13
2019-06-01,15,147,7,6,2,21,1,21,40,40,382,64,9
2019-07-01,16,326,9,5,0,55,1,42,90,68,505,133,11
2019-08-01,19,205,7,4,0,32,1,25,61,36,188,59,9
2019-09-01,14,257,6,4,1,30,6,31,57,56,381,205,19
2019-10-01,18,238,8,7,4,31,4,32,56,53,270,100,10
2019-11-01,13,173,2,4,0,23,3,18,37,29,252,52,5
2019-12-01,10,60,2,3,0,7,0,7,19,11,119,41,7
2020-01-01,16,245,5,4,1,33,3,34,65,51,281,54,10
2020-02-01,9,124,2,1,0,13,0,12,27,15,97,38,2
2020-03-01,8,164,0,2,0,23,4,15,46,29,213,60,3
2020-04-01,11,145,4,4,1,23,4,16,46,32,134,65,4
2020-05-01,11,217,3,5,1,25,1,24,52,36,209,62,4
2020-06-01,9,327,3,2,0,44,4,35,72,55,391,59,13
2020-07-01,14,483,7,3,1,57,3,53,85,83,333,101,12
2020-08-01,13,563,6,2,0,53,5,53,85,74,232,67,12
