dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-09-01,1,13,1,1,1,0,0,0,1,1,0,0,0
2015-10-01,3,174,2,3,2,5,1,3,31,24,123,49,1
2015-11-01,1,4,0,1,0,0,0,0,4,2,21,20,1
2015-12-01,2,3,1,2,1,2,0,0,4,0,29,15,1
2016-01-01,5,35,3,4,1,2,1,4,8,9,64,19,1
2016-02-01,6,105,3,4,1,7,0,6,34,27,188,16,1
2016-03-01,12,222,7,7,3,80,13,68,142,106,686,39,8
2016-04-01,14,237,7,8,4,71,4,66,163,120,1137,52,5
2016-05-01,10,127,5,8,4,47,7,40,119,80,698,135,9
2016-06-01,18,60,13,8,4,24,1,22,47,53,407,111,15
2016-07-01,19,135,12,12,8,50,1,49,77,73,344,66,13
2016-08-01,13,86,7,9,3,29,1,26,74,46,513,59,8
2016-09-01,9,21,4,6,1,10,1,9,36,19,145,63,5
2016-10-01,10,38,3,6,1,19,0,16,48,26,218,35,3
2016-11-01,11,48,6,7,3,19,0,20,52,32,273,58,5
2016-12-01,8,37,4,6,2,21,0,14,55,26,336,81,5
2017-01-01,8,21,4,6,2,7,4,11,39,21,246,75,14
2017-02-01,10,18,6,7,4,12,0,4,37,14,199,54,11
2017-03-01,16,67,8,9,3,19,1,16,47,35,524,60,15
2017-04-01,19,84,10,12,7,31,4,28,70,54,581,63,13
2017-05-01,23,73,17,8,3,28,5,28,53,164,1143,42,20
2017-06-01,6,47,1,5,0,18,1,20,46,38,378,50,10
2017-07-01,6,18,4,6,3,11,0,0,30,3,96,43,11
2017-08-01,9,48,4,5,1,16,5,21,26,36,416,45,4
2017-09-01,7,13,4,6,2,5,0,3,17,9,94,40,8
2017-10-01,9,14,6,8,3,9,1,6,19,12,146,49,7
2017-11-01,7,8,2,7,2,7,1,2,16,8,105,55,6
2017-12-01,7,15,5,5,1,9,0,5,24,8,205,67,12
2018-01-01,5,15,2,4,0,10,0,7,28,13,270,58,8
2018-02-01,3,6,1,3,1,2,0,4,11,5,84,45,3
2018-03-01,6,8,4,6,2,7,4,3,23,9,122,55,4
2018-04-01,5,9,2,5,2,4,3,3,22,13,116,43,2
2018-05-01,6,23,3,5,2,5,10,12,18,68,282,48,6
2018-06-01,8,19,5,4,2,11,1,4,28,12,124,50,9
2018-07-01,8,21,5,5,2,5,1,9,21,32,244,60,7
2018-08-01,3,3,3,2,1,5,0,0,20,3,107,44,6
2018-09-01,8,12,2,7,1,8,1,5,26,14,150,45,3
2018-10-01,5,9,1,5,1,4,0,1,11,3,55,52,5
2018-11-01,6,24,1,5,1,9,1,8,26,17,200,61,5
2018-12-01,11,33,9,8,4,12,0,6,40,14,244,71,16
2019-01-01,12,47,7,5,1,18,4,20,35,36,340,69,6
2019-02-01,9,45,7,5,1,23,5,17,43,30,364,57,7
2019-03-01,13,88,5,8,3,33,4,29,60,62,507,89,13
2019-04-01,21,146,15,16,8,49,5,46,87,83,544,99,21
2019-05-01,15,109,7,10,3,40,6,34,63,56,438,66,12
2019-06-01,9,75,4,8,2,28,2,19,39,40,507,53,9
2019-07-01,10,34,6,5,2,17,4,13,37,28,183,66,14
2019-08-01,4,16,1,3,0,7,3,7,16,20,181,65,5
2019-09-01,11,74,5,7,2,27,1,28,51,47,331,189,30
2019-10-01,14,104,10,11,7,40,5,32,72,117,858,79,18
2019-11-01,10,55,5,8,2,21,2,22,34,70,383,66,7
2019-12-01,8,60,3,4,0,20,3,17,42,36,280,78,7
2020-01-01,9,71,4,4,0,24,2,21,37,35,265,78,11
2020-02-01,6,21,1,4,0,9,1,10,26,23,196,53,6
2020-03-01,4,35,2,4,1,9,0,8,26,21,139,61,8
2020-04-01,9,34,6,7,2,16,4,11,39,24,229,73,15
2020-05-01,13,42,8,8,3,20,4,18,37,39,283,84,14
2020-06-01,9,57,5,7,2,19,6,20,39,43,303,79,12
2020-07-01,14,75,5,11,5,25,2,14,51,58,513,72,12
2020-08-01,10,58,6,9,5,16,1,18,31,35,292,59,7
