dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-04-01,2,40,1,1,0,4,0,4,4,4,0,4,3
2016-05-01,1,11,0,1,0,2,0,1,3,1,3,3,2
2016-06-01,1,6,0,1,0,1,0,1,1,1,0,2,0
2016-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-08-01,0,0,0,0,0,0,0,0,1,0,1,3,2
2016-09-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-10-01,0,0,0,0,0,0,0,0,0,0,0,2,0
2016-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-12-01,3,75,2,3,2,6,1,5,6,8,2,4,1
2017-01-01,2,70,0,2,0,2,1,2,5,6,2,2,2
2017-02-01,2,46,0,2,0,2,0,2,2,2,0,6,3
2017-03-01,2,48,0,2,0,2,0,2,2,2,0,3,1
2017-04-01,2,8,0,2,0,1,0,1,2,1,2,8,0
2017-05-01,2,30,0,2,0,2,0,2,2,2,0,2,1
2017-06-01,2,73,0,2,0,3,0,3,3,3,0,7,0
2017-07-01,3,99,0,2,0,3,0,2,4,4,4,4,1
2017-08-01,2,76,0,2,0,2,0,3,3,3,9,14,1
2017-09-01,1,68,0,1,0,0,0,0,0,1,9,7,0
2017-10-01,2,41,0,2,0,1,0,1,19,7,70,11,6
2017-11-01,6,94,3,4,2,2,0,2,15,8,55,17,8
2017-12-01,3,42,1,3,1,3,0,3,17,14,27,29,5
2018-01-01,5,97,2,4,0,2,0,1,18,8,33,18,9
2018-02-01,8,58,3,4,1,1,0,2,20,17,39,20,4
2018-03-01,3,90,0,3,0,1,0,1,13,6,21,13,1
2018-04-01,3,60,0,3,0,1,0,1,5,5,21,10,2
2018-05-01,7,81,4,6,3,1,0,1,21,17,32,15,6
2018-06-01,4,55,1,3,0,2,0,2,12,33,90,19,4
2018-07-01,10,51,5,5,1,0,0,0,14,11,22,20,8
2018-08-01,11,122,5,6,1,1,0,1,21,15,15,19,8
2018-09-01,12,101,6,7,3,0,0,0,25,24,71,17,9
2018-10-01,10,68,1,5,0,1,0,1,18,26,48,11,4
2018-11-01,7,53,2,4,1,0,0,0,14,11,21,10,5
2018-12-01,11,170,3,5,1,2,1,1,16,18,30,16,7
2019-01-01,6,79,0,4,0,1,0,1,12,11,25,15,8
2019-02-01,8,50,1,5,1,2,0,1,5,5,0,11,1
2019-03-01,4,75,0,3,0,1,0,2,7,8,21,14,6
2019-04-01,5,102,1,5,1,1,0,1,6,7,25,10,6
2019-05-01,5,83,0,4,0,1,0,0,11,4,7,8,7
2019-06-01,7,124,2,3,0,0,0,1,11,9,10,17,10
2019-07-01,7,111,1,3,0,1,0,1,10,7,31,13,8
2019-08-01,4,52,1,3,0,1,0,0,9,1,9,12,1
2019-09-01,5,61,0,4,0,0,0,1,7,6,12,4,6
2019-10-01,4,38,1,4,0,0,0,0,4,2,4,8,6
2019-11-01,3,55,0,3,0,0,0,0,3,0,2,13,7
2019-12-01,5,139,1,4,0,0,0,0,4,3,11,6,3
2020-01-01,5,148,0,4,0,0,0,0,8,2,6,8,2
2020-02-01,5,71,1,3,0,0,0,0,9,1,7,8,5
2020-03-01,6,57,0,3,0,1,0,1,8,10,7,9,1
2020-04-01,1,4,0,1,0,0,0,0,7,2,11,10,6
2020-05-01,1,1,0,1,0,1,0,0,17,2,17,25,8
