dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-09-01,2,36,1,2,1,0,0,0,1,1,2,7,0
2016-10-01,1,27,0,1,0,0,0,0,4,0,32,6,0
2016-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-01,1,19,0,1,0,0,0,0,1,0,0,17,0
2017-01-01,1,40,0,1,0,0,0,0,3,2,10,3,1
2017-02-01,4,44,2,4,2,1,0,1,7,7,22,3,1
2017-03-01,3,96,0,3,0,1,0,1,9,15,52,13,2
2017-04-01,5,60,2,4,0,3,1,2,3,3,2,44,1
2017-05-01,2,61,0,2,0,0,0,0,9,8,50,36,2
2017-06-01,7,57,4,6,3,4,2,1,18,15,60,89,6
2017-07-01,4,8,2,4,1,2,1,2,11,9,49,45,4
2017-08-01,4,40,1,3,0,3,1,2,15,15,111,70,11
2017-09-01,4,43,1,2,0,2,0,2,10,13,59,155,6
2017-10-01,7,65,3,5,0,4,2,2,28,23,202,41,4
2017-11-01,10,84,7,5,1,5,5,0,44,50,328,203,35
2017-12-01,4,54,0,3,0,5,1,4,41,37,233,120,12
2018-01-01,9,79,4,6,1,12,2,9,24,23,166,551,32
2018-02-01,5,63,3,1,0,7,1,6,16,10,73,97,7
2018-03-01,3,109,0,2,0,2,0,3,14,21,107,92,13
2018-04-01,2,56,1,2,1,1,0,1,25,28,224,754,103
2018-05-01,3,47,1,2,0,3,0,2,17,17,131,215,36
2018-06-01,5,37,2,2,0,6,2,5,19,16,75,203,16
2018-07-01,4,24,3,4,2,2,0,2,8,9,54,183,16
2018-08-01,1,23,0,1,0,0,0,0,8,8,26,65,10
2018-09-01,3,29,0,3,0,4,0,4,19,18,115,61,8
2018-10-01,4,55,1,3,0,4,0,4,10,10,35,91,10
2018-11-01,4,93,0,3,0,2,0,2,5,7,67,93,6
2018-12-01,3,44,0,2,0,4,0,4,15,14,93,71,11
2019-01-01,3,84,1,2,0,2,0,0,3,2,10,56,13
2019-02-01,1,73,0,1,0,0,0,2,2,3,16,29,4
2019-03-01,2,142,0,2,0,2,0,2,5,5,20,52,3
2019-04-01,1,41,0,1,0,0,0,0,5,5,39,102,9
2019-05-01,4,52,3,2,0,3,0,3,14,13,83,107,10
2019-06-01,2,15,0,1,0,0,0,0,11,9,92,53,5
2019-07-01,1,9,0,1,0,0,0,0,4,7,22,92,16
2019-08-01,2,28,1,2,1,2,1,1,8,7,12,52,11
2019-09-01,1,5,0,1,0,0,0,0,2,3,32,41,6
2019-10-01,0,0,0,0,0,0,0,0,2,0,14,32,3
2019-11-01,3,28,2,3,0,2,0,2,3,4,21,33,9
2019-12-01,3,39,1,3,0,13,0,13,23,24,96,23,5
2020-01-01,2,14,0,2,0,1,0,1,3,4,13,34,4
2020-02-01,2,2,0,2,0,1,0,1,1,1,2,14,4
2020-03-01,3,4,0,3,0,2,0,2,4,4,14,23,3
2020-04-01,3,29,1,3,0,2,0,2,6,2,24,22,4
2020-05-01,3,38,1,3,0,3,1,2,15,15,94,30,6
2020-06-01,6,66,3,4,0,6,1,5,9,10,40,46,8
2020-07-01,6,32,3,5,0,9,3,6,14,13,45,48,5
2020-08-01,3,14,1,3,0,3,1,2,3,4,13,26,7
