dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-01-01,2,56,1,2,1,28,0,28,50,45,29,0,1
2016-02-01,1,110,0,1,0,29,1,28,31,31,25,12,0
2016-03-01,1,164,0,1,0,18,0,18,51,46,112,53,1
2016-04-01,2,141,1,1,0,7,0,7,69,49,236,39,2
2016-05-01,7,114,6,4,3,15,2,13,98,67,310,64,7
2016-06-01,4,100,2,2,1,12,0,12,56,64,350,36,4
2016-07-01,4,20,3,2,1,6,0,4,19,9,113,16,7
2016-08-01,2,73,1,2,1,13,0,13,46,48,178,19,2
2016-09-01,11,119,9,4,2,22,0,20,62,50,413,20,7
2016-10-01,7,112,4,3,1,32,3,29,86,63,431,28,10
2016-11-01,5,21,4,2,1,9,0,9,33,22,177,31,5
2016-12-01,7,46,5,2,1,31,7,26,59,51,220,20,5
2017-01-01,9,47,6,6,5,18,2,17,44,28,161,15,5
2017-02-01,7,43,2,5,1,17,1,16,49,43,349,21,6
2017-03-01,13,96,7,6,1,64,10,55,118,125,496,23,9
2017-04-01,4,30,2,1,0,17,3,14,47,37,326,17,4
2017-05-01,8,32,5,5,2,15,0,15,41,34,204,18,6
2017-06-01,3,31,1,2,0,14,1,12,32,28,195,15,3
2017-07-01,7,24,5,4,3,7,0,5,19,32,226,15,5
2017-08-01,5,32,2,3,0,11,2,10,25,22,113,13,3
2017-09-01,6,17,3,4,2,11,2,6,22,15,100,16,7
2017-10-01,4,9,3,1,0,3,1,4,14,8,51,12,2
2017-11-01,3,11,1,1,0,4,0,2,16,4,52,9,2
2017-12-01,6,22,1,2,0,5,0,7,8,9,25,12,3
2018-01-01,4,12,1,3,1,5,1,3,10,9,54,12,2
2018-02-01,7,13,3,4,2,4,0,4,10,7,45,14,2
2018-03-01,4,23,3,3,2,3,3,4,11,21,178,12,2
2018-04-01,8,91,4,6,2,18,2,14,35,28,273,15,6
2018-05-01,8,105,4,6,3,25,1,25,43,184,747,20,6
2018-06-01,3,31,0,3,0,11,0,9,27,21,144,12,2
2018-07-01,5,26,2,3,1,4,2,2,15,8,33,16,2
2018-08-01,10,48,5,4,1,12,2,9,20,14,101,19,5
2018-09-01,4,44,1,2,0,14,3,15,26,31,167,18,0
2018-10-01,4,12,2,2,1,6,1,4,13,7,68,11,5
2018-11-01,4,15,2,1,0,6,0,5,15,10,63,15,3
2018-12-01,6,19,3,2,0,6,1,6,13,21,62,15,8
2019-01-01,5,28,1,3,0,15,0,8,23,9,67,13,4
2019-02-01,6,66,1,4,1,14,3,17,19,24,62,13,3
2019-03-01,3,20,1,1,0,8,0,5,17,8,42,9,3
2019-04-01,6,16,4,4,3,5,1,3,24,13,178,8,2
2019-05-01,4,13,1,2,1,4,0,2,10,6,52,21,6
2019-06-01,7,24,3,3,2,11,3,7,17,14,87,15,6
2019-07-01,3,11,1,2,1,5,1,5,22,14,80,12,2
2019-08-01,8,38,6,4,3,16,0,16,28,27,89,16,10
2019-09-01,5,26,2,3,0,8,4,9,20,16,95,11,2
2019-10-01,8,50,3,5,2,13,1,13,32,32,222,38,5
2019-11-01,7,73,3,5,2,18,4,15,23,35,184,22,3
2019-12-01,9,112,4,4,1,35,3,29,44,36,101,16,5
2020-01-01,7,85,2,4,1,29,2,30,47,51,206,12,6
2020-02-01,7,150,1,4,1,69,5,62,92,93,366,11,2
2020-03-01,7,156,1,4,0,55,2,55,78,84,334,12,5
2020-04-01,9,186,4,6,2,84,3,80,103,121,373,20,6
2020-05-01,6,107,1,5,0,45,3,41,67,71,182,9,2
2020-06-01,6,90,2,3,0,37,2,37,56,69,114,13,3
2020-07-01,6,123,1,4,1,56,3,54,79,81,113,5,1
2020-08-01,6,58,0,4,0,28,1,27,41,43,66,14,1
