dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-07-01,3,138,3,3,2,4,1,3,46,25,176,43,6
2015-08-01,5,93,3,2,0,0,0,0,20,12,76,12,1
2015-09-01,2,22,1,2,0,0,0,0,14,9,40,5,2
2015-10-01,3,23,1,1,0,0,0,0,30,5,101,2,1
2015-11-01,5,33,2,2,0,0,0,0,29,14,164,12,1
2015-12-01,6,52,2,2,0,0,0,0,21,13,66,3,0
2016-01-01,5,55,1,3,1,0,0,0,39,16,134,3,2
2016-02-01,4,15,0,3,0,0,0,0,13,10,65,1,1
2016-03-01,7,57,3,3,0,0,0,0,29,17,89,6,2
2016-04-01,4,55,0,2,0,0,0,0,14,34,103,1,1
2016-05-01,4,37,0,2,0,0,0,0,16,9,139,2,1
2016-06-01,4,51,0,2,0,0,0,0,7,2,47,2,2
2016-07-01,3,14,1,2,0,0,0,0,8,1,41,8,0
2016-08-01,5,58,0,3,0,0,0,0,28,36,270,6,0
2016-09-01,3,11,0,2,0,0,0,0,14,8,42,2,1
2016-10-01,4,133,1,2,0,0,0,0,21,20,172,7,0
2016-11-01,4,114,0,2,0,0,0,0,33,39,364,9,1
2016-12-01,4,104,0,2,0,0,0,0,39,29,301,2,1
2017-01-01,7,127,0,2,0,0,0,0,52,35,369,4,0
2017-02-01,6,117,2,4,2,0,0,0,51,49,548,6,4
2017-03-01,13,92,9,4,2,0,0,0,58,37,643,20,17
2017-04-01,9,35,5,5,3,0,0,0,26,9,185,11,7
2017-05-01,7,59,0,3,0,0,0,0,21,20,248,19,3
2017-06-01,5,81,1,3,1,0,0,0,39,50,413,12,3
2017-07-01,8,131,1,5,0,0,0,0,43,17,288,10,6
2017-08-01,6,69,0,3,0,0,0,0,34,29,207,14,4
2017-09-01,5,74,0,2,0,0,0,0,33,15,203,14,5
2017-10-01,7,101,1,3,0,0,0,0,50,58,405,15,4
2017-11-01,9,48,5,4,1,0,0,0,29,19,316,21,8
2017-12-01,7,22,4,5,3,0,0,0,23,5,198,19,8
2018-01-01,5,112,2,3,0,0,0,0,28,8,253,11,7
2018-02-01,13,126,4,6,0,0,0,0,49,78,576,18,1
2018-03-01,11,76,2,7,1,0,0,0,55,28,282,24,5
2018-04-01,6,179,1,4,1,0,0,0,40,24,198,12,1
2018-05-01,5,139,1,2,0,0,0,0,35,22,178,22,6
2018-06-01,4,104,1,3,0,0,0,0,36,22,168,16,6
2018-07-01,3,103,0,3,0,0,0,0,25,18,92,13,0
2018-08-01,3,36,1,3,0,0,0,0,12,25,157,7,2
2018-09-01,4,81,1,3,1,0,0,0,37,23,125,10,2
2018-10-01,4,100,0,3,0,0,0,0,43,63,340,17,2
2018-11-01,7,169,3,2,0,0,0,0,64,107,479,17,3
2018-12-01,6,76,0,2,0,0,0,0,20,26,154,15,0
2019-01-01,6,91,3,5,1,0,0,0,25,12,105,17,2
2019-02-01,8,116,2,4,1,1,0,1,55,34,275,26,8
2019-03-01,10,208,6,4,2,0,0,0,82,57,423,79,31
2019-04-01,10,145,4,4,0,2,2,0,60,40,286,47,9
2019-05-01,6,139,2,3,1,0,0,0,31,9,120,30,10
2019-06-01,6,299,1,3,0,0,0,0,57,49,325,30,4
2019-07-01,9,274,2,5,0,0,0,0,34,22,215,17,3
2019-08-01,9,251,1,5,1,0,0,0,37,41,298,17,2
2019-09-01,9,118,2,5,1,0,0,0,34,30,190,33,8
2019-10-01,9,161,3,4,0,0,0,0,63,97,564,30,7
2019-11-01,7,44,0,4,0,0,0,0,45,20,175,19,4
2019-12-01,7,31,2,3,0,0,0,0,24,13,105,19,6
2020-01-01,6,45,0,2,0,0,0,0,16,19,102,16,4
2020-02-01,8,52,3,3,0,0,0,0,57,11,178,25,10
2020-03-01,13,96,5,4,1,0,0,0,46,20,239,26,13
2020-04-01,8,114,3,5,0,0,0,0,32,20,114,17,9
2020-05-01,4,49,1,3,1,0,0,0,35,5,33,26,6
2020-06-01,1,15,0,1,0,0,0,0,40,14,113,23,4
2020-07-01,9,125,2,2,0,1,0,0,53,48,197,22,5
2020-08-01,4,42,0,3,0,0,0,0,40,12,45,17,5
