dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-10-01,0,0,0,0,0,0,0,0,17,0,49,1,0
2016-11-01,2,5,1,2,1,3,0,1,3,1,7,2,0
2016-12-01,3,36,1,3,1,4,1,3,5,7,21,6,2
2017-01-01,3,20,1,3,1,5,0,5,7,5,24,2,2
2017-02-01,2,50,1,1,0,3,0,4,9,6,49,10,3
2017-03-01,5,34,3,2,1,6,0,6,10,10,56,18,4
2017-04-01,6,67,0,4,0,18,0,17,24,23,96,21,3
2017-05-01,6,51,2,4,1,12,0,12,20,16,178,21,4
2017-06-01,4,34,0,2,0,14,0,16,23,25,136,14,3
2017-07-01,3,3,1,2,1,2,0,1,9,3,50,40,7
2017-08-01,2,14,0,1,0,2,0,2,16,12,167,28,3
2017-09-01,3,19,1,3,1,7,1,6,11,14,38,14,4
2017-10-01,2,5,0,1,0,2,0,3,9,7,75,15,0
2017-11-01,5,51,2,3,1,20,0,14,31,20,231,25,7
2017-12-01,5,48,1,2,0,15,0,12,20,13,141,20,2
2018-01-01,4,25,0,2,0,15,2,9,25,12,151,28,3
2018-02-01,4,42,2,2,1,11,1,20,29,30,206,35,4
2018-03-01,5,23,3,4,2,18,2,9,29,17,132,27,5
2018-04-01,2,21,0,1,0,16,1,6,25,8,77,30,8
2018-05-01,4,27,2,2,1,6,3,5,16,16,192,37,2
2018-06-01,2,63,0,1,0,23,2,21,36,39,247,33,2
2018-07-01,3,23,2,2,0,6,1,11,16,17,163,36,5
2018-08-01,2,58,0,1,0,19,1,20,32,39,274,30,2
2018-09-01,2,17,1,1,0,7,0,8,10,12,70,27,1
2018-10-01,4,29,2,3,1,10,2,11,18,20,98,46,4
2018-11-01,3,49,0,2,0,14,1,17,24,25,216,38,2
2018-12-01,2,12,1,1,0,6,0,4,10,5,54,36,4
2019-01-01,3,18,1,3,1,6,0,3,25,14,133,46,6
2019-02-01,2,10,1,2,1,4,0,4,10,10,41,33,7
2019-03-01,3,31,2,1,0,12,0,14,21,17,175,48,5
2019-04-01,1,14,0,1,0,5,0,5,15,17,156,62,1
2019-05-01,2,4,0,1,0,2,0,2,5,5,19,47,8
2019-06-01,4,7,3,2,1,4,0,3,9,6,66,36,4
2019-07-01,1,1,0,1,0,1,0,0,6,1,39,26,4
2019-08-01,4,14,3,3,1,7,1,7,14,10,78,44,7
2019-09-01,2,14,0,2,0,10,1,5,20,15,159,33,5
2019-10-01,2,14,0,2,0,6,2,7,13,18,96,32,1
2019-11-01,1,2,0,1,0,1,0,1,5,2,16,36,1
2019-12-01,2,3,0,2,0,2,1,1,9,4,74,39,7
2020-01-01,1,1,0,1,0,0,0,0,2,1,21,27,4
2020-02-01,1,4,0,1,0,2,0,2,9,6,58,45,2
2020-03-01,2,32,1,1,0,14,1,14,20,28,117,35,3
2020-04-01,1,4,0,1,0,1,0,1,2,1,5,31,4
2020-05-01,2,4,1,2,1,6,0,2,52,13,169,145,13
