dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-10-01,5,146,4,2,1,18,0,16,42,19,129,0,0
2015-11-01,6,168,3,3,1,25,1,25,46,38,269,1,0
2015-12-01,5,97,1,3,0,14,0,12,28,20,177,0,0
2016-01-01,2,85,0,2,0,14,1,12,25,21,85,0,0
2016-02-01,2,86,0,2,0,21,1,24,48,45,183,0,0
2016-03-01,6,80,2,2,0,40,3,33,84,72,395,45,1
2016-04-01,6,12,2,2,0,8,4,4,33,21,209,151,19
2016-05-01,1,1,0,1,0,0,0,0,11,5,89,39,6
2016-06-01,1,3,0,1,0,1,0,2,11,5,73,32,4
2016-07-01,1,1,1,1,1,3,0,0,22,4,124,53,8
2016-08-01,3,6,0,2,0,4,0,4,22,11,195,408,50
2016-09-01,3,9,0,2,0,7,0,6,18,19,199,42,5
2016-10-01,5,20,1,3,1,21,3,16,31,24,277,71,10
2016-11-01,6,8,3,4,0,11,1,6,27,24,245,47,13
2016-12-01,6,18,1,5,1,20,1,16,31,25,210,48,7
2017-01-01,6,20,1,4,1,14,0,18,31,46,356,58,8
2017-02-01,1,1,0,1,0,1,1,1,15,7,72,33,3
2017-03-01,1,1,0,1,0,2,0,1,10,3,49,38,4
2017-04-01,3,4,2,2,0,5,2,4,11,10,72,32,3
2017-05-01,2,2,2,2,1,2,0,2,16,2,83,38,6
2017-06-01,3,5,1,3,1,9,0,5,17,13,97,25,4
2017-07-01,2,3,0,2,0,1,1,3,13,11,79,35,1
2017-08-01,3,15,0,3,0,17,4,15,30,53,211,38,8
2017-09-01,2,5,0,2,0,2,1,5,15,13,95,30,1
2017-10-01,2,2,1,2,0,6,1,2,14,10,100,30,8
2017-11-01,3,14,2,3,1,12,3,13,24,26,155,47,12
2017-12-01,2,2,1,2,0,4,0,2,10,5,31,42,4
2018-01-01,1,3,0,1,0,7,1,3,17,6,100,41,6
2018-02-01,3,6,0,2,0,5,1,5,12,17,135,38,1
2018-03-01,5,8,2,3,0,7,2,8,24,22,127,44,4
2018-04-01,1,2,0,1,0,6,0,2,20,16,158,40,11
2018-05-01,1,1,0,1,0,2,1,1,8,2,41,37,6
2018-06-01,2,12,0,2,0,4,1,6,13,12,29,36,1
2018-07-01,2,2,1,1,0,2,4,2,8,8,75,36,3
2018-08-01,4,8,2,3,1,11,0,5,30,11,55,30,6
2018-09-01,6,35,3,5,2,32,1,34,71,66,251,44,10
2018-10-01,8,30,5,4,0,41,2,27,82,77,258,43,7
2018-11-01,6,52,3,5,0,40,3,46,83,87,297,62,8
2018-12-01,2,36,0,2,0,35,0,29,73,68,256,107,10
2019-01-01,3,35,1,3,0,21,3,31,48,64,171,77,9
2019-02-01,2,22,0,2,0,17,2,17,44,56,238,55,4
2019-03-01,1,1,0,1,0,1,0,1,12,7,61,65,8
2019-04-01,0,0,0,0,0,2,0,0,15,5,32,64,17
2019-05-01,4,14,4,3,1,24,0,2,38,8,56,47,12
2019-06-01,6,107,3,3,0,77,6,95,129,107,81,57,13
2019-07-01,8,59,4,3,0,1,0,1,54,56,37,48,7
2019-08-01,7,76,1,4,0,3,0,3,87,75,103,64,12
2019-09-01,5,40,2,4,1,0,0,0,40,24,80,54,6
2019-10-01,8,70,2,5,0,3,3,0,80,157,495,59,9
2019-11-01,5,28,0,2,0,6,2,4,66,119,379,63,13
2019-12-01,6,33,1,2,0,4,1,3,50,53,141,58,9
2020-01-01,5,45,0,2,0,2,1,1,74,72,179,69,7
2020-02-01,4,41,0,2,0,0,0,0,63,55,173,56,14
2020-03-01,3,23,0,2,0,3,1,2,40,34,84,68,10
2020-04-01,5,33,1,2,0,0,0,0,71,43,243,57,7
2020-05-01,6,53,2,3,1,2,1,1,71,72,221,72,13
2020-06-01,4,41,1,3,1,1,1,0,54,58,219,53,7
2020-07-01,4,18,1,2,0,0,0,0,71,59,120,46,7
2020-08-01,2,2,0,2,0,0,0,0,58,50,160,51,10
