dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-09-01,1,18,0,1,0,0,0,0,1,1,2,2,0
2016-10-01,1,25,0,1,0,0,0,0,4,1,32,7,1
2016-11-01,1,12,0,1,0,0,0,0,9,8,65,5,1
2016-12-01,1,2,0,1,0,1,0,0,2,0,0,2,3
2017-01-01,1,4,0,1,0,0,0,0,0,0,0,2,1
2017-02-01,1,9,0,1,0,2,3,0,5,3,7,7,4
2017-03-01,1,6,0,1,0,0,0,0,3,1,18,3,1
2017-04-01,1,20,0,1,0,0,0,0,2,2,35,5,0
2017-05-01,1,18,0,1,0,2,2,0,7,7,53,11,4
2017-06-01,2,9,1,2,1,0,0,0,3,5,57,6,1
2017-07-01,1,4,0,1,0,1,1,0,2,3,43,5,2
2017-08-01,1,29,0,1,0,4,4,0,9,4,6,9,3
2017-09-01,1,19,0,1,0,0,0,0,3,4,15,18,2
2017-10-01,1,28,0,1,0,1,1,0,15,9,97,14,0
2017-11-01,1,32,0,1,0,8,8,0,32,33,137,27,6
2017-12-01,1,7,0,1,0,0,0,0,4,1,12,7,3
2018-01-01,1,10,0,1,0,2,2,0,7,2,13,64,3
2018-02-01,1,12,0,1,0,2,1,0,9,5,89,12,2
2018-03-01,1,21,0,1,0,7,8,0,23,32,104,23,3
2018-04-01,2,10,1,2,1,6,6,0,14,10,47,25,4
2018-05-01,2,15,0,2,0,3,3,0,18,28,145,24,3
2018-06-01,2,41,0,2,0,3,3,0,21,20,189,28,1
2018-07-01,1,13,0,1,0,0,0,0,7,4,25,13,1
2018-08-01,1,3,0,1,0,4,2,0,14,4,17,20,3
2018-09-01,1,20,0,1,0,1,3,0,13,12,26,22,3
2018-10-01,2,25,0,2,0,1,0,0,10,2,48,24,5
2018-11-01,3,46,2,3,2,5,1,4,17,23,187,34,6
2018-12-01,3,43,2,3,1,2,0,3,18,14,65,29,4
2019-01-01,3,54,0,3,0,6,3,3,27,27,146,29,3
2019-02-01,4,55,1,4,1,6,1,5,19,15,43,35,2
2019-03-01,4,53,2,3,1,4,1,3,35,27,276,36,5
2019-04-01,1,65,0,1,0,2,1,0,25,6,96,34,5
2019-05-01,5,115,2,4,0,11,4,8,57,65,373,41,6
2019-06-01,5,85,3,4,1,4,0,4,30,18,119,35,3
2019-07-01,5,98,2,4,1,8,1,7,21,30,77,40,8
2019-08-01,3,89,0,2,0,4,1,3,17,11,88,30,5
2019-09-01,1,66,0,1,0,0,0,0,11,9,54,27,1
2019-10-01,4,85,2,3,0,4,0,4,13,17,72,31,5
2019-11-01,3,66,0,3,0,2,0,2,32,32,261,39,8
2019-12-01,1,27,0,1,0,1,1,0,9,6,54,32,2
2020-01-01,1,32,0,1,0,0,0,0,11,4,32,102,8
2020-02-01,3,35,1,3,0,2,0,2,21,30,242,98,7
2020-03-01,4,38,0,3,0,6,0,6,31,28,119,57,8
2020-04-01,3,133,1,3,1,4,1,3,21,12,47,56,8
2020-05-01,3,49,0,3,0,2,0,2,15,6,49,55,2
2020-06-01,1,9,0,1,0,0,0,0,15,3,59,74,5
2020-07-01,2,70,0,2,0,2,0,2,23,34,146,52,12
2020-08-01,4,49,1,4,1,3,0,3,35,15,83,74,12
