dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-02-01,4,35,1,3,1,2,0,2,2,2,4,0,1
2015-03-01,6,141,2,3,0,6,0,6,6,6,4,0,0
2015-04-01,5,130,2,2,0,6,1,5,16,8,34,2,3
2015-05-01,6,94,2,3,1,1,0,1,19,8,38,5,3
2015-06-01,7,81,3,3,0,2,0,1,10,12,19,10,3
2015-07-01,1,2,0,1,0,0,0,1,0,1,1,2,2
2015-08-01,3,19,0,2,0,0,0,0,0,0,0,5,1
2015-09-01,2,3,1,1,0,1,0,0,8,1,1,7,1
2015-10-01,5,66,1,4,1,1,0,2,5,7,16,9,1
2015-11-01,2,48,0,2,0,0,0,0,3,8,6,5,2
2015-12-01,3,32,0,2,0,1,0,1,2,2,2,5,0
2016-01-01,3,12,1,2,1,1,0,1,1,3,4,1,2
2016-02-01,2,2,0,2,0,1,0,0,3,0,3,5,1
2016-03-01,2,10,0,2,0,4,0,4,6,5,10,20,1
2016-04-01,3,4,2,3,1,2,0,2,2,2,4,5,1
2016-05-01,1,4,1,1,0,2,0,0,4,1,17,4,1
2016-06-01,3,3,2,2,1,2,1,1,7,4,19,2,5
2016-07-01,0,0,0,0,0,0,0,0,1,2,13,2,1
2016-08-01,0,0,0,0,0,1,0,0,1,0,4,5,1
2016-09-01,0,0,0,0,0,0,0,0,0,0,0,1,2
2016-10-01,1,4,1,1,0,1,0,0,1,0,1,2,2
2016-11-01,1,9,0,1,0,3,0,4,9,4,22,4,0
2016-12-01,0,0,0,0,0,1,0,0,3,0,9,4,6
2017-01-01,2,3,2,2,1,1,0,0,3,0,6,6,4
2017-02-01,5,9,3,3,0,1,0,0,3,0,8,14,8
2017-03-01,4,7,2,3,2,2,0,0,3,0,6,7,1
2017-04-01,5,22,2,4,2,5,1,5,6,9,26,6,2
2017-05-01,9,300,3,5,0,11,4,13,16,20,13,4,3
2017-06-01,4,331,2,2,1,8,6,2,200,198,20,1,2
2017-07-01,3,310,0,1,0,2,1,2,20,22,76,8,2
2017-08-01,3,8,1,3,1,6,3,2,10,6,15,8,2
2017-09-01,3,6,0,2,0,3,0,3,3,3,7,3,5
2017-10-01,3,10,1,2,0,4,0,4,5,6,12,17,1
2017-11-01,0,0,0,0,0,0,0,0,1,0,0,6,1
2017-12-01,3,7,1,2,0,4,0,4,4,5,14,5,1
2018-01-01,5,37,2,4,1,34,1,33,46,36,100,5,2
2018-02-01,3,12,0,2,0,9,1,8,11,16,36,8,3
2018-03-01,3,5,1,3,1,2,0,3,2,8,13,4,2
2018-04-01,3,5,1,3,1,5,2,2,7,5,13,4,1
2018-05-01,2,2,0,1,0,0,0,1,0,1,1,4,1
2018-06-01,5,25,3,4,3,5,3,3,10,19,56,3,4
2018-07-01,4,22,0,4,0,4,0,4,6,4,20,7,3
2018-08-01,4,31,0,4,0,2,0,2,8,4,15,4,4
2018-09-01,2,7,0,2,0,0,0,0,1,0,0,14,2
2018-10-01,2,29,1,2,1,0,0,0,0,0,0,10,4
2018-11-01,3,6,0,2,0,1,0,1,1,1,4,4,2
2018-12-01,2,10,0,2,0,0,0,0,1,0,0,7,2
2019-01-01,9,22,6,5,2,2,0,2,7,7,14,11,12
2019-02-01,3,18,1,2,0,2,1,1,14,20,64,11,5
2019-03-01,3,4,1,3,0,2,0,2,8,5,32,12,6
2019-04-01,2,2,0,2,0,1,0,1,1,1,6,4,3
2019-05-01,1,1,0,1,0,1,0,0,12,7,19,11,1
2019-06-01,0,0,0,0,0,1,1,0,3,3,4,19,6
2019-07-01,0,0,0,0,0,0,0,0,7,0,1,10,8
2019-08-01,1,2,0,1,0,0,0,0,1,2,2,4,2
2019-09-01,1,1,1,1,0,0,0,1,5,5,3,14,3
2019-10-01,1,15,0,1,0,0,0,0,10,1,14,6,4
2019-11-01,3,28,1,2,0,5,2,3,11,17,34,13,6
2019-12-01,0,0,0,0,0,0,0,0,0,0,0,4,6
2020-01-01,0,0,0,0,0,0,0,0,2,0,3,10,1
2020-02-01,4,22,2,2,0,8,0,8,9,9,12,20,10
2020-03-01,1,3,0,1,0,4,0,0,6,2,19,14,6
2020-04-01,3,4,1,2,0,3,3,3,9,11,17,14,7
2020-05-01,0,0,0,0,0,4,1,0,5,2,6,17,7
2020-06-01,3,3,2,1,0,4,0,2,39,28,21,6,6
2020-07-01,0,0,0,0,0,4,10,0,43,39,20,9,3
2020-08-01,2,2,1,2,0,4,3,1,36,35,8,11,4
