dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-10-01,4,27,4,2,2,3,0,2,8,7,6,1,2
2015-11-01,3,38,0,2,0,8,1,7,8,8,0,0,1
2015-12-01,2,5,0,1,0,1,1,1,1,2,0,0,0
2016-01-01,4,100,1,2,0,15,2,12,15,14,8,11,1
2016-02-01,6,201,2,4,2,48,5,44,48,49,74,13,3
2016-03-01,6,63,2,2,0,0,0,0,1,0,1,19,1
2016-04-01,6,77,1,2,0,0,0,0,1,1,3,58,4
2016-05-01,4,46,0,1,0,0,0,0,0,1,2,18,10
2016-06-01,5,56,1,2,0,0,0,0,1,0,1,45,15
2016-07-01,5,30,1,2,1,0,0,0,9,0,9,13,5
2016-08-01,5,32,0,2,0,0,0,0,15,6,26,3,3
2016-09-01,8,45,3,5,3,1,1,0,37,17,72,6,1
2016-10-01,10,67,2,7,2,1,1,0,21,19,49,10,6
2016-11-01,8,74,0,5,0,1,1,0,14,13,35,29,8
2016-12-01,9,56,2,4,0,1,1,0,17,13,66,17,5
2017-01-01,10,60,1,5,0,1,1,0,7,11,56,14,3
2017-02-01,8,49,1,5,0,0,0,0,21,10,47,20,4
2017-03-01,5,81,0,3,0,0,0,0,11,20,52,27,3
2017-04-01,6,51,1,4,1,0,0,0,10,10,41,22,2
2017-05-01,4,37,0,2,0,0,0,0,6,9,22,19,3
2017-06-01,8,51,0,4,0,24,2,16,32,23,100,25,5
2017-07-01,8,78,3,5,3,42,2,33,59,47,372,17,10
2017-08-01,8,73,2,6,2,43,3,37,67,48,314,24,3
2017-09-01,8,109,1,4,0,48,2,46,67,69,737,13,1
2017-10-01,8,136,2,4,0,59,3,56,72,74,382,18,4
2017-11-01,10,149,2,5,1,76,9,67,94,89,441,22,3
2017-12-01,7,89,0,4,0,39,6,31,47,39,187,31,5
2018-01-01,10,151,2,7,2,59,8,52,66,68,492,9,4
2018-02-01,10,132,2,7,2,61,5,52,70,90,582,49,2
2018-03-01,7,122,1,4,1,71,15,53,94,78,757,41,4
2018-04-01,12,113,2,9,1,53,4,50,64,59,761,31,2
2018-05-01,7,191,0,4,0,76,7,74,92,93,1007,22,2
2018-06-01,7,138,0,3,0,54,3,55,60,65,868,33,6
2018-07-01,7,196,1,4,1,86,6,70,96,85,1095,21,1
2018-08-01,7,87,1,3,0,39,3,35,42,40,344,37,8
2018-09-01,9,135,1,4,0,52,3,51,69,63,376,49,8
2018-10-01,8,160,0,4,0,71,8,58,89,82,876,43,12
2018-11-01,12,100,5,5,0,49,12,33,68,56,839,57,9
2018-12-01,12,86,6,5,2,50,5,31,61,45,749,30,8
2019-01-01,16,181,7,8,2,70,7,64,80,90,941,39,9
2019-02-01,9,77,1,5,0,32,2,30,39,37,324,37,4
2019-03-01,11,152,0,5,0,58,3,53,69,74,743,67,5
2019-04-01,10,101,0,5,0,34,5,40,39,51,575,30,4
2019-05-01,9,128,0,5,0,41,3,33,56,41,396,41,4
2019-06-01,9,116,2,5,1,35,4,43,48,64,401,29,9
2019-07-01,11,130,2,5,1,42,7,31,49,45,595,70,16
2019-08-01,8,34,1,3,0,22,1,12,28,21,287,25,3
2019-09-01,11,166,3,5,2,58,11,53,66,74,706,81,14
2019-10-01,12,100,3,5,0,48,9,36,58,50,414,46,11
2019-11-01,10,38,3,5,2,17,8,18,26,42,163,28,5
2019-12-01,3,10,1,2,1,5,1,4,12,12,82,27,11
2020-01-01,4,17,2,3,1,10,1,6,14,10,98,25,6
2020-02-01,6,65,0,3,0,20,10,21,24,32,190,34,2
2020-03-01,5,52,2,4,1,22,2,14,31,19,148,30,8
2020-04-01,3,8,1,1,0,3,0,6,9,11,33,55,8
2020-05-01,3,8,1,1,0,1,0,7,9,10,49,49,7
2020-06-01,4,16,0,2,0,11,0,6,21,8,62,26,4
2020-07-01,3,28,0,1,0,13,2,12,25,21,92,33,8
2020-08-01,2,10,0,1,0,3,1,2,5,3,65,44,8
