dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-11-01,4,154,4,4,4,0,0,0,2,0,8,2,0
2015-12-01,3,147,0,3,0,0,0,0,16,13,57,0,0
2016-01-01,3,123,1,2,0,0,0,0,8,3,22,40,11
2016-02-01,2,60,0,2,0,0,0,0,9,6,19,83,13
2016-03-01,2,153,0,2,0,1,1,0,5,3,13,99,29
2016-04-01,3,98,1,3,1,1,1,0,9,11,19,21,8
2016-05-01,2,63,0,2,0,0,0,0,0,2,5,28,11
2016-06-01,2,92,0,2,0,0,0,0,2,0,8,19,13
2016-07-01,3,77,1,3,1,1,0,1,2,7,8,29,14
2016-08-01,2,56,0,2,0,0,0,0,1,5,10,22,10
2016-09-01,3,5,1,3,1,1,0,1,1,1,0,22,12
2016-10-01,2,13,0,2,0,0,0,0,0,0,0,15,5
2016-11-01,3,126,1,3,1,2,0,2,13,8,47,25,16
2016-12-01,3,119,1,2,0,1,0,1,9,9,27,24,8
2017-01-01,3,31,1,3,1,1,0,1,4,5,11,12,5
2017-02-01,5,146,1,4,0,0,0,0,12,14,61,21,4
2017-03-01,4,126,0,3,0,3,1,2,25,16,80,24,8
2017-04-01,7,179,3,5,1,23,6,16,69,68,384,68,21
2017-05-01,5,17,0,4,0,7,1,6,15,15,149,60,21
2017-06-01,3,138,0,3,0,23,5,18,55,51,307,167,48
2017-07-01,4,195,1,4,1,14,1,13,68,65,302,70,28
2017-08-01,3,133,0,3,0,31,1,30,58,42,212,113,30
2017-09-01,7,215,4,5,1,52,8,43,104,107,643,301,81
2017-10-01,10,247,4,7,1,40,7,34,75,73,540,206,64
2017-11-01,7,248,1,5,0,36,5,27,72,51,450,156,67
2017-12-01,7,210,3,5,1,55,7,51,84,94,536,416,98
2018-01-01,12,279,6,9,3,49,2,41,69,70,516,299,75
2018-02-01,8,245,2,6,1,59,2,57,65,69,341,154,44
2018-03-01,8,153,2,6,2,95,8,88,153,138,567,198,72
2018-04-01,14,72,7,8,0,81,8,72,131,135,813,297,52
2018-05-01,16,63,9,8,2,71,8,63,161,138,950,301,89
2018-06-01,13,48,2,8,0,50,4,47,118,114,731,225,57
2018-07-01,10,77,5,7,1,28,4,25,92,82,517,288,67
2018-08-01,22,145,14,9,0,44,9,39,107,117,810,232,76
2018-09-01,9,60,2,6,0,62,6,50,110,99,691,243,63
2018-10-01,12,61,5,7,0,70,10,61,125,119,673,204,56
2018-11-01,20,66,11,11,3,70,7,64,131,133,1096,401,114
2018-12-01,13,62,5,9,1,62,6,54,118,117,820,336,110
2019-01-01,18,62,7,11,1,67,5,62,124,144,916,327,92
2019-02-01,14,35,8,7,0,41,7,35,75,84,460,303,93
2019-03-01,22,98,11,11,3,73,9,65,125,123,882,477,120
2019-04-01,24,57,14,8,1,67,9,55,141,132,947,1134,199
2019-05-01,26,76,14,13,3,99,17,75,231,210,1763,731,196
2019-06-01,22,84,9,9,0,94,18,83,172,182,1555,479,130
2019-07-01,21,76,10,9,1,97,22,76,225,254,1937,538,162
2019-08-01,26,68,11,9,0,83,15,66,190,189,1539,680,154
2019-09-01,18,55,8,10,1,65,14,55,165,174,1593,467,138
2019-10-01,23,100,12,11,1,116,18,99,209,202,1571,425,118
2019-11-01,32,93,16,10,0,125,32,93,225,209,1318,477,172
2019-12-01,25,84,7,9,0,99,13,84,171,163,1138,477,138
2020-01-01,20,47,9,12,3,59,10,47,146,135,1126,282,96
2020-02-01,20,64,10,10,2,68,9,56,124,119,868,207,54
2020-03-01,22,83,10,11,1,87,6,83,170,169,982,441,135
2020-04-01,15,47,1,9,1,53,6,47,137,138,783,409,128
2020-05-01,20,44,9,9,1,52,2,44,110,102,721,332,123
2020-06-01,22,52,5,10,2,62,9,52,151,142,937,383,104
2020-07-01,36,69,17,10,1,89,19,69,217,209,1370,349,119
2020-08-01,30,87,11,13,1,91,14,87,201,235,1397,324,116
