dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-02-01,2,17,2,1,1,1,0,1,18,7,47,1,0
2016-03-01,4,152,3,4,3,27,2,25,62,58,166,1,1
2016-04-01,3,108,1,3,1,26,2,24,65,55,135,5,1
2016-05-01,3,56,1,3,0,14,0,13,62,41,115,4,2
2016-06-01,9,62,6,6,2,13,0,13,70,22,221,4,1
2016-07-01,6,145,3,3,0,6,1,5,88,119,334,13,4
2016-08-01,10,199,4,4,1,0,1,0,52,25,135,14,3
2016-09-01,4,256,0,2,0,5,0,5,35,64,162,70,9
2016-10-01,4,61,0,2,0,0,0,0,21,12,72,20,4
2016-11-01,5,129,1,4,1,1,0,1,28,19,100,14,2
2016-12-01,3,31,0,2,0,0,0,0,11,2,21,22,7
2017-01-01,5,190,0,2,0,9,0,8,41,81,187,19,6
2017-02-01,6,51,1,2,0,9,1,8,23,12,75,21,5
2017-03-01,5,19,1,3,0,3,0,1,11,5,49,23,7
2017-04-01,5,53,1,4,1,6,0,5,17,10,79,27,6
2017-05-01,7,115,1,3,0,8,1,7,43,30,117,35,11
2017-06-01,7,136,1,4,0,7,1,4,43,28,138,67,11
2017-07-01,12,167,6,5,2,24,6,17,59,99,344,38,9
2017-08-01,8,77,2,2,1,13,2,10,45,33,113,57,11
2017-09-01,4,19,2,2,0,3,0,2,14,5,54,56,14
2017-10-01,2,13,1,2,1,3,0,4,16,14,25,52,21
2017-11-01,2,2,1,2,1,2,0,0,18,9,36,42,12
2017-12-01,1,48,0,1,0,4,2,8,8,41,116,103,14
2018-01-01,1,1,0,1,0,1,1,0,12,8,37,93,17
2018-02-01,2,8,1,1,0,2,1,2,19,6,38,54,8
2018-03-01,1,3,1,1,0,2,0,0,23,22,79,68,19
2018-04-01,2,2,1,1,0,3,0,0,14,6,32,65,15
2018-05-01,4,81,2,2,0,4,4,3,21,25,97,64,16
2018-06-01,8,24,3,3,0,5,2,4,31,24,160,99,20
2018-07-01,6,46,1,3,0,6,1,5,24,13,99,65,14
2018-08-01,7,38,4,6,1,12,0,6,30,15,75,113,18
2018-09-01,1,1,0,1,0,1,0,1,4,2,19,67,7
2018-10-01,1,4,0,1,0,1,0,2,3,3,17,59,15
2018-11-01,1,2,0,1,0,2,1,0,8,2,16,69,17
2018-12-01,3,5,0,2,0,1,0,1,7,2,26,68,9
2019-01-01,1,2,1,1,1,1,0,0,5,0,8,85,15
2019-02-01,3,10,1,3,1,4,0,3,18,118,288,87,16
2019-03-01,6,19,5,3,2,5,0,6,20,11,68,380,55
2019-04-01,1,1,0,1,0,0,0,1,11,3,24,153,30
2019-05-01,2,3,0,2,0,3,2,1,13,7,29,166,27
2019-06-01,7,50,2,3,0,1,0,2,74,59,284,167,16
2019-07-01,7,120,2,3,0,7,7,2,157,185,629,171,32
2019-08-01,7,61,2,3,0,29,9,26,93,111,453,329,42
2019-09-01,6,20,1,3,0,20,0,18,34,37,160,144,14
2019-10-01,4,7,0,3,0,5,1,5,24,19,154,99,10
2019-11-01,1,6,0,1,0,7,1,6,19,21,91,85,6
2019-12-01,2,2,0,2,0,1,0,2,6,12,44,62,7
2020-01-01,3,4,1,2,0,6,0,4,15,10,58,50,10
2020-02-01,1,1,0,1,0,0,1,1,12,10,37,65,3
2020-03-01,1,1,0,1,0,1,0,1,7,4,37,82,8
2020-04-01,1,8,0,1,0,11,0,8,22,21,100,83,9
2020-05-01,0,0,0,0,0,0,0,0,6,2,10,63,7
2020-06-01,1,1,0,1,0,2,1,1,3,5,21,63,7
2020-07-01,5,5,3,3,0,2,1,5,6,10,47,161,18
2020-08-01,1,3,0,1,0,4,0,3,9,10,40,70,10
