dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-07-01,10,87,9,6,5,19,0,16,46,34,241,1255,51
2015-08-01,1,3,0,1,0,0,0,0,23,2,68,106,10
2015-09-01,5,33,3,3,1,4,0,3,10,12,68,144,14
2015-10-01,2,7,2,2,1,4,0,0,10,2,36,125,10
2015-11-01,7,55,3,4,1,13,5,11,34,49,246,125,11
2015-12-01,7,30,4,4,2,7,0,6,15,15,77,164,15
2016-01-01,6,22,3,3,1,7,0,7,16,17,79,153,9
2016-02-01,3,3,1,1,0,1,1,1,6,5,40,92,11
2016-03-01,7,11,4,5,2,4,0,4,5,4,18,352,9
2016-04-01,3,3,1,2,0,2,0,1,3,2,16,172,9
2016-05-01,4,9,2,2,0,3,1,2,6,5,15,158,10
2016-06-01,1,1,0,1,0,0,0,0,6,5,48,114,4
2016-07-01,5,12,3,3,1,4,0,3,9,3,21,113,6
2016-08-01,5,17,2,5,1,3,0,4,6,5,11,138,10
2016-09-01,2,20,1,2,0,7,1,5,11,8,42,130,8
2016-10-01,9,26,6,6,3,11,0,10,34,23,110,189,11
2016-11-01,6,19,3,5,2,9,1,7,13,13,17,104,6
2016-12-01,4,9,1,3,0,8,0,3,11,3,11,88,7
2017-01-01,5,22,1,4,0,10,0,12,16,18,33,183,16
2017-02-01,2,2,2,1,0,5,1,2,9,3,23,186,8
2017-03-01,3,5,2,3,1,1,1,1,3,3,13,180,10
2017-04-01,5,21,2,3,0,10,0,3,17,5,48,168,15
2017-05-01,8,17,4,4,1,5,4,9,14,55,167,173,11
2017-06-01,1,1,1,1,0,5,1,1,13,4,27,107,9
2017-07-01,8,9,5,5,1,4,2,7,6,11,19,128,15
2017-08-01,7,48,5,4,2,7,0,7,13,12,22,110,14
2017-09-01,1,1,0,1,0,3,0,1,7,6,35,106,9
2017-10-01,13,30,10,8,5,18,5,15,27,32,80,153,20
2017-11-01,5,51,1,3,0,21,5,20,47,52,167,250,7
2017-12-01,1,2,0,1,0,3,0,0,10,2,29,145,9
2018-01-01,4,8,1,3,0,5,0,3,17,9,77,145,12
2018-02-01,2,2,1,2,0,7,3,2,17,9,61,134,10
2018-03-01,8,20,5,5,2,11,1,8,22,14,69,180,16
2018-04-01,3,9,2,3,1,4,0,1,16,2,41,149,13
2018-05-01,11,19,7,7,2,5,4,8,12,28,125,176,12
2018-06-01,3,6,3,2,0,10,2,4,22,20,122,121,9
2018-07-01,2,4,0,1,0,5,0,2,10,3,45,94,11
2018-08-01,10,26,7,3,1,10,3,11,15,22,86,134,10
2018-09-01,7,21,5,5,2,9,1,13,19,24,83,92,5
2018-10-01,2,5,0,1,0,4,0,3,12,6,28,85,8
2018-11-01,2,6,1,1,0,3,0,2,8,6,76,98,3
2018-12-01,4,12,0,4,0,11,1,12,16,26,74,79,5
2019-01-01,6,15,4,3,1,6,1,6,17,11,35,81,9
2019-02-01,4,7,4,4,2,3,0,2,7,4,14,91,10
2019-03-01,2,2,1,2,0,2,0,2,9,13,49,82,2
2019-04-01,3,6,2,3,1,5,1,4,11,15,55,120,16
2019-05-01,3,4,1,2,0,3,3,4,7,14,53,108,14
2019-06-01,6,16,5,5,1,7,0,4,15,9,51,62,6
2019-07-01,4,7,3,3,1,3,0,3,5,7,6,61,3
2019-08-01,4,49,3,3,1,1,1,2,11,12,24,93,10
2019-09-01,3,40,0,2,0,0,0,1,17,19,47,67,8
2019-10-01,7,27,2,3,1,4,5,3,28,57,194,65,9
2019-11-01,7,41,2,3,0,2,1,1,15,15,20,41,5
2019-12-01,7,7,1,4,0,4,0,2,11,6,12,40,5
2020-01-01,6,38,2,3,0,10,3,10,41,50,106,144,9
2020-02-01,8,22,4,6,3,4,1,2,25,22,54,60,6
2020-03-01,9,26,3,5,1,7,1,7,17,29,59,95,7
2020-04-01,2,6,1,2,0,9,1,8,24,15,54,55,10
2020-05-01,6,10,5,4,1,7,0,6,21,14,46,46,9
2020-06-01,5,7,1,4,0,1,1,1,13,13,18,34,4
2020-07-01,0,0,0,0,0,0,0,0,9,2,7,36,3
2020-08-01,1,2,0,1,0,0,0,0,7,5,1,28,5
