dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-05-01,1,11,0,1,0,0,0,0,1,0,7,6,0
2015-06-01,0,0,0,0,0,0,0,0,0,0,0,3,1
2015-07-01,1,3,0,1,0,0,0,0,0,0,0,1,0
2015-08-01,2,20,0,2,0,5,1,3,8,5,26,1,2
2015-09-01,1,12,0,1,0,0,0,0,1,0,5,2,1
2015-10-01,1,2,0,1,0,0,1,0,0,1,4,1,0
2015-11-01,0,0,0,0,0,0,0,0,0,0,0,3,0
2015-12-01,1,9,0,1,0,0,0,0,0,1,7,1,0
2016-01-01,1,1,0,1,0,0,0,0,3,1,28,3,0
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,3,10,2,3,2,1,0,1,3,3,23,4,2
2016-04-01,1,2,0,1,0,0,0,0,2,1,15,6,1
2016-05-01,1,2,0,1,0,1,1,0,7,4,25,5,1
2016-06-01,1,3,0,1,0,0,0,0,3,2,38,7,0
2016-07-01,1,6,0,1,0,0,0,0,0,0,0,1,0
2016-08-01,1,28,0,1,0,1,0,1,4,8,156,7,1
2016-09-01,0,0,0,0,0,0,0,0,0,0,0,5,0
2016-10-01,4,50,2,3,0,8,1,6,15,13,101,7,2
2016-11-01,2,101,0,2,0,0,1,0,9,8,125,6,0
2016-12-01,2,95,0,2,0,0,0,0,2,1,12,2,1
2017-01-01,3,130,1,2,0,6,0,6,20,22,372,6,2
2017-02-01,1,6,0,1,0,0,0,0,1,2,20,14,1
2017-03-01,3,8,2,3,1,10,3,6,15,12,181,11,2
2017-04-01,5,53,2,4,1,6,0,7,11,15,209,4,1
2017-05-01,2,13,0,2,0,5,0,5,13,10,147,7,3
2017-06-01,1,1,0,1,0,1,0,1,4,2,62,14,3
2017-07-01,5,13,3,5,2,5,0,3,7,6,77,8,1
2017-08-01,4,12,1,4,1,2,0,4,7,9,85,14,1
2017-09-01,2,16,0,2,0,3,0,3,14,10,132,12,1
2017-10-01,2,13,0,2,0,3,0,3,10,7,86,17,2
2017-11-01,3,4,2,3,1,4,1,1,8,3,42,28,5
2017-12-01,4,20,0,3,0,7,1,6,13,12,119,23,0
2018-01-01,4,65,2,4,2,4,1,3,11,10,152,9,2
2018-02-01,7,82,4,6,2,14,0,15,23,23,176,17,6
2018-03-01,3,19,0,3,0,6,0,6,12,6,55,15,2
2018-04-01,4,10,0,4,0,9,1,3,14,6,127,20,4
2018-05-01,5,11,1,5,1,4,0,2,12,6,67,22,0
2018-06-01,3,6,0,3,0,1,0,2,5,5,56,26,3
2018-07-01,4,18,1,4,1,8,1,11,11,23,234,29,1
2018-08-01,7,27,2,6,0,16,0,14,23,18,264,18,3
2018-09-01,3,65,1,3,1,6,0,9,11,12,136,34,4
2018-10-01,2,3,0,2,0,1,0,1,10,5,52,23,0
2018-11-01,1,1,0,1,0,2,0,1,6,3,20,25,2
2018-12-01,4,24,1,4,1,5,3,3,9,9,120,31,3
2019-01-01,5,6,2,4,1,3,0,2,16,11,88,41,2
2019-02-01,4,35,1,4,0,11,1,9,20,27,243,26,2
2019-03-01,8,75,5,5,2,16,0,18,25,28,265,28,5
2019-04-01,4,21,2,4,2,4,0,3,7,4,53,33,6
2019-05-01,2,3,0,2,0,2,1,1,8,3,40,35,3
2019-06-01,6,14,2,5,1,4,0,3,10,10,125,33,4
2019-07-01,5,25,3,4,1,2,0,3,9,10,81,35,5
2019-08-01,7,59,4,3,0,14,1,9,29,23,213,41,8
2019-09-01,3,46,1,3,1,6,0,8,11,18,120,38,4
2019-10-01,6,20,2,4,0,7,0,7,18,16,123,75,11
2019-11-01,7,50,5,6,3,4,0,5,11,14,191,41,3
2019-12-01,1,24,0,1,0,4,0,2,9,5,29,44,4
2020-01-01,3,74,2,2,0,10,0,10,18,17,136,69,7
2020-02-01,3,3,1,2,0,1,0,2,13,9,187,47,3
2020-03-01,6,84,2,6,1,13,3,9,21,18,170,44,5
2020-04-01,3,30,1,3,1,2,0,2,7,3,72,43,4
2020-05-01,11,192,9,11,8,21,5,17,30,36,269,59,8
2020-06-01,10,276,7,10,6,18,2,19,40,48,286,50,7
2020-07-01,8,130,7,8,6,0,0,1,25,26,161,51,3
2020-08-01,12,95,9,10,7,0,0,0,23,24,128,54,3
