dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-08-01,3,68,3,3,3,0,0,0,18,8,172,12,1
2015-09-01,3,136,0,3,0,22,1,18,77,48,494,196,4
2015-10-01,4,161,1,3,0,25,3,24,82,54,243,25,3
2015-11-01,4,414,0,3,0,34,4,28,136,150,1398,18,2
2015-12-01,6,128,2,5,2,17,3,14,65,57,385,16,3
2016-01-01,5,96,2,4,1,16,0,16,53,37,84,38,4
2016-02-01,6,196,2,4,1,25,4,17,66,42,243,454,9
2016-03-01,4,137,0,3,0,11,2,10,40,22,69,812,11
2016-04-01,5,162,1,3,0,13,1,12,29,24,81,52,2
2016-05-01,6,97,1,4,1,6,3,3,45,27,127,24,2
2016-06-01,5,322,0,4,0,5,7,1,111,138,550,47,3
2016-07-01,6,139,1,5,1,0,3,0,35,43,233,30,4
2016-08-01,3,21,0,3,0,0,0,0,10,6,21,37,6
2016-09-01,5,282,0,4,0,0,0,0,37,50,78,54,5
2016-10-01,8,207,1,6,1,2,0,2,55,42,154,50,2
2016-11-01,3,129,0,3,0,0,0,0,39,30,68,40,3
2016-12-01,4,32,1,2,0,0,0,0,25,21,73,68,8
2017-01-01,3,151,0,3,0,0,0,0,16,8,37,32,0
2017-02-01,5,207,0,4,0,5,1,4,53,79,296,24,3
2017-03-01,6,156,2,5,1,1,0,1,29,17,73,29,3
2017-04-01,2,25,0,2,0,0,0,0,13,2,19,27,1
2017-05-01,4,47,0,3,0,0,0,0,12,8,41,25,1
2017-06-01,4,176,0,3,0,0,0,0,26,24,83,34,2
2017-07-01,5,106,1,4,1,0,0,0,24,19,113,21,4
2017-08-01,4,73,0,3,0,0,0,0,24,12,77,26,1
2017-09-01,3,9,0,2,0,0,0,0,6,0,13,26,1
2017-10-01,4,31,0,3,0,0,0,0,6,6,36,33,4
2017-11-01,3,30,0,3,0,0,0,0,4,4,18,24,0
2017-12-01,3,24,0,3,0,0,0,0,5,3,9,14,2
2018-01-01,3,10,0,3,0,0,0,0,5,2,6,34,2
2018-02-01,5,61,1,4,1,0,0,0,18,14,59,24,3
2018-03-01,2,8,0,2,0,0,0,0,5,1,9,23,2
2018-04-01,4,24,0,3,0,0,0,0,9,6,29,25,3
2018-05-01,4,191,0,3,0,0,0,0,27,28,139,28,4
2018-06-01,2,20,0,2,0,0,0,0,2,2,4,23,3
2018-07-01,2,43,0,2,0,0,0,0,6,7,19,34,1
2018-08-01,3,40,0,3,0,0,0,0,8,7,12,26,4
2018-09-01,3,63,0,2,0,0,0,0,10,11,28,15,2
2018-10-01,0,0,0,0,0,0,0,0,0,0,0,11,4
2018-11-01,2,8,0,2,0,0,0,0,7,4,9,10,0
2018-12-01,2,72,0,2,0,0,0,0,7,6,13,19,0
2019-01-01,2,104,0,2,0,0,0,0,13,14,25,16,1
2019-02-01,2,29,0,2,0,0,0,0,5,4,11,9,1
2019-03-01,2,38,0,2,0,0,0,0,7,8,15,9,2
2019-04-01,2,43,0,2,0,0,0,0,5,5,10,10,0
2019-05-01,1,1,0,1,0,0,0,0,0,0,0,15,0
2019-06-01,0,0,0,0,0,0,0,0,0,0,0,4,1
2019-07-01,1,76,0,1,0,1,0,1,7,144,271,13,1
2019-08-01,1,34,0,1,0,2,0,1,2,1,4,10,1
2019-09-01,1,84,0,1,0,0,0,0,0,0,0,5,0
2019-10-01,1,112,0,1,0,2,1,2,3,4,8,9,0
2019-11-01,2,29,0,2,0,3,0,3,3,3,2,5,3
2019-12-01,3,124,0,2,0,17,1,16,17,17,22,5,0
2020-01-01,2,3,0,2,0,0,0,0,0,0,0,4,1
2020-02-01,2,35,0,1,0,2,0,1,2,1,3,6,0
2020-03-01,2,25,0,1,0,3,0,4,3,4,7,6,1
2020-04-01,3,48,0,2,0,6,1,5,6,6,8,5,0
2020-05-01,0,0,0,0,0,0,0,0,0,0,0,9,1
2020-06-01,1,13,0,1,0,1,0,1,1,1,2,3,0
2020-07-01,1,4,0,1,0,0,0,0,0,0,0,5,1
