dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-02-01,9,101,9,3,3,41,1,33,46,36,289,0,0
2016-03-01,15,344,6,4,1,148,8,138,182,153,1744,0,0
2016-04-01,17,303,5,4,0,147,8,132,268,187,1941,2,0
2016-05-01,21,338,4,4,0,162,18,144,226,217,1910,1,0
2016-06-01,32,499,18,12,9,273,38,228,385,374,3586,716,94
2016-07-01,26,195,8,10,5,116,18,90,171,138,1856,82,31
2016-08-01,24,231,6,10,3,120,23,103,199,194,2348,53,20
2016-09-01,23,192,8,8,1,94,13,74,117,113,1352,44,20
2016-10-01,22,214,6,7,1,101,10,99,127,131,1496,55,13
2016-11-01,17,97,3,7,2,47,3,40,56,62,839,54,11
2016-12-01,14,87,3,7,1,45,4,37,59,53,545,52,10
2017-01-01,18,133,6,7,2,56,3,62,75,88,705,43,10
2017-02-01,26,113,5,9,1,66,6,50,82,66,912,17,4
2017-03-01,15,160,3,6,0,83,10,79,90,106,1125,41,6
2017-04-01,20,103,4,5,1,52,10,43,73,66,802,55,12
2017-05-01,13,85,2,5,1,34,3,37,52,43,712,35,12
2017-06-01,15,137,6,7,3,57,8,46,83,86,861,24,16
2017-07-01,16,79,2,9,0,36,5,29,46,40,484,27,8
2017-08-01,12,23,4,4,1,19,2,10,26,20,243,29,14
2017-09-01,10,15,1,4,0,16,2,8,26,16,319,27,6
2017-10-01,12,23,3,6,2,13,0,14,31,24,350,38,8
2017-11-01,7,25,0,4,0,16,1,11,42,31,370,39,7
2017-12-01,9,18,3,7,1,9,3,8,16,20,225,44,11
2018-01-01,6,16,0,4,0,10,4,8,17,46,229,22,4
2018-02-01,9,26,1,4,0,20,5,13,36,31,303,17,7
2018-03-01,15,59,3,6,1,28,5,14,51,31,358,38,9
2018-04-01,11,28,2,4,0,18,4,14,32,24,206,54,16
2018-05-01,7,22,1,6,1,18,6,8,37,21,218,39,7
2018-06-01,6,17,0,3,0,12,5,8,27,24,227,38,3
2018-07-01,12,24,6,5,1,19,2,9,41,26,308,38,6
2018-08-01,5,12,0,3,0,11,4,9,17,20,189,27,8
2018-09-01,11,27,5,7,3,17,2,10,21,14,128,41,12
2018-10-01,8,20,1,4,0,11,3,9,17,19,200,37,8
2018-11-01,6,17,0,5,0,8,1,8,16,12,99,36,6
2018-12-01,4,4,1,4,0,6,0,1,7,1,22,24,13
2019-01-01,5,15,1,3,0,10,1,8,14,12,89,36,4
2019-02-01,6,20,0,3,0,16,1,9,23,12,99,37,8
2019-03-01,4,6,1,3,0,2,1,3,8,7,68,29,4
2019-04-01,3,15,0,2,0,7,3,6,9,11,59,28,5
2019-05-01,2,12,0,1,0,8,3,8,13,15,77,35,7
2019-06-01,1,3,0,1,0,2,0,1,2,2,17,34,1
2019-07-01,2,8,0,2,0,2,1,4,6,8,35,29,8
2019-08-01,2,12,0,2,0,2,0,1,15,11,64,24,2
2019-09-01,4,16,2,2,0,8,0,5,19,14,110,19,8
2019-10-01,0,0,0,0,0,4,2,0,5,8,43,23,4
2019-11-01,0,0,0,0,0,1,1,0,2,1,8,19,6
2019-12-01,1,7,0,1,0,3,0,2,6,5,26,24,2
2020-01-01,2,6,1,2,1,3,0,2,7,6,26,20,7
2020-02-01,0,0,0,0,0,1,1,0,6,3,18,37,8
2020-03-01,2,2,0,2,0,2,3,1,6,4,34,27,3
2020-04-01,0,0,0,0,0,1,1,0,4,2,7,34,6
2020-05-01,0,0,0,0,0,2,1,0,8,1,12,28,8
2020-06-01,2,2,0,2,0,6,4,1,13,6,20,26,3
2020-07-01,3,7,1,3,1,3,0,3,10,11,76,40,10
