dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-09-01,6,44,6,5,5,8,0,7,26,12,164,106,6
2016-10-01,8,151,6,4,1,54,2,52,104,82,465,346,12
2016-11-01,8,36,5,6,2,11,0,8,18,14,107,106,6
2016-12-01,8,128,2,7,2,33,3,32,46,45,210,62,5
2017-01-01,3,77,1,2,0,14,0,15,20,21,107,74,4
2017-02-01,9,222,4,6,3,95,1,93,126,123,470,119,7
2017-03-01,7,255,1,5,1,83,2,82,102,115,355,78,3
2017-04-01,7,137,4,5,2,43,2,41,55,55,211,71,8
2017-05-01,2,221,0,2,0,61,2,59,78,84,272,59,9
2017-06-01,3,86,1,3,0,25,0,26,33,29,72,57,6
2017-07-01,4,40,2,4,1,9,1,8,18,18,170,76,9
2017-08-01,3,68,0,3,0,24,0,23,32,29,79,48,4
2017-09-01,1,14,0,1,0,6,0,5,12,14,80,49,4
2017-10-01,4,16,2,4,1,12,4,6,20,19,129,72,10
2017-11-01,3,18,1,2,0,11,2,12,14,15,83,61,13
2017-12-01,2,2,1,2,1,2,0,2,6,2,20,47,5
2018-01-01,4,13,2,4,1,7,1,6,10,10,54,45,2
2018-02-01,2,6,0,2,0,2,0,2,5,5,18,34,3
2018-03-01,2,2,1,2,0,3,0,2,7,5,93,63,4
2018-04-01,5,6,2,4,0,4,0,4,7,5,37,167,7
2018-05-01,2,12,0,2,0,6,1,6,13,11,79,60,2
2018-06-01,3,10,1,3,1,4,0,4,9,5,25,210,13
2018-07-01,1,8,0,1,0,10,1,9,16,15,77,51,3
2018-08-01,3,18,1,3,0,9,0,9,12,13,35,47,4
2018-09-01,1,8,0,1,0,3,0,3,12,11,61,65,3
2018-10-01,1,2,0,1,0,1,0,1,6,3,26,38,1
2018-11-01,2,10,1,1,0,6,0,6,6,6,2,35,3
2018-12-01,1,3,0,1,0,3,1,2,7,5,20,42,5
2019-01-01,3,14,0,3,0,13,1,11,17,15,23,42,3
2019-02-01,0,0,0,0,0,0,1,0,1,2,11,39,2
2019-03-01,5,24,3,4,2,13,0,10,17,17,60,36,7
2019-04-01,5,13,2,3,0,8,0,10,13,14,78,45,2
2019-05-01,1,2,0,1,0,3,2,2,10,10,56,42,4
2019-06-01,1,11,0,1,0,5,1,4,10,12,58,35,4
2019-07-01,2,8,0,2,0,7,1,6,8,10,39,60,7
2019-08-01,1,3,0,1,0,3,0,3,3,4,29,32,4
2019-09-01,2,9,1,2,0,10,0,8,12,18,106,54,5
2019-10-01,1,1,1,1,1,0,0,1,0,1,9,43,5
2019-11-01,5,17,3,3,1,10,1,7,12,8,56,38,5
2019-12-01,1,9,0,1,0,5,0,7,8,8,35,39,2
2020-01-01,2,12,0,2,0,6,0,6,14,15,63,36,2
2020-02-01,3,32,2,3,2,14,0,14,21,21,68,27,4
2020-03-01,2,2,1,2,0,1,0,1,5,5,28,39,4
2020-04-01,6,29,4,4,1,13,0,12,14,12,90,60,17
2020-05-01,3,22,0,2,0,18,2,16,27,27,124,61,2
2020-06-01,2,15,0,2,0,2,0,2,5,4,55,62,4
2020-07-01,2,12,0,2,0,9,1,9,15,13,63,61,5
2020-08-01,3,50,0,2,0,25,2,23,31,29,110,41,11
