dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-06-01,3,163,2,3,2,6,0,5,46,17,107,16,3
2016-07-01,4,142,2,2,0,7,4,4,27,25,131,215,38
2016-08-01,4,81,1,3,1,4,1,3,13,10,52,44,7
2016-09-01,0,0,0,0,0,1,0,0,5,0,12,24,11
2016-10-01,2,17,0,2,0,0,0,0,2,5,13,19,6
2016-11-01,0,0,0,0,0,0,0,0,1,0,2,41,11
2016-12-01,0,0,0,0,0,0,0,0,3,0,7,22,7
2017-01-01,3,3,2,3,1,2,0,1,2,1,3,39,10
2017-02-01,3,18,1,3,1,1,0,2,6,6,33,22,6
2017-03-01,1,14,0,1,0,0,0,0,2,6,38,33,7
2017-04-01,1,2,0,1,0,0,0,0,1,1,21,20,4
2017-05-01,3,11,1,3,1,1,0,0,4,0,16,19,5
2017-06-01,1,3,0,1,0,0,0,0,2,1,5,13,4
2017-07-01,0,0,0,0,0,0,0,0,0,0,0,17,4
2017-08-01,6,183,3,4,1,10,2,10,55,47,344,71,12
2017-09-01,6,43,2,3,0,5,0,5,9,10,73,32,13
2017-10-01,2,2,1,2,0,2,0,2,10,8,43,20,5
2017-11-01,5,53,1,4,1,3,1,2,14,17,103,59,10
2017-12-01,7,58,1,6,1,7,0,7,23,18,108,38,12
2018-01-01,6,14,2,5,1,7,1,3,16,7,49,41,8
2018-02-01,6,40,3,5,1,5,2,6,9,17,65,19,3
2018-03-01,4,47,0,4,0,2,1,0,6,9,43,32,8
2018-04-01,7,176,2,7,2,13,2,11,32,53,210,24,4
2018-05-01,0,0,0,0,0,1,0,0,2,0,16,24,6
2018-06-01,2,14,0,2,0,1,0,1,4,5,40,16,2
2018-07-01,5,228,1,3,0,7,2,5,27,28,233,41,4
2018-08-01,5,214,0,4,0,19,5,15,53,54,267,87,10
2018-09-01,5,22,2,3,0,5,0,5,21,16,253,68,8
2018-10-01,4,10,1,4,1,4,0,2,10,7,50,35,4
2018-11-01,6,32,2,3,0,3,1,5,16,16,128,31,7
2018-12-01,3,7,0,2,0,2,0,0,8,7,49,46,14
2019-01-01,3,46,0,3,0,2,0,2,23,16,181,47,10
2019-02-01,5,33,3,4,2,9,1,8,19,24,193,36,6
2019-03-01,7,72,2,4,0,17,2,16,35,33,224,51,9
2019-04-01,2,6,0,2,0,1,0,0,6,4,32,45,10
2019-05-01,1,30,0,1,0,7,1,5,17,11,57,46,7
2019-06-01,2,20,1,2,0,9,0,9,14,10,83,30,6
2019-07-01,6,29,3,3,1,7,0,7,15,16,59,36,10
2019-08-01,9,94,3,4,1,46,1,47,94,94,557,38,9
2019-09-01,3,24,0,1,0,17,2,15,23,26,86,48,10
2019-10-01,4,8,2,2,0,15,1,8,30,15,153,230,25
2019-11-01,4,5,1,2,0,10,2,4,25,11,153,61,12
2019-12-01,1,2,0,1,0,0,0,0,4,3,36,60,6
2020-01-01,7,82,3,4,2,9,3,11,14,21,117,30,12
2020-02-01,5,17,2,3,0,10,1,10,22,27,132,36,7
2020-03-01,3,8,1,2,0,6,0,3,14,7,52,43,4
2020-04-01,7,10,6,5,3,3,0,7,13,16,67,41,11
2020-05-01,3,8,1,3,0,5,1,4,12,9,55,41,10
2020-06-01,0,0,0,0,0,1,1,0,4,5,8,56,20
2020-07-01,3,9,2,3,1,10,1,9,20,13,76,31,9
2020-08-01,1,1,1,1,0,1,0,1,4,1,8,44,7
