dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-11-01,3,73,1,2,0,3,1,2,3,3,4,31,5
2015-12-01,3,94,0,2,0,4,0,4,5,5,8,4,0
2016-01-01,7,129,5,3,1,18,3,14,90,64,545,25,6
2016-02-01,7,108,2,4,1,24,2,21,89,72,373,21,5
2016-03-01,8,78,4,4,1,16,4,13,49,41,400,13,1
2016-04-01,8,91,3,5,2,14,1,13,49,48,293,36,3
2016-05-01,8,58,1,4,0,13,1,11,34,45,299,27,1
2016-06-01,11,53,4,6,2,17,1,18,56,52,237,27,8
2016-07-01,4,39,2,4,1,6,1,4,34,31,189,29,7
2016-08-01,6,9,2,4,1,10,1,4,31,16,154,15,5
2016-09-01,9,33,3,5,1,17,9,11,41,35,291,28,2
2016-10-01,3,48,1,3,1,6,2,4,29,31,234,40,5
2016-11-01,9,48,3,5,1,13,0,12,45,45,263,22,3
2016-12-01,9,56,4,6,1,20,6,13,65,56,394,37,5
2017-01-01,9,51,3,6,2,12,1,13,45,61,556,40,6
2017-02-01,6,23,1,4,0,6,0,7,28,27,163,17,2
2017-03-01,4,21,0,3,0,5,1,3,36,31,256,33,5
2017-04-01,5,19,3,3,1,9,5,7,48,35,242,34,6
2017-05-01,6,25,1,5,1,8,0,7,48,44,304,61,6
2017-06-01,1,5,0,1,0,4,2,0,45,28,300,46,6
2017-07-01,4,14,1,4,0,6,1,4,49,38,339,62,10
2017-08-01,4,18,0,4,0,8,3,5,48,37,255,63,13
2017-09-01,8,24,1,4,0,10,1,9,47,39,298,51,6
2017-10-01,4,27,0,3,0,6,2,4,32,26,146,55,8
2017-11-01,6,27,0,4,0,11,4,7,56,58,446,79,8
2017-12-01,6,15,0,6,0,10,1,6,40,27,182,64,13
2018-01-01,11,33,3,7,1,29,3,23,79,58,674,122,15
2018-02-01,5,27,1,4,0,16,3,12,60,61,451,81,7
2018-03-01,7,15,2,5,1,5,2,8,50,37,241,90,18
2018-04-01,4,26,1,3,0,8,1,4,58,46,430,147,27
2018-05-01,6,13,3,4,1,4,1,6,58,41,274,67,9
2018-06-01,4,7,1,3,0,7,3,4,71,60,357,116,16
2018-07-01,2,3,1,2,0,11,2,3,37,23,169,70,12
2018-08-01,0,0,0,0,0,1,2,0,37,25,169,132,16
2018-09-01,6,12,1,3,0,7,1,7,42,44,217,94,14
2018-10-01,7,14,3,6,3,11,3,6,53,33,318,155,9
2018-11-01,4,6,1,3,0,6,3,3,65,43,283,131,22
2018-12-01,1,1,1,1,1,4,0,1,25,9,128,144,13
2019-01-01,2,2,1,2,0,7,2,2,46,28,168,172,18
2019-02-01,0,0,0,0,0,1,3,0,33,20,146,160,7
2019-03-01,5,16,1,4,0,16,4,8,91,81,571,238,20
2019-04-01,8,24,2,4,0,8,7,8,63,58,389,243,22
2019-05-01,7,9,4,4,1,12,0,8,45,32,232,204,29
2019-06-01,4,5,0,4,0,6,0,4,47,24,201,218,15
2019-07-01,3,4,1,2,0,7,4,4,50,21,235,216,19
2019-08-01,0,0,0,0,0,3,1,0,37,13,189,256,31
2019-09-01,3,10,2,2,1,7,0,3,59,38,270,738,94
2019-10-01,7,7,2,4,0,9,2,6,49,21,182,331,42
2019-11-01,1,1,0,1,0,5,2,1,38,17,156,213,26
2019-12-01,11,36,5,4,0,14,0,15,62,62,363,367,40
2020-01-01,16,128,10,5,2,36,10,33,133,218,1057,262,34
2020-02-01,9,107,2,4,1,11,6,6,80,80,452,311,31
2020-03-01,8,154,2,5,0,22,6,14,142,170,839,328,32
2020-04-01,15,248,8,5,2,28,7,27,182,218,930,360,64
2020-05-01,10,174,3,4,0,4,4,3,252,222,964,386,51
2020-06-01,9,94,4,2,0,2,2,0,142,126,546,297,41
2020-07-01,9,116,3,3,0,0,1,0,140,154,553,314,44
2020-08-01,7,78,2,2,0,0,0,0,187,205,835,385,39
