dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-05-01,4,39,3,4,3,5,1,2,9,6,9,0,0
2015-06-01,15,37,12,12,7,13,1,10,25,14,167,172,17
2015-07-01,21,79,15,12,6,24,1,19,47,30,238,156,17
2015-08-01,15,173,12,7,3,37,21,24,77,90,600,64,10
2015-09-01,15,104,11,12,8,30,20,8,79,63,542,84,15
2015-10-01,21,118,16,14,9,53,42,10,95,87,781,77,19
2015-11-01,19,61,7,13,5,36,22,11,71,55,553,83,12
2015-12-01,13,66,11,9,7,30,18,9,69,54,570,101,28
2016-01-01,25,132,21,16,8,79,51,28,154,163,1027,92,31
2016-02-01,27,125,24,15,14,77,41,30,146,114,1197,89,36
2016-03-01,37,145,26,24,14,87,56,38,175,172,1565,137,51
2016-04-01,36,143,22,24,13,88,47,42,184,177,1323,105,53
2016-05-01,36,99,27,19,13,89,37,52,171,159,981,146,40
2016-06-01,25,58,15,13,6,66,19,36,129,99,903,92,35
2016-07-01,28,58,19,13,7,69,21,40,131,99,647,98,35
2016-08-01,18,56,9,7,3,65,27,31,132,109,1017,119,49
2016-09-01,25,67,12,15,3,55,14,37,139,112,944,127,40
2016-10-01,16,49,7,9,4,68,20,28,143,102,846,113,50
2016-11-01,18,36,14,5,3,53,16,23,131,83,759,108,39
2016-12-01,28,58,19,14,9,51,17,44,110,112,684,105,47
2017-01-01,20,41,15,10,7,54,20,30,125,112,891,129,52
2017-02-01,17,45,9,9,4,68,26,31,134,126,833,140,54
2017-03-01,22,40,16,8,3,47,7,29,133,100,1151,196,58
2017-04-01,25,62,16,9,3,56,4,48,132,119,1130,132,62
2017-05-01,21,54,12,11,5,39,6,27,132,91,1049,170,56
2017-06-01,20,64,13,9,3,33,9,32,102,92,780,160,58
2017-07-01,14,68,9,6,2,41,7,31,96,84,691,150,45
2017-08-01,19,85,12,9,5,54,14,36,119,115,888,145,58
2017-09-01,23,95,13,9,4,38,13,34,97,107,743,157,51
2017-10-01,22,90,10,9,3,52,7,36,125,98,920,185,63
2017-11-01,21,91,8,9,4,55,15,36,115,92,839,178,59
2017-12-01,13,48,8,6,2,41,9,22,100,78,800,183,48
2018-01-01,19,74,12,10,4,44,15,32,110,105,896,188,66
2018-02-01,19,57,14,10,4,49,11,22,109,61,639,149,61
2018-03-01,21,69,14,14,6,47,8,33,110,106,822,152,62
2018-04-01,21,96,9,10,3,62,10,44,129,120,844,136,50
2018-05-01,27,105,17,12,5,59,22,44,129,128,998,165,64
2018-06-01,24,84,12,10,2,65,10,33,149,108,887,146,60
2018-07-01,17,74,7,7,2,57,14,36,133,118,901,162,65
2018-08-01,24,80,14,10,5,47,16,44,124,130,886,144,70
2018-09-01,27,102,15,13,5,70,31,52,156,158,1172,167,45
2018-10-01,32,107,19,9,1,83,17,56,165,157,1103,186,73
2018-11-01,19,68,10,10,3,41,10,33,131,124,905,155,52
2018-12-01,22,65,12,11,3,43,6,35,108,89,622,135,54
2019-01-01,21,90,14,12,5,63,5,48,136,107,737,155,66
2019-02-01,24,105,14,13,4,54,10,48,145,135,929,117,61
2019-03-01,11,72,2,7,1,65,9,35,154,105,833,174,70
2019-04-01,19,68,9,11,3,56,20,33,130,109,808,140,57
2019-05-01,22,82,16,7,1,55,8,42,148,116,777,190,66
2019-06-01,24,93,17,14,7,58,7,49,117,127,698,159,57
2019-07-01,20,76,10,12,3,73,12,51,133,139,926,169,63
2019-08-01,30,111,14,11,3,67,14,64,148,157,705,168,64
2019-09-01,13,59,6,10,3,41,8,30,131,103,723,151,69
2019-10-01,16,57,6,8,1,52,7,30,135,92,527,166,73
2019-11-01,26,85,19,15,6,60,15,46,130,129,677,142,82
2019-12-01,21,66,14,10,6,50,8,39,106,94,374,216,82
2020-01-01,20,72,12,12,3,47,13,40,123,119,734,151,80
2020-02-01,26,70,16,15,6,55,7,38,134,94,671,135,91
2020-03-01,26,99,13,9,1,71,13,53,163,134,732,143,89
2020-04-01,18,61,7,9,3,69,13,38,185,113,737,180,123
2020-05-01,27,76,16,10,3,68,15,46,162,138,831,177,97
2020-06-01,26,93,18,12,6,70,14,51,158,137,721,129,79
2020-07-01,19,76,10,11,4,78,7,54,163,121,682,181,101
2020-08-01,23,45,16,8,3,63,11,38,131,88,433,129,89
