dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-05-01,1,41,1,1,1,2,1,0,4,1,12,0,0
2016-06-01,3,35,2,2,1,7,0,7,8,10,45,0,0
2016-07-01,1,3,0,1,0,0,0,0,2,1,8,12,0
2016-08-01,2,12,0,2,0,1,0,1,10,3,55,68,1
2016-09-01,3,9,2,3,2,5,0,4,12,6,92,34,5
2016-10-01,6,10,3,5,3,4,0,4,8,8,101,45,4
2016-11-01,4,36,2,3,1,6,0,6,15,18,118,61,4
2016-12-01,10,41,6,4,1,14,1,10,32,20,214,45,9
2017-01-01,8,59,5,6,4,13,1,12,25,27,253,79,7
2017-02-01,7,73,4,6,3,10,2,10,33,28,275,89,11
2017-03-01,5,10,2,4,1,3,0,2,9,7,68,70,11
2017-04-01,8,115,4,6,4,22,4,20,45,47,396,46,8
2017-05-01,11,75,6,6,2,11,2,9,23,23,217,61,13
2017-06-01,5,21,2,5,2,6,0,6,22,13,169,49,5
2017-07-01,4,15,2,3,1,2,0,2,11,6,101,34,4
2017-08-01,4,11,1,3,0,3,0,1,18,5,163,48,5
2017-09-01,3,30,0,2,0,5,0,6,25,24,202,48,1
2017-10-01,3,38,1,3,1,12,1,10,34,20,292,57,9
2017-11-01,8,49,5,6,3,15,1,13,49,35,389,49,10
2017-12-01,2,2,0,2,0,3,1,1,15,7,139,31,5
2018-01-01,5,10,2,3,2,4,0,4,9,9,74,42,7
2018-02-01,5,21,2,3,1,5,2,3,17,16,160,54,5
2018-03-01,3,32,1,3,1,6,0,5,32,36,281,80,16
2018-04-01,4,13,2,4,1,4,0,2,12,8,130,74,12
2018-05-01,5,9,3,5,2,3,0,4,14,9,95,75,5
2018-06-01,2,13,1,2,1,1,0,1,12,3,87,89,12
2018-07-01,6,48,4,5,3,12,0,11,33,26,226,73,9
2018-08-01,9,29,6,6,3,7,0,7,27,21,202,107,11
2018-09-01,5,30,3,4,2,7,2,4,22,17,226,63,6
2018-10-01,5,36,1,4,0,7,1,6,16,11,113,96,11
2018-11-01,6,18,3,4,1,4,0,4,20,20,169,129,13
2018-12-01,4,8,2,2,0,2,0,2,16,7,85,104,9
2019-01-01,4,11,3,4,1,2,0,1,10,5,72,128,10
2019-02-01,8,44,5,4,2,8,1,6,26,15,165,110,11
2019-03-01,7,19,5,5,2,7,1,5,19,15,114,132,20
2019-04-01,2,3,1,2,1,1,0,2,9,6,54,108,9
2019-05-01,5,20,2,2,0,5,1,3,24,12,118,126,15
2019-06-01,8,120,4,4,2,15,2,10,49,38,581,103,17
2019-07-01,10,56,6,6,3,13,0,11,39,23,263,111,20
2019-08-01,11,67,4,6,2,11,1,11,40,28,320,104,19
2019-09-01,7,37,4,4,2,16,1,10,36,30,289,149,25
2019-10-01,15,53,8,8,3,18,0,15,55,40,379,138,16
2019-11-01,7,15,2,5,0,4,2,7,28,24,163,96,12
2019-12-01,8,39,5,5,3,9,0,8,23,27,131,95,12
2020-01-01,8,31,2,6,1,11,8,8,38,35,255,100,10
2020-02-01,11,65,7,6,4,16,2,15,47,35,297,102,19
2020-03-01,8,40,4,2,0,10,2,9,32,24,131,101,14
2020-04-01,12,61,7,7,5,16,1,14,55,42,211,112,13
2020-05-01,14,53,8,7,4,19,3,14,46,34,246,127,24
2020-06-01,8,32,4,4,1,12,0,9,34,25,286,126,15
2020-07-01,3,12,0,2,0,6,1,5,37,23,185,86,14
2020-08-01,3,28,1,3,1,11,2,10,47,30,190,113,10
