dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-11-01,1,34,0,1,0,0,0,0,1,0,0,3,0
2016-12-01,2,59,1,1,0,26,0,26,29,29,8,12,1
2017-01-01,2,25,1,2,1,11,0,11,16,13,14,2,0
2017-02-01,1,46,0,1,0,16,1,15,20,19,2,8,0
2017-03-01,2,27,1,2,1,7,0,6,13,9,39,14,1
2017-04-01,2,58,1,1,0,20,0,21,29,30,48,19,1
2017-05-01,3,4,2,3,2,3,0,2,4,2,12,19,3
2017-06-01,1,8,0,1,0,3,0,3,7,6,9,26,0
2017-07-01,1,30,0,1,0,8,0,9,11,13,35,16,4
2017-08-01,1,5,0,1,0,4,1,1,10,5,46,15,0
2017-09-01,1,7,0,1,0,3,0,3,6,6,16,27,1
2017-10-01,1,8,0,1,0,2,0,4,5,7,35,24,1
2017-11-01,3,15,2,3,2,6,1,4,10,7,17,24,7
2017-12-01,1,4,0,1,0,1,0,2,4,3,24,18,2
2018-01-01,1,4,0,1,0,1,0,1,4,2,29,26,2
2018-02-01,0,0,0,0,0,0,0,0,5,1,4,27,1
2018-03-01,0,0,0,0,0,0,0,0,1,0,6,27,2
2018-04-01,2,14,1,2,1,6,0,3,11,9,27,22,3
2018-05-01,2,22,1,2,1,7,0,9,16,20,43,31,3
2018-06-01,1,1,0,1,0,0,0,0,5,1,24,34,2
2018-07-01,2,29,1,2,1,5,0,4,11,6,29,43,4
2018-08-01,1,21,0,1,0,1,0,1,10,10,5,36,1
2018-09-01,2,22,1,1,0,1,0,1,14,13,8,16,3
2018-10-01,1,5,0,1,0,1,0,0,6,1,15,53,2
2018-11-01,1,1,0,1,0,0,0,0,6,1,8,31,2
2018-12-01,2,5,1,1,0,1,0,1,3,1,7,31,1
2019-01-01,0,0,0,0,0,0,0,0,0,0,0,31,1
2019-02-01,3,7,2,3,2,3,0,2,5,2,9,33,4
2019-03-01,2,4,1,1,0,2,0,0,5,0,12,29,3
2019-04-01,3,9,1,2,1,3,1,3,4,5,15,43,2
2019-05-01,4,56,3,2,1,31,2,23,37,48,135,38,2
2019-06-01,5,89,3,3,1,35,9,34,38,53,68,43,5
2019-07-01,2,18,1,1,0,17,11,7,22,24,56,52,1
2019-08-01,5,74,3,4,2,36,6,27,44,42,64,54,4
2019-09-01,6,74,3,5,3,38,9,32,49,49,102,93,6
2019-10-01,6,31,3,4,1,25,10,9,40,25,91,66,6
2019-11-01,7,46,3,5,2,16,6,13,25,25,68,61,7
2019-12-01,8,41,5,6,4,34,18,15,38,36,72,52,5
2020-01-01,4,38,0,3,0,32,23,13,37,42,82,66,5
2020-02-01,5,44,2,2,0,34,19,10,40,34,94,66,3
2020-03-01,7,59,3,3,1,45,23,25,49,53,112,84,5
2020-04-01,4,67,2,4,2,27,14,12,36,29,114,62,10
2020-05-01,5,75,1,2,0,39,10,29,48,47,126,92,4
2020-06-01,9,65,5,5,2,43,6,39,55,68,142,103,8
2020-07-01,7,28,3,5,1,19,1,15,26,25,136,50,9
2020-08-01,6,53,2,3,0,29,5,26,41,44,152,74,11
