dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-06-01,5,75,0,3,0,11,11,0,37,33,490,2296,73
2015-07-01,3,36,0,3,0,6,6,0,32,36,486,153,20
2015-08-01,3,51,0,3,0,3,2,0,30,27,322,154,19
2015-09-01,3,67,0,3,0,6,3,0,29,25,668,125,13
2015-10-01,6,75,0,3,0,6,6,0,47,49,937,260,20
2015-11-01,8,119,1,3,0,4,4,0,45,40,605,220,13
2015-12-01,6,91,2,3,0,10,9,0,32,36,503,141,15
2016-01-01,3,27,0,3,0,5,5,0,40,37,577,127,13
2016-02-01,3,20,0,3,0,5,4,0,26,26,339,141,13
2016-03-01,3,30,0,3,0,4,4,0,37,37,512,160,8
2016-04-01,4,43,0,3,0,5,3,0,38,37,562,147,10
2016-05-01,4,42,0,3,0,8,8,0,40,35,646,205,22
2016-06-01,3,24,0,3,0,9,9,0,35,34,458,178,16
2016-07-01,4,11,1,3,0,3,5,0,25,26,319,155,12
2016-08-01,2,9,0,2,0,4,1,0,31,32,515,146,15
2016-09-01,3,26,0,3,0,6,8,0,35,31,613,179,12
2016-10-01,4,119,0,3,0,5,10,0,62,76,1245,212,12
2016-11-01,3,48,0,3,0,12,13,0,55,57,777,157,18
2016-12-01,3,18,0,3,0,1,1,0,29,23,380,156,13
2017-01-01,4,122,0,3,0,10,10,0,48,43,621,178,19
2017-02-01,3,98,0,3,0,7,8,0,45,52,639,167,14
2017-03-01,3,72,0,3,0,6,6,0,48,45,664,207,14
2017-04-01,3,122,0,3,0,12,12,0,54,61,932,184,28
2017-05-01,3,120,0,3,0,4,4,0,52,52,809,201,19
2017-06-01,3,72,0,3,0,6,6,0,38,37,458,275,16
2017-07-01,3,57,0,3,0,4,4,0,38,33,533,313,19
2017-08-01,3,63,0,3,0,8,8,0,24,27,336,308,14
2017-09-01,3,29,0,3,0,5,3,0,42,36,619,301,10
2017-10-01,3,44,0,3,0,10,11,0,51,52,587,374,19
2017-11-01,3,28,0,3,0,3,2,0,33,24,365,308,17
2017-12-01,3,15,0,3,0,1,3,0,40,38,558,271,16
2018-01-01,3,22,0,3,0,1,1,0,31,41,526,306,17
2018-02-01,3,22,0,3,0,5,5,0,28,30,399,269,10
2018-03-01,3,25,0,3,0,6,4,0,23,22,234,291,19
2018-04-01,4,26,0,3,0,3,3,0,30,30,390,306,17
2018-05-01,3,27,0,3,0,4,4,0,33,26,387,345,14
2018-06-01,2,21,0,2,0,9,8,0,26,34,472,277,15
2018-07-01,5,34,1,3,0,5,6,0,32,31,369,265,27
2018-08-01,3,71,0,3,0,6,5,0,39,41,528,273,18
2018-09-01,4,35,0,4,0,5,7,0,32,32,404,307,25
2018-10-01,3,33,0,3,0,1,1,0,28,29,446,300,18
2018-11-01,4,25,0,3,0,3,2,0,37,37,609,329,21
2018-12-01,2,4,0,2,0,2,2,0,16,15,163,314,20
2019-01-01,2,6,0,2,0,1,1,0,18,17,266,321,18
2019-02-01,3,9,0,3,0,4,3,0,26,24,341,282,13
2019-03-01,3,142,0,3,0,6,8,0,43,48,708,348,23
2019-04-01,4,107,0,3,0,7,7,0,44,44,663,390,24
2019-05-01,6,217,1,4,0,10,10,0,63,65,1061,376,28
2019-06-01,5,123,0,3,0,8,8,0,48,45,815,327,21
2019-07-01,3,48,0,3,0,3,3,0,45,40,777,338,16
2019-08-01,3,30,0,3,0,4,1,0,31,28,567,280,22
2019-09-01,3,45,0,3,0,11,12,0,32,39,508,273,23
2019-10-01,3,29,0,3,0,9,11,0,36,36,465,324,26
2019-11-01,3,61,0,3,0,5,5,0,36,39,526,326,20
2019-12-01,4,56,0,3,0,7,7,0,47,44,549,320,33
2020-01-01,3,55,0,3,0,4,4,0,29,31,332,310,28
2020-02-01,3,34,0,3,0,5,5,0,20,18,233,318,16
2020-03-01,3,133,0,3,0,12,11,0,51,49,769,370,40
2020-04-01,4,259,0,3,0,5,7,0,45,50,1181,479,54
2020-05-01,4,210,0,4,0,4,4,0,63,57,1182,440,34
2020-06-01,4,96,1,3,0,2,2,0,36,41,856,341,36
2020-07-01,4,38,1,3,0,5,3,0,48,41,422,315,22
2020-08-01,2,18,0,2,0,1,3,0,24,26,363,280,19
