dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-03-01,4,90,3,2,1,4,0,3,9,8,50,705,14
2015-04-01,2,31,1,1,0,2,1,1,3,2,16,41,3
2015-05-01,4,25,2,3,2,2,0,2,3,3,26,21,4
2015-06-01,2,52,0,2,0,2,0,2,3,3,10,21,1
2015-07-01,1,23,0,1,0,0,0,1,3,3,11,30,1
2015-08-01,1,61,0,1,0,0,0,0,6,7,54,23,3
2015-09-01,2,19,1,1,0,1,0,1,2,2,18,30,1
2015-10-01,2,35,1,2,1,2,1,1,7,6,38,28,5
2015-11-01,1,17,0,1,0,0,0,0,3,5,25,11,2
2015-12-01,3,35,2,1,0,4,2,1,14,7,106,23,0
2016-01-01,3,38,1,1,0,1,0,2,7,5,41,24,2
2016-02-01,2,96,1,2,1,1,0,1,4,5,44,37,2
2016-03-01,1,32,0,1,0,1,1,0,5,5,36,34,3
2016-04-01,2,44,1,1,0,2,0,2,8,8,34,30,2
2016-05-01,2,75,1,2,1,2,1,1,4,5,40,37,5
2016-06-01,3,22,2,2,1,3,1,2,5,5,18,31,7
2016-07-01,4,54,2,3,0,6,3,3,15,17,85,34,6
2016-08-01,3,22,0,2,0,2,0,2,5,5,24,86,9
2016-09-01,5,31,3,3,1,4,1,2,13,9,86,32,16
2016-10-01,3,26,2,3,2,3,2,2,6,9,54,36,6
2016-11-01,2,24,1,1,0,1,0,1,6,5,34,58,11
2016-12-01,2,12,1,2,0,2,0,1,10,4,95,40,6
2017-01-01,2,18,1,1,0,1,1,1,2,5,10,50,9
2017-02-01,1,10,0,1,0,0,0,0,1,1,4,39,2
2017-03-01,2,5,1,2,1,1,0,1,3,1,9,34,9
2017-04-01,2,3,1,1,0,1,0,1,3,5,19,41,5
2017-05-01,3,7,2,3,1,2,0,2,5,5,55,25,6
2017-06-01,3,13,1,2,0,4,1,3,7,5,27,31,5
2017-07-01,2,7,0,2,0,2,1,1,9,6,50,37,5
2017-08-01,1,38,0,1,0,0,0,0,8,5,44,30,4
2017-09-01,3,56,2,3,1,2,0,2,13,12,138,33,5
2017-10-01,3,13,2,3,1,3,1,2,6,11,71,31,15
2017-11-01,3,32,2,3,2,2,1,1,12,9,62,56,6
2017-12-01,2,23,0,1,0,2,0,2,6,7,47,50,1
2018-01-01,2,66,0,1,0,3,1,1,15,16,285,44,4
2018-02-01,1,82,0,1,0,0,0,0,4,4,46,54,3
2018-03-01,1,3,0,1,0,0,0,0,4,1,21,48,6
2018-04-01,1,20,0,1,0,0,0,0,8,5,56,70,7
2018-05-01,1,6,0,1,0,1,1,0,3,3,28,44,7
2018-06-01,4,82,2,2,1,4,1,4,9,14,57,68,7
2018-07-01,2,58,1,2,0,1,0,1,7,4,32,55,12
2018-08-01,1,7,0,1,0,1,0,0,3,0,17,58,5
2018-09-01,1,2,0,1,0,0,0,0,1,0,2,44,8
2018-10-01,2,7,0,1,0,1,0,1,13,9,92,29,9
2018-11-01,1,30,0,1,0,2,1,1,10,11,84,39,8
2018-12-01,0,0,0,0,0,0,0,0,8,1,46,43,6
2019-01-01,1,28,0,1,0,1,1,0,6,6,53,33,9
2019-02-01,2,4,1,2,0,1,0,0,3,1,8,36,7
2019-03-01,1,14,0,1,0,0,0,1,0,2,154,40,5
2019-04-01,4,9,3,2,0,3,0,3,5,6,34,39,5
2019-05-01,3,3,3,3,2,3,1,2,3,5,14,45,13
2019-06-01,1,11,0,1,0,0,0,1,0,5,11,41,7
2019-07-01,1,32,0,1,0,2,0,0,2,0,2,78,8
2019-08-01,1,17,0,1,0,2,2,0,9,5,76,181,18
2019-09-01,1,8,0,1,0,1,2,0,1,3,29,48,9
2019-10-01,1,21,0,1,0,1,1,0,5,3,40,40,4
2019-11-01,3,15,2,2,0,5,0,4,9,5,24,48,7
2019-12-01,6,13,4,4,2,5,2,3,13,7,78,58,12
2020-01-01,3,42,2,1,0,3,1,2,13,15,180,100,9
2020-02-01,1,21,0,1,0,0,1,0,7,10,103,52,5
2020-03-01,2,10,1,2,1,1,0,1,7,4,55,46,5
2020-04-01,3,66,1,2,1,6,0,6,12,12,136,60,6
2020-05-01,4,39,2,2,0,3,0,3,7,7,38,61,7
2020-06-01,3,22,0,2,0,4,1,4,8,15,92,35,5
2020-07-01,1,8,0,1,0,1,0,0,5,1,13,49,3
2020-08-01,1,1,0,1,0,0,0,0,2,2,2,34,6
