dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-11-01,4,80,4,4,4,8,0,8,34,25,197,335,26
2015-12-01,7,73,4,6,3,14,0,12,34,24,262,80,9
2016-01-01,4,34,0,3,0,3,0,3,8,4,43,41,6
2016-02-01,3,69,1,3,0,6,1,5,22,26,248,77,10
2016-03-01,5,62,2,3,0,9,1,6,24,14,179,81,15
2016-04-01,6,54,4,5,2,5,0,2,11,8,102,30,4
2016-05-01,6,64,1,5,0,8,1,10,24,26,424,307,26
2016-06-01,4,56,1,3,0,12,1,10,33,25,270,118,22
2016-07-01,6,32,1,5,1,2,1,1,11,5,67,115,13
2016-08-01,5,136,1,5,1,6,8,3,47,60,412,175,14
2016-09-01,9,75,6,6,3,9,1,5,35,23,227,66,13
2016-10-01,7,36,4,7,4,2,0,2,15,10,81,60,11
2016-11-01,7,25,4,7,4,0,0,0,21,8,162,83,18
2016-12-01,8,51,5,7,4,2,0,3,17,26,255,67,16
2017-01-01,4,49,1,4,1,0,0,0,8,4,65,82,10
2017-02-01,3,55,1,3,1,1,0,0,16,16,153,62,8
2017-03-01,7,96,4,7,4,4,1,4,47,59,372,95,14
2017-04-01,7,102,2,5,0,5,2,3,29,33,363,94,15
2017-05-01,8,124,2,7,1,2,2,2,38,37,389,236,27
2017-06-01,8,205,1,8,1,5,0,5,45,37,491,172,29
2017-07-01,4,65,1,4,1,1,0,1,20,26,257,147,25
2017-08-01,3,26,0,3,0,1,1,0,18,12,139,123,29
2017-09-01,2,48,0,2,0,1,0,1,21,24,173,135,16
2017-10-01,9,84,6,7,2,4,0,4,30,31,358,184,27
2017-11-01,6,50,3,6,2,2,0,2,26,29,284,162,34
2017-12-01,2,2,1,2,0,1,1,0,10,5,52,116,24
2018-01-01,3,9,1,3,0,1,0,1,19,9,160,177,37
2018-02-01,1,3,0,1,0,0,0,0,7,5,33,126,13
2018-03-01,2,6,0,2,0,0,0,0,9,14,89,128,32
2018-04-01,3,27,2,2,0,1,0,1,7,6,30,103,32
2018-05-01,2,20,0,2,0,0,0,0,14,8,68,162,39
2018-06-01,4,22,3,2,0,3,1,2,22,9,104,157,44
2018-07-01,4,23,2,3,0,0,0,0,15,23,144,142,30
2018-08-01,3,70,1,3,0,1,0,1,19,18,163,158,29
2018-09-01,1,17,0,1,0,0,0,0,16,11,155,132,37
2018-10-01,1,2,0,1,0,0,0,0,17,16,110,125,25
2018-11-01,3,25,2,3,0,0,0,0,24,13,84,140,24
2018-12-01,1,5,0,1,0,0,0,0,9,8,61,94,18
2019-01-01,0,0,0,0,0,0,0,0,5,0,14,233,36
2019-02-01,1,4,0,1,0,0,0,0,12,3,43,118,24
2019-03-01,1,11,0,1,0,4,0,3,11,17,63,146,20
2019-04-01,1,34,0,1,0,2,0,2,12,9,65,147,26
2019-05-01,3,12,2,3,1,1,1,1,12,11,91,125,20
2019-06-01,3,8,2,3,0,0,0,0,8,5,50,112,21
2019-07-01,5,9,4,4,2,1,0,0,17,8,84,215,38
2019-08-01,1,6,0,1,0,0,0,0,11,5,40,118,26
2019-09-01,4,8,3,4,2,0,0,0,11,8,27,100,16
2019-10-01,6,12,4,5,2,2,2,0,22,9,67,114,29
2019-11-01,3,38,0,3,0,1,0,1,26,29,125,127,16
2019-12-01,5,9,4,3,1,1,0,1,16,8,75,92,17
2020-01-01,6,34,3,5,1,3,0,3,26,21,148,112,28
2020-02-01,6,16,4,5,2,1,0,1,17,11,83,91,21
2020-03-01,5,11,3,3,0,2,0,2,9,7,29,119,20
2020-04-01,10,32,5,7,3,0,0,0,21,11,91,94,17
2020-05-01,4,40,1,4,1,5,0,5,17,17,74,107,15
2020-06-01,3,9,1,2,0,2,0,2,13,6,50,154,22
2020-07-01,2,7,0,2,0,2,0,2,21,10,80,209,46
