dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-08-01,1,14,0,1,0,0,0,0,1,1,2,0,0
2016-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-01,1,13,0,1,0,0,0,0,0,0,0,3,0
2016-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,2,25,1,2,1,1,0,1,1,1,2,5,0
2017-03-01,2,53,1,2,1,4,1,3,6,6,56,1,1
2017-04-01,1,14,0,1,0,0,0,0,1,0,17,6,0
2017-05-01,1,55,0,1,0,0,0,0,4,5,67,8,0
2017-06-01,3,48,2,3,2,2,0,2,10,8,104,25,4
2017-07-01,2,24,1,2,1,1,0,1,3,2,9,5,0
2017-08-01,2,69,1,2,0,2,1,1,14,14,151,6,1
2017-09-01,5,65,4,5,3,5,1,4,29,18,353,83,3
2017-10-01,5,54,3,5,2,6,0,5,22,20,231,39,3
2017-11-01,5,74,3,4,2,7,1,5,23,22,293,21,2
2017-12-01,2,39,1,2,0,4,2,2,17,16,155,17,3
2018-01-01,2,79,1,2,0,1,0,1,14,14,84,17,1
2018-02-01,2,28,0,2,0,2,0,1,7,15,182,15,1
2018-03-01,4,55,3,4,2,3,0,2,13,8,96,16,4
2018-04-01,2,31,0,2,0,0,0,1,8,2,32,8,0
2018-05-01,4,46,3,4,2,4,3,2,29,32,264,44,6
2018-06-01,6,30,4,5,3,4,0,5,20,21,299,25,2
2018-07-01,1,28,0,1,0,0,0,0,26,16,156,15,1
2018-08-01,5,49,3,4,1,3,2,2,25,20,259,18,4
2018-09-01,3,22,1,3,1,6,0,5,12,11,103,16,2
2018-10-01,2,35,1,2,1,3,0,4,16,11,115,16,1
2018-11-01,2,28,0,2,0,1,0,1,8,8,131,17,3
2018-12-01,1,28,0,1,0,0,0,0,8,5,82,22,1
2019-01-01,3,41,2,2,0,2,0,2,16,13,240,27,1
2019-02-01,2,41,0,2,0,2,0,2,30,22,293,42,1
2019-03-01,5,42,3,5,3,8,0,7,34,29,361,27,3
2019-04-01,5,43,3,5,1,12,2,9,25,26,244,35,1
2019-05-01,4,29,2,4,2,13,2,10,29,22,353,39,4
2019-06-01,6,17,3,4,1,5,0,7,23,22,234,26,3
2019-07-01,4,34,0,3,0,3,0,3,32,31,253,42,0
2019-08-01,3,16,1,3,1,7,0,4,16,12,120,24,0
2019-09-01,3,14,0,2,0,3,0,3,18,13,145,27,2
2019-10-01,4,18,2,4,1,6,0,5,16,8,87,41,4
2019-11-01,2,26,0,2,0,2,3,2,16,20,210,26,1
2019-12-01,4,19,2,3,1,4,1,3,26,14,116,30,4
2020-01-01,5,27,2,4,0,8,2,6,15,19,130,40,5
2020-02-01,1,13,0,1,0,0,0,1,14,15,164,27,1
2020-03-01,2,10,1,2,0,1,0,1,11,5,73,29,3
2020-04-01,3,36,1,3,0,4,2,2,22,33,270,35,1
2020-05-01,3,15,2,3,2,4,3,2,22,26,184,48,4
2020-06-01,2,3,1,2,1,1,0,1,8,4,43,32,3
2020-07-01,2,8,1,2,1,1,0,0,13,9,65,24,3
2020-08-01,3,21,1,3,1,1,0,2,14,8,78,31,1
