dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-05-01,2,5,2,2,2,2,0,2,2,2,4,1,1
2016-06-01,5,59,3,4,2,52,4,44,52,48,68,31,3
2016-07-01,2,34,0,2,0,33,1,34,33,35,40,28,1
2016-08-01,3,35,0,3,0,34,1,30,49,35,64,10,1
2016-09-01,3,43,1,3,1,42,1,42,43,47,35,4,3
2016-10-01,5,25,2,5,1,20,0,22,21,22,11,9,3
2016-11-01,4,105,1,3,0,44,3,41,52,50,72,23,4
2016-12-01,6,60,3,5,2,26,0,28,31,32,37,25,4
2017-01-01,7,74,3,4,1,50,5,38,64,47,156,25,3
2017-02-01,8,82,1,4,0,58,3,54,64,63,218,12,2
2017-03-01,11,98,4,3,0,63,4,61,94,88,325,87,13
2017-04-01,12,86,3,6,1,54,7,43,70,60,204,51,6
2017-05-01,13,87,5,8,3,61,10,51,75,74,319,44,13
2017-06-01,11,74,4,4,0,65,8,60,74,77,218,158,13
2017-07-01,10,46,1,4,0,40,4,35,45,43,157,35,5
2017-08-01,10,38,3,3,0,42,5,40,46,48,176,35,6
2017-09-01,7,40,1,4,0,32,3,28,34,36,200,16,2
2017-10-01,7,27,1,4,0,25,1,24,35,26,128,45,3
2017-11-01,7,25,1,5,0,13,0,16,20,22,105,31,5
2017-12-01,7,25,2,4,0,23,1,17,26,22,77,24,4
2018-01-01,6,20,2,4,1,28,3,19,33,38,160,31,2
2018-02-01,10,59,1,5,0,61,8,59,64,75,372,48,7
2018-03-01,6,45,0,4,0,44,1,45,45,47,263,61,6
2018-04-01,10,35,1,5,0,37,2,32,40,34,159,150,3
2018-05-01,10,66,1,6,0,57,3,52,68,63,325,59,2
2018-06-01,8,40,1,5,1,27,1,25,39,31,160,38,4
2018-07-01,3,20,0,2,0,21,1,20,24,23,120,33,4
2018-08-01,8,36,2,3,0,20,0,15,22,30,131,27,6
2018-09-01,10,59,2,5,0,32,1,33,41,41,202,36,4
2018-10-01,8,27,0,4,0,31,2,24,34,27,100,38,4
2018-11-01,6,34,0,4,0,23,3,21,24,27,123,17,3
2018-12-01,5,25,0,3,0,24,2,26,29,30,179,41,1
2019-01-01,6,18,0,4,0,22,3,15,24,20,133,37,4
2019-02-01,6,30,0,3,0,22,0,21,22,21,92,24,2
2019-03-01,12,46,4,5,1,43,5,38,47,46,329,45,8
2019-04-01,12,44,2,5,0,56,7,41,59,51,333,51,4
2019-05-01,9,98,1,3,0,95,7,96,102,105,542,118,10
2019-06-01,6,80,0,3,0,87,6,76,95,84,278,44,6
2019-07-01,6,33,1,2,0,33,4,34,39,45,144,42,10
2019-08-01,3,5,0,2,0,6,0,5,10,6,48,131,5
2019-09-01,6,74,1,3,0,75,3,65,85,74,337,92,5
2019-10-01,7,56,2,4,1,56,5,56,63,65,274,43,5
2019-11-01,11,55,3,6,1,45,3,40,51,48,205,30,11
2019-12-01,7,20,0,3,0,22,3,18,27,21,104,59,4
2020-01-01,2,10,0,1,0,7,1,5,10,8,26,20,4
2020-02-01,5,23,1,4,0,28,11,23,29,39,120,31,1
2020-03-01,3,6,1,2,0,18,9,6,20,18,82,24,2
2020-04-01,5,5,1,3,0,13,10,5,15,16,64,44,2
2020-05-01,5,18,2,4,1,24,8,18,28,29,119,35,5
2020-06-01,4,54,1,3,1,61,3,54,63,60,261,37,5
2020-07-01,5,17,0,2,0,17,4,17,20,25,128,146,11
2020-08-01,5,10,2,3,0,19,5,10,21,16,52,33,4
