dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-07-01,5,66,3,4,2,5,3,2,22,13,101,20,5
2015-08-01,5,83,3,4,1,5,0,2,12,8,59,24,4
2015-09-01,2,37,0,2,0,2,1,0,9,5,44,15,6
2015-10-01,2,78,0,2,0,1,0,0,5,11,123,4,1
2015-11-01,2,6,1,2,0,1,0,0,10,2,42,20,2
2015-12-01,2,18,0,2,0,1,0,1,12,2,55,10,2
2016-01-01,4,61,1,4,1,4,0,0,13,8,51,16,6
2016-02-01,6,91,4,6,3,6,8,4,15,23,95,22,8
2016-03-01,3,108,1,3,0,4,5,1,24,30,139,40,8
2016-04-01,7,40,5,5,2,8,0,2,28,13,170,50,5
2016-05-01,7,88,4,5,0,5,0,3,18,6,82,41,11
2016-06-01,2,34,0,2,0,4,4,1,19,9,83,36,5
2016-07-01,6,53,2,4,0,4,7,4,30,35,178,42,15
2016-08-01,7,106,3,6,1,6,0,6,40,52,354,31,7
2016-09-01,4,61,1,4,0,7,0,1,29,11,124,38,6
2016-10-01,5,35,2,4,0,5,0,0,7,3,17,54,12
2016-11-01,3,20,0,3,0,6,1,3,16,6,90,40,17
2016-12-01,3,35,2,3,2,4,1,0,10,5,49,48,8
2017-01-01,3,250,2,3,1,4,1,2,17,7,73,52,12
2017-02-01,3,123,2,3,1,4,8,5,27,32,205,73,11
2017-03-01,3,44,2,3,2,2,4,1,20,29,191,112,7
2017-04-01,2,3,0,2,0,1,0,0,11,3,47,84,5
2017-05-01,4,69,2,4,1,4,1,1,28,12,184,175,16
2017-06-01,7,140,5,4,0,7,0,5,51,20,372,302,21
2017-07-01,4,202,1,4,0,3,1,3,49,88,567,249,24
2017-08-01,10,121,7,6,2,3,0,0,28,6,129,265,37
2017-09-01,4,159,0,4,0,4,12,1,41,43,340,289,28
2017-10-01,5,130,2,5,1,2,0,1,57,29,405,309,39
2017-11-01,9,45,6,6,3,1,0,0,47,34,434,362,29
2017-12-01,8,66,4,5,2,1,0,1,37,8,320,541,51
2018-01-01,8,163,5,4,0,0,0,0,54,50,495,673,58
2018-02-01,10,221,5,7,3,0,0,0,39,53,470,462,50
2018-03-01,8,178,4,4,0,0,0,0,53,58,531,551,59
2018-04-01,5,162,2,5,2,0,0,0,48,47,585,370,62
2018-05-01,4,119,2,3,1,0,0,0,50,43,424,341,37
2018-06-01,8,172,4,6,2,0,7,0,103,100,647,310,43
2018-07-01,7,162,5,4,2,0,0,0,80,53,344,280,41
2018-08-01,16,162,13,10,7,0,0,0,87,69,437,238,48
2018-09-01,18,272,12,7,4,0,0,0,65,46,311,170,35
2018-10-01,16,281,8,8,4,0,0,0,87,82,545,158,29
2018-11-01,14,276,5,7,2,0,0,0,85,165,819,138,30
2018-12-01,15,422,8,6,4,1,0,1,118,102,656,122,35
2019-01-01,15,160,9,7,5,0,0,0,89,113,979,136,34
2019-02-01,18,207,6,8,2,0,0,0,83,62,505,83,22
2019-03-01,18,272,7,10,4,0,0,0,93,97,560,118,29
2019-04-01,19,332,7,9,4,0,0,0,100,94,609,104,34
2019-05-01,16,377,6,7,2,0,0,0,98,96,770,100,36
2019-06-01,14,424,4,6,1,1,1,0,79,61,512,118,35
2019-07-01,16,397,7,8,4,0,0,0,124,68,611,107,31
2019-08-01,15,253,4,8,1,0,0,0,85,80,400,92,24
2019-09-01,14,222,3,8,3,0,0,0,72,66,430,86,24
2019-10-01,11,455,2,5,0,0,0,0,97,104,598,67,15
2019-11-01,12,400,3,6,1,0,0,0,125,127,626,85,20
2019-12-01,12,98,2,6,1,1,1,0,61,57,298,66,19
2020-01-01,12,103,0,7,0,0,0,0,95,99,312,61,20
2020-02-01,15,94,5,6,1,0,0,0,57,45,261,75,16
2020-03-01,8,117,1,3,0,0,0,0,56,55,247,49,15
2020-04-01,12,222,4,5,1,0,0,0,96,90,371,72,26
2020-05-01,14,157,3,6,1,0,0,0,67,69,382,70,18
2020-06-01,8,85,0,3,0,0,0,0,51,47,274,66,22
2020-07-01,14,170,2,6,1,0,0,0,84,95,567,72,22
2020-08-01,11,146,2,4,1,1,1,0,105,82,444,96,23
