dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-06-01,1,35,0,1,0,0,0,0,1,1,6,2,0
2016-07-01,0,0,0,0,0,0,0,0,0,0,0,4,0
2016-08-01,0,0,0,0,0,0,0,0,0,0,0,1,1
2016-09-01,1,11,0,1,0,0,0,0,0,0,0,3,0
2016-10-01,1,15,0,1,0,0,0,0,1,1,8,3,1
2016-11-01,1,58,0,1,0,0,0,0,3,2,5,4,1
2016-12-01,3,58,2,1,0,8,0,8,16,9,71,7,2
2017-01-01,3,73,0,1,0,5,0,4,22,20,147,8,1
2017-02-01,1,68,0,1,0,0,1,0,3,5,33,7,0
2017-03-01,1,28,0,1,0,0,0,0,10,7,61,6,1
2017-04-01,1,2,0,1,0,0,0,0,5,4,31,7,1
2017-05-01,1,3,0,1,0,0,0,0,3,0,11,9,1
2017-06-01,1,22,0,1,0,4,0,2,10,5,91,1,2
2017-07-01,1,16,0,1,0,0,1,0,7,6,38,6,0
2017-08-01,4,66,3,4,3,6,0,6,19,22,98,13,2
2017-09-01,7,60,5,4,2,17,2,15,31,29,135,12,1
2017-10-01,5,61,1,5,1,11,2,10,23,23,130,9,2
2017-11-01,3,60,0,3,0,13,2,9,24,20,93,8,0
2017-12-01,4,46,2,4,1,9,2,9,19,20,140,15,3
2018-01-01,6,53,2,5,1,14,1,12,29,33,223,16,2
2018-02-01,2,33,0,2,0,5,0,6,27,16,213,79,2
2018-03-01,8,119,5,5,2,23,2,20,56,58,542,20,6
2018-04-01,3,60,0,2,0,12,1,10,35,24,311,26,1
2018-05-01,5,46,0,4,0,13,0,13,32,33,290,21,0
2018-06-01,5,43,2,3,1,5,0,6,26,18,255,18,4
2018-07-01,3,68,1,3,1,0,0,0,22,18,177,18,1
2018-08-01,3,20,1,3,1,1,1,0,19,12,106,30,1
2018-09-01,3,35,0,3,0,1,0,1,20,21,191,21,1
2018-10-01,3,3,1,3,1,1,0,1,8,3,27,17,3
2018-11-01,0,0,0,0,0,0,1,0,5,1,21,24,1
2018-12-01,6,112,4,4,1,10,2,8,26,23,101,28,3
2019-01-01,5,24,3,5,3,4,0,4,10,7,71,19,4
2019-02-01,3,22,1,3,0,1,0,1,5,22,92,36,4
2019-03-01,3,28,1,2,0,5,1,3,10,6,41,32,3
2019-04-01,2,43,0,2,0,5,0,3,13,8,56,28,3
2019-05-01,4,65,2,3,1,3,2,2,21,22,233,46,3
2019-06-01,4,52,1,2,0,4,2,2,18,17,156,27,6
2019-07-01,9,45,6,7,3,17,4,9,27,20,95,101,5
2019-08-01,5,65,2,4,1,4,3,5,29,17,156,34,3
2019-09-01,3,48,1,2,0,1,0,2,23,20,128,32,1
2019-10-01,5,9,1,4,0,3,1,2,34,26,91,30,2
2019-11-01,5,64,2,4,1,1,2,0,22,27,137,32,3
2019-12-01,4,35,1,3,0,1,0,1,15,16,94,34,3
2020-01-01,4,67,1,2,0,1,1,0,22,16,164,45,2
2020-02-01,4,64,2,4,2,0,0,0,24,26,163,21,4
2020-03-01,5,46,3,3,1,0,0,0,15,39,252,58,7
2020-04-01,6,60,4,5,2,0,0,0,25,14,174,30,7
2020-05-01,6,96,2,4,0,0,0,0,19,18,82,44,2
2020-06-01,8,79,3,4,1,0,0,0,32,23,198,43,6
2020-07-01,4,48,1,3,0,0,0,0,20,15,89,38,5
2020-08-01,2,68,0,2,0,1,0,1,18,15,94,49,2
