dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-12-01,2,197,0,2,0,0,0,0,2,2,0,1,0
2016-01-01,2,311,1,1,0,0,0,0,29,18,24,11,1
2016-02-01,3,344,0,2,0,0,0,0,32,27,58,17,1
2016-03-01,3,500,0,2,0,0,0,0,55,43,134,5,1
2016-04-01,5,123,2,4,2,0,0,0,32,32,124,16,5
2016-05-01,4,123,1,3,0,0,0,0,22,19,89,13,3
2016-06-01,3,64,0,2,0,0,0,0,18,16,88,9,4
2016-07-01,3,112,0,2,0,0,0,0,18,26,153,9,3
2016-08-01,7,39,4,4,1,0,0,0,17,16,60,5,5
2016-09-01,7,183,2,6,2,0,0,0,58,62,280,7,3
2016-10-01,5,245,0,4,0,0,0,0,51,53,255,9,6
2016-11-01,8,160,2,5,1,0,0,0,37,34,116,3,11
2016-12-01,2,84,0,2,0,4,1,3,25,18,92,11,10
2017-01-01,5,134,1,3,1,4,0,4,48,42,223,7,8
2017-02-01,6,94,2,4,1,5,1,4,51,45,213,8,9
2017-03-01,8,123,2,5,1,4,0,4,46,43,252,11,12
2017-04-01,7,100,3,4,1,1,0,1,41,35,236,11,10
2017-05-01,6,75,1,4,0,2,0,2,33,46,215,14,13
2017-06-01,5,45,1,3,0,1,0,0,30,20,136,13,4
2017-07-01,5,52,3,5,2,0,0,1,21,9,125,16,11
2017-08-01,4,21,1,2,0,1,0,1,9,15,43,6,6
2017-09-01,2,17,0,2,0,0,0,0,2,4,16,15,11
2017-10-01,3,13,0,3,0,0,0,0,4,7,24,8,7
2017-11-01,2,5,0,2,0,0,0,0,4,8,25,6,8
2017-12-01,2,8,1,1,0,0,0,0,6,5,32,14,7
2018-01-01,2,2,0,2,0,0,0,0,3,3,12,12,13
2018-02-01,1,1,0,1,0,0,0,0,4,5,21,10,3
2018-03-01,5,11,2,4,1,1,0,1,5,4,19,10,6
2018-04-01,2,3,1,2,0,0,0,0,6,5,14,8,8
2018-05-01,3,6,0,2,0,1,0,1,6,3,23,8,4
2018-06-01,3,5,0,2,0,0,0,0,8,9,73,11,6
2018-07-01,0,0,0,0,0,0,0,0,9,5,22,6,7
2018-08-01,1,5,0,1,0,0,0,0,4,2,16,8,7
2018-09-01,3,16,1,2,0,0,0,0,4,5,23,4,3
2018-10-01,4,11,1,2,0,1,0,1,4,35,63,7,4
2018-11-01,1,2,1,1,0,0,0,0,5,1,17,11,2
2018-12-01,1,1,1,1,1,0,0,0,3,2,5,11,6
2019-01-01,1,1,0,1,0,0,0,0,0,0,0,12,4
2019-02-01,2,7,1,2,1,0,0,0,4,12,61,5,2
2019-03-01,2,5,0,2,0,1,0,1,4,3,5,9,1
2019-04-01,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-05-01,1,22,0,1,0,0,0,0,0,0,0,1,5
2019-06-01,0,0,0,0,0,0,0,0,4,2,18,3,2
2019-07-01,1,1,0,1,0,0,0,0,1,0,0,2,4
2019-08-01,1,3,0,1,0,0,0,0,1,0,15,4,1
2019-09-01,0,0,0,0,0,0,0,0,0,0,0,3,2
2019-10-01,2,4,1,2,0,0,0,0,1,2,17,3,6
2019-11-01,1,9,0,1,0,0,0,0,0,0,0,7,2
2019-12-01,1,4,0,1,0,1,0,0,1,0,2,3,5
2020-01-01,0,0,0,0,0,0,0,0,2,1,9,4,2
2020-02-01,1,2,0,1,0,0,0,0,1,1,5,3,2
2020-03-01,1,9,0,1,0,0,0,0,1,0,2,3,1
2020-04-01,3,5,2,3,0,0,0,0,3,1,5,1,0
2020-05-01,2,11,1,1,0,0,0,0,4,4,16,4,0
2020-06-01,0,0,0,0,0,0,0,0,1,0,0,3,3
2020-07-01,0,0,0,0,0,0,0,0,1,1,6,2,0
2020-08-01,2,11,0,2,0,0,0,0,4,3,0,4,2
