dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-04-01,1,41,0,1,0,0,0,0,3,0,3,0,0
2016-05-01,1,55,0,1,0,0,0,0,10,5,44,1,0
2016-06-01,2,72,1,1,0,1,0,1,13,19,70,2,1
2016-07-01,2,50,0,1,0,2,1,1,11,6,89,3,0
2016-08-01,2,52,1,2,1,2,0,2,21,17,204,3,2
2016-09-01,1,9,0,1,0,0,0,0,5,7,57,4,1
2016-10-01,1,10,0,1,0,2,2,0,16,11,82,6,1
2016-11-01,1,56,0,1,0,0,0,0,17,21,220,14,4
2016-12-01,1,47,0,1,0,0,0,0,38,34,478,22,4
2017-01-01,2,67,1,1,0,1,0,1,42,42,344,31,2
2017-02-01,1,28,0,1,0,0,0,0,26,28,369,38,6
2017-03-01,2,34,1,2,1,1,0,1,32,24,412,23,5
2017-04-01,1,49,0,1,0,1,0,0,20,13,227,30,9
2017-05-01,1,57,0,1,0,0,0,0,28,36,342,40,7
2017-06-01,2,26,1,2,1,1,0,1,11,5,77,27,9
2017-07-01,1,45,0,1,0,3,3,0,30,26,369,31,3
2017-08-01,3,58,2,2,1,1,0,1,21,30,460,43,4
2017-09-01,3,73,1,3,1,2,0,2,30,33,668,31,6
2017-10-01,5,72,2,3,1,5,1,4,37,30,542,41,9
2017-11-01,3,23,1,3,1,2,0,2,29,24,370,34,8
2017-12-01,1,29,0,1,0,1,1,0,31,37,503,30,4
2018-01-01,3,40,2,3,2,2,0,2,28,22,311,53,19
2018-02-01,3,32,1,2,1,3,0,3,28,28,454,39,8
2018-03-01,1,32,0,1,0,0,0,0,29,25,321,36,13
2018-04-01,2,55,1,2,1,3,1,1,37,48,603,41,11
2018-05-01,2,50,1,1,0,3,2,2,36,35,408,43,13
2018-06-01,1,63,0,1,0,0,0,0,15,12,252,30,8
2018-07-01,2,6,1,1,0,1,0,1,23,9,180,34,10
2018-08-01,2,68,1,1,0,1,0,1,26,46,593,45,6
2018-09-01,1,2,0,1,0,0,0,0,20,9,228,40,7
2018-10-01,3,112,2,1,0,3,0,3,21,36,361,38,9
2018-11-01,2,62,1,2,1,1,0,1,24,10,268,36,13
2018-12-01,1,48,0,1,0,0,0,0,15,22,253,43,14
2019-01-01,1,78,0,1,0,1,0,0,25,18,428,47,13
2019-02-01,4,43,2,3,2,5,0,5,33,23,447,47,7
2019-03-01,1,3,0,1,0,0,0,0,20,6,217,47,18
2019-04-01,2,13,1,2,1,1,1,0,30,47,506,59,20
2019-05-01,1,31,0,1,0,0,0,0,25,27,338,70,11
2019-06-01,3,35,2,2,1,2,0,3,28,36,402,44,10
2019-07-01,2,6,1,2,1,1,0,1,29,9,183,53,15
2019-08-01,1,15,0,1,0,0,0,0,17,25,225,52,19
2019-09-01,1,18,0,1,0,2,0,0,31,10,283,37,16
2019-10-01,2,12,1,1,0,1,2,1,25,39,466,46,12
2019-11-01,1,16,0,1,0,0,0,0,26,31,436,61,21
2019-12-01,1,8,0,1,0,1,0,0,16,4,80,47,14
2020-01-01,1,28,0,1,0,0,0,0,23,52,460,47,22
2020-02-01,2,2,1,2,1,1,0,1,18,7,160,44,12
2020-03-01,1,12,0,1,0,0,0,0,21,8,184,52,12
2020-04-01,2,25,1,1,0,2,1,1,37,22,423,76,19
2020-05-01,3,6,2,3,2,4,0,2,33,13,207,56,17
2020-06-01,1,2,0,1,0,1,0,0,22,30,269,47,12
2020-07-01,0,0,0,0,0,0,0,0,17,54,316,37,13
2020-08-01,1,1,0,1,0,1,0,0,18,6,83,50,14
