dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-06-01,2,2,2,2,2,2,1,0,6,1,23,10,0
2015-07-01,4,94,3,4,2,9,2,8,30,26,135,20,4
2015-08-01,5,72,2,4,1,32,16,13,70,51,515,20,1
2015-09-01,2,54,1,2,0,2,2,1,3,6,31,54,6
2015-10-01,4,88,2,4,1,6,4,3,25,18,126,40,4
2015-11-01,4,12,2,3,0,7,4,3,11,11,94,52,2
2015-12-01,6,8,5,4,1,6,2,4,11,12,83,71,6
2016-01-01,14,212,8,6,2,39,24,11,82,71,551,98,11
2016-02-01,10,86,5,5,2,18,11,11,58,65,687,91,9
2016-03-01,3,266,2,3,2,13,7,6,45,41,368,73,7
2016-04-01,7,211,2,5,1,18,6,12,39,36,269,82,10
2016-05-01,9,92,4,3,0,24,2,22,44,49,360,213,18
2016-06-01,9,63,4,4,0,13,1,12,34,31,373,113,14
2016-07-01,7,98,3,3,0,18,2,10,43,34,356,87,11
2016-08-01,4,88,1,3,0,6,4,7,24,24,265,95,12
2016-09-01,7,165,3,3,0,14,1,13,39,37,495,153,14
2016-10-01,5,7,2,3,1,16,3,7,50,53,678,114,19
2016-11-01,4,8,1,1,0,6,0,8,18,16,129,100,12
2016-12-01,4,8,2,2,0,6,1,6,16,11,108,103,12
2017-01-01,2,2,1,2,0,3,6,2,13,56,480,97,13
2017-02-01,1,1,0,1,0,2,0,1,5,9,47,95,11
2017-03-01,4,8,3,4,1,9,2,7,21,14,130,114,19
2017-04-01,6,11,3,4,2,11,0,11,19,22,156,128,15
2017-05-01,4,9,1,3,1,9,0,8,26,17,176,76,11
2017-06-01,1,2,0,1,0,3,1,2,17,7,168,73,7
2017-07-01,4,4,1,2,0,5,0,4,15,7,119,78,7
2017-08-01,5,6,3,4,2,14,2,5,29,17,218,69,8
2017-09-01,3,8,1,3,1,7,7,3,19,24,283,86,6
2017-10-01,6,11,3,4,1,7,3,6,21,36,284,86,5
2017-11-01,5,6,3,3,0,5,0,4,22,17,238,69,9
2017-12-01,0,0,0,0,0,3,0,0,20,10,206,68,7
2018-01-01,1,1,0,1,0,1,0,0,10,2,49,55,6
2018-02-01,7,14,3,6,1,15,8,10,29,30,245,43,5
2018-03-01,8,17,4,5,1,12,2,12,31,37,252,67,4
2018-04-01,3,20,1,3,0,13,3,12,28,34,202,58,3
2018-05-01,5,8,1,4,0,14,5,6,32,32,482,45,6
2018-06-01,3,13,1,3,1,14,3,13,27,23,179,43,5
2018-07-01,0,0,0,0,0,0,0,0,15,3,67,50,3
2018-08-01,3,6,0,3,0,7,1,5,15,11,60,42,4
2018-09-01,1,1,1,1,1,2,0,1,17,5,112,30,6
2018-10-01,2,7,0,2,0,3,1,2,10,8,41,43,3
2018-11-01,0,0,0,0,0,2,1,0,11,34,202,25,3
2018-12-01,4,10,2,3,1,9,4,10,15,19,106,31,5
2019-01-01,2,2,0,2,0,1,0,1,7,5,53,29,1
2019-02-01,1,1,1,1,0,2,0,1,17,15,91,23,2
2019-03-01,3,3,1,2,0,2,0,2,8,5,27,22,2
2019-04-01,2,4,1,2,0,4,0,4,13,7,59,17,1
2019-05-01,2,3,0,2,0,1,1,2,10,9,79,26,4
2019-06-01,3,4,1,3,1,2,0,2,17,2,82,19,10
2019-07-01,4,13,2,3,1,8,0,6,27,23,168,37,1
2019-08-01,0,0,0,0,0,1,0,0,8,3,40,19,3
2019-09-01,5,42,1,4,0,28,0,25,45,39,171,14,5
2019-10-01,7,45,1,4,1,36,0,34,51,46,171,19,2
2019-11-01,4,21,1,3,1,21,4,19,28,32,195,17,4
2019-12-01,8,60,2,4,0,45,3,43,74,69,411,26,2
2020-01-01,6,48,1,4,0,39,4,34,58,60,418,28,5
2020-02-01,4,19,1,3,0,19,4,16,48,43,312,34,6
2020-03-01,4,28,1,3,0,31,2,28,62,46,273,24,6
2020-04-01,5,23,2,5,1,28,2,24,55,39,273,30,6
2020-05-01,4,39,0,4,0,32,4,30,59,62,346,19,5
2020-06-01,6,25,1,5,1,18,0,15,40,56,309,17,7
2020-07-01,4,18,0,4,0,19,0,18,33,28,120,20,2
2020-08-01,5,14,1,4,0,14,3,11,35,28,66,24,5
