dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-01-01,6,121,6,5,5,4,0,4,13,8,48,433,13
2016-02-01,14,326,11,10,6,56,19,34,79,80,543,2123,65
2016-03-01,11,407,5,9,3,47,11,37,69,70,485,534,31
2016-04-01,12,253,6,9,3,19,2,15,40,31,211,172,16
2016-05-01,19,338,12,14,5,51,9,38,140,113,614,338,28
2016-06-01,14,596,6,10,3,49,8,43,74,77,195,487,21
2016-07-01,12,258,7,9,4,40,5,39,83,69,284,313,16
2016-08-01,7,126,4,5,2,23,4,21,59,75,346,311,17
2016-09-01,12,147,8,11,6,29,3,24,70,58,407,1329,46
2016-10-01,9,82,7,6,3,18,3,17,47,54,289,495,33
2016-11-01,14,53,8,10,3,16,0,9,55,35,384,540,38
2016-12-01,13,70,6,7,2,17,6,13,45,42,342,333,25
2017-01-01,13,48,6,7,2,18,5,9,32,52,250,388,21
2017-02-01,6,104,2,4,1,26,2,27,61,56,304,431,12
2017-03-01,8,131,3,4,0,34,5,27,78,61,257,304,23
2017-04-01,5,100,1,3,0,17,2,16,38,64,322,224,15
2017-05-01,6,93,2,3,0,21,4,24,59,89,331,377,12
2017-06-01,7,71,4,5,1,15,1,13,31,33,165,360,16
2017-07-01,6,34,4,6,3,8,0,6,21,14,64,246,19
2017-08-01,6,98,2,5,1,10,2,9,42,36,191,551,13
2017-09-01,5,173,0,5,0,5,1,3,41,23,158,282,9
2017-10-01,7,326,2,6,1,8,1,6,55,34,240,295,19
2017-11-01,8,261,1,6,1,4,0,3,60,47,179,277,16
2017-12-01,11,419,5,7,0,7,1,5,104,90,285,362,70
2018-01-01,8,89,3,6,1,3,0,4,77,61,381,338,18
2018-02-01,9,131,5,6,3,6,4,4,54,84,332,337,50
2018-03-01,7,86,3,6,2,9,2,6,67,77,358,426,22
2018-04-01,8,81,6,6,2,18,1,16,57,82,381,355,21
2018-05-01,12,76,7,6,2,16,3,11,52,44,294,458,30
2018-06-01,7,25,3,6,1,5,0,6,39,19,228,313,17
2018-07-01,11,29,6,7,4,10,0,6,34,21,203,217,18
2018-08-01,2,15,1,2,1,2,0,6,18,18,81,261,12
2018-09-01,2,15,0,2,0,6,5,5,28,55,296,256,12
2018-10-01,0,0,0,0,0,0,0,0,7,4,43,207,14
2018-11-01,3,5,1,2,0,5,0,2,12,4,24,196,13
2018-12-01,1,1,1,1,1,1,0,1,13,7,53,172,14
2019-01-01,6,9,4,4,0,8,2,7,17,20,141,191,11
2019-02-01,4,14,1,4,1,11,1,9,40,42,269,195,16
2019-03-01,2,9,1,2,0,2,0,4,17,15,119,296,11
2019-04-01,2,10,0,2,0,9,0,9,29,25,163,227,12
2019-05-01,1,10,0,1,0,4,0,3,14,5,37,194,13
2019-06-01,3,17,0,2,0,11,1,11,24,25,72,275,14
2019-07-01,2,5,0,2,0,3,0,0,18,3,65,191,17
2019-08-01,6,10,2,3,1,6,0,8,13,14,44,166,5
2019-09-01,1,2,0,1,0,8,0,2,21,11,54,154,19
2019-10-01,4,23,0,2,0,18,2,16,23,20,64,158,8
2019-11-01,5,6,1,4,1,7,1,6,17,33,181,182,14
2019-12-01,3,13,0,3,0,12,2,9,29,23,100,334,25
2020-01-01,4,13,0,4,0,10,0,8,25,19,98,192,11
2020-02-01,13,24,7,9,2,26,2,22,38,45,262,202,23
2020-03-01,10,31,4,7,2,35,8,27,72,60,311,206,24
2020-04-01,9,16,2,7,2,11,11,13,53,116,491,250,16
2020-05-01,4,8,0,3,0,19,2,7,36,21,170,239,32
2020-06-01,8,18,4,5,0,20,2,16,39,28,115,254,19
2020-07-01,17,31,12,7,2,19,3,25,37,49,287,199,15
2020-08-01,2,6,0,2,0,13,1,6,29,21,146,180,12
