dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-06-01,4,34,3,3,2,4,0,4,4,4,0,1,1
2015-07-01,1,2,0,1,0,1,0,1,1,1,0,2,0
2015-08-01,1,1,1,1,0,1,0,0,1,0,1,5,2
2015-09-01,1,5,0,1,0,0,0,1,0,1,1,16,2
2015-10-01,2,3,0,1,0,1,0,1,1,1,0,12,0
2015-11-01,2,5,1,1,0,2,0,2,2,2,0,14,3
2015-12-01,1,1,0,1,0,0,0,0,0,0,0,4,3
2016-01-01,0,0,0,0,0,0,0,0,0,0,0,10,1
2016-02-01,1,1,0,1,0,0,0,0,0,0,0,10,1
2016-03-01,0,0,0,0,0,0,0,0,0,0,0,16,1
2016-04-01,2,5,1,2,1,1,0,1,1,1,2,12,0
2016-05-01,0,0,0,0,0,0,0,0,0,0,0,10,2
2016-06-01,3,3,1,2,0,2,0,1,2,1,2,13,2
2016-07-01,6,37,4,5,3,5,0,6,5,6,6,24,4
2016-08-01,2,6,1,2,1,2,0,2,2,2,4,20,6
2016-09-01,4,12,2,3,1,5,0,5,5,5,2,12,1
2016-10-01,3,15,1,3,1,7,1,6,7,7,4,6,2
2016-11-01,4,41,2,3,1,10,0,10,10,10,2,10,3
2016-12-01,5,57,3,4,2,6,0,6,19,11,169,21,2
2017-01-01,1,5,0,1,0,1,0,0,9,2,85,11,0
2017-02-01,7,40,3,6,2,5,2,3,20,12,227,24,2
2017-03-01,4,39,1,4,0,3,0,4,13,10,161,6,0
2017-04-01,4,12,1,3,0,3,0,3,7,6,51,11,6
2017-05-01,4,17,2,4,0,2,0,2,11,4,88,28,2
2017-06-01,1,2,0,1,0,0,0,0,6,0,40,14,3
2017-07-01,0,0,0,0,0,0,0,0,7,1,51,13,1
2017-08-01,4,23,2,3,1,3,1,2,13,4,169,19,2
2017-09-01,2,24,0,2,0,0,0,0,6,3,46,21,1
2017-10-01,2,15,0,2,0,0,0,0,12,6,82,26,1
2017-11-01,0,0,0,0,0,0,0,0,4,2,7,23,2
2017-12-01,0,0,0,0,0,0,0,0,7,0,14,19,0
2018-01-01,1,1,0,1,0,1,0,1,10,2,49,17,0
2018-02-01,2,2,0,2,0,0,0,0,11,6,72,37,4
2018-03-01,3,9,1,3,0,4,1,3,14,9,113,39,2
2018-04-01,4,12,1,4,1,3,0,3,15,6,45,37,3
2018-05-01,1,1,0,1,0,0,0,0,6,2,25,38,3
2018-06-01,5,90,3,5,2,18,1,17,38,31,176,34,1
2018-07-01,4,29,1,4,1,5,0,5,20,26,232,43,4
2018-08-01,3,19,0,3,0,1,0,1,13,6,68,37,2
2018-09-01,3,11,0,3,0,1,0,1,9,2,26,37,6
2018-10-01,2,8,0,2,0,0,0,0,6,0,13,27,2
2018-11-01,3,20,1,3,0,4,0,0,8,1,15,34,3
2018-12-01,3,52,0,3,0,4,1,7,9,15,57,24,1
2019-01-01,4,35,1,4,1,12,1,11,21,17,128,37,6
2019-02-01,5,26,2,5,2,3,0,3,19,12,131,40,6
2019-03-01,5,38,3,2,0,10,0,9,20,18,211,40,5
2019-04-01,7,40,1,3,0,5,1,5,23,15,603,35,4
2019-05-01,4,9,1,2,0,3,0,3,9,7,112,43,5
2019-06-01,5,16,0,2,0,7,0,7,25,21,156,33,8
2019-07-01,7,65,1,3,0,9,1,8,23,30,252,44,3
2019-08-01,10,51,3,3,0,6,0,6,15,20,235,40,3
2019-09-01,3,33,1,1,0,5,0,5,16,11,133,41,5
2019-10-01,6,39,4,3,2,24,4,19,46,36,262,42,3
2019-11-01,4,20,0,1,0,3,2,2,14,11,98,26,6
2019-12-01,5,43,0,3,0,0,0,0,13,6,105,31,4
2020-01-01,7,18,1,3,0,3,0,3,13,5,110,38,4
2020-02-01,4,44,1,2,0,7,2,2,23,12,702,48,3
2020-03-01,5,37,1,3,0,7,2,5,19,15,311,53,9
2020-04-01,3,12,1,3,0,5,0,5,19,12,167,64,5
2020-05-01,3,21,0,2,0,5,0,5,16,9,156,42,4
2020-06-01,3,18,0,2,0,6,1,6,19,15,162,40,3
2020-07-01,2,11,0,1,0,5,1,2,13,7,137,43,4
2020-08-01,8,51,2,3,0,5,3,4,26,15,207,40,9
