dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2017-03-01,1,57,0,1,0,0,0,0,5,2,14,15,2
2017-04-01,1,44,0,1,0,0,0,0,1,2,12,28,4
2017-05-01,1,41,0,1,0,2,1,0,9,4,47,20,3
2017-06-01,2,52,1,2,1,0,0,1,6,2,23,179,7
2017-07-01,1,39,0,1,0,0,0,0,6,5,18,60,4
2017-08-01,2,32,1,2,1,3,0,2,12,9,80,53,7
2017-09-01,2,56,0,2,0,1,1,1,9,11,69,29,5
2017-10-01,1,39,0,1,0,1,1,0,4,5,22,30,4
2017-11-01,1,44,0,1,0,0,0,0,11,9,86,71,11
2017-12-01,3,81,2,1,0,1,0,1,20,13,98,72,5
2018-01-01,4,61,2,2,0,3,1,2,42,21,206,415,34
2018-02-01,1,31,0,1,0,0,0,0,22,19,180,117,13
2018-03-01,1,53,0,1,0,0,0,0,36,32,316,107,15
2018-04-01,3,66,2,2,0,1,0,1,33,41,226,172,14
2018-05-01,3,69,0,2,0,2,0,2,43,21,241,407,31
2018-06-01,1,41,0,1,0,0,0,0,25,26,142,238,19
2018-07-01,1,63,0,1,0,0,0,0,44,42,252,183,20
2018-08-01,2,68,1,2,0,2,0,1,46,44,270,132,14
2018-09-01,2,51,1,2,0,2,2,1,55,50,339,456,22
2018-10-01,6,54,4,4,1,5,0,5,49,47,278,170,24
2018-11-01,1,38,0,1,0,1,0,0,45,42,268,176,20
2018-12-01,1,13,0,1,0,0,0,0,36,20,168,139,13
2019-01-01,2,14,1,2,1,5,1,3,51,16,224,239,29
2019-02-01,1,3,0,1,0,3,0,3,40,14,186,163,18
2019-03-01,2,16,0,2,0,1,1,2,52,47,438,295,23
2019-04-01,1,14,0,1,0,0,0,0,71,31,304,323,29
2019-05-01,1,8,0,1,0,0,0,0,47,10,148,150,25
2019-06-01,6,24,4,4,1,2,0,2,62,24,205,522,62
2019-07-01,1,2,0,1,0,0,0,0,30,9,99,184,25
2019-08-01,1,1,0,1,0,0,0,0,41,14,125,166,22
2019-09-01,2,2,1,2,1,2,0,1,35,9,69,157,24
2019-10-01,1,1,1,1,0,2,1,1,36,12,146,156,20
2019-11-01,3,11,2,3,0,4,1,4,66,36,288,190,26
2019-12-01,3,11,2,2,0,1,0,1,43,21,213,222,23
2020-01-01,2,9,0,2,0,8,2,6,47,24,162,118,17
2020-02-01,1,1,1,1,1,1,0,0,46,13,130,152,24
2020-03-01,3,10,2,2,0,1,0,2,59,16,156,178,24
2020-04-01,1,2,0,1,0,0,0,0,56,10,142,193,34
2020-05-01,4,6,3,2,1,3,0,3,62,11,105,221,26
2020-06-01,1,1,0,1,0,1,0,1,29,8,72,143,22
2020-07-01,1,1,0,1,0,0,0,0,41,11,116,124,18
2020-08-01,2,2,1,2,0,0,0,0,27,7,58,115,9
