dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-01-01,4,124,3,2,1,3,0,2,4,2,1,0,0
2016-02-01,6,95,2,3,1,4,0,3,5,3,2,0,0
2016-03-01,7,172,2,3,0,7,0,8,8,9,9,0,0
2016-04-01,8,121,1,4,1,16,3,13,50,32,57,0,0
2016-05-01,7,270,0,3,0,17,1,16,47,45,53,0,0
2016-06-01,9,193,1,3,0,10,2,8,72,47,48,0,0
2016-07-01,11,185,3,5,1,19,0,18,42,34,46,1,0
2016-08-01,10,182,0,3,0,24,1,22,83,59,29,0,0
2016-09-01,7,150,1,3,0,9,0,9,71,79,58,0,0
2016-10-01,11,248,2,5,1,5,0,5,49,45,102,0,0
2016-11-01,10,481,0,4,0,3,0,3,17,18,19,0,0
2016-12-01,10,322,0,4,0,4,2,4,11,15,18,0,0
2017-01-01,11,253,1,4,0,13,1,13,22,29,70,0,0
2017-02-01,5,61,0,4,0,35,2,30,124,70,265,0,0
2017-03-01,7,47,0,4,0,33,3,33,74,61,227,0,0
2017-04-01,8,27,0,4,0,15,2,10,28,23,113,0,0
2017-05-01,8,183,1,5,1,55,9,47,184,184,512,2,0
2017-06-01,7,51,0,5,0,43,1,41,85,92,308,0,0
2017-07-01,5,17,0,2,0,17,5,8,52,23,154,0,0
2017-08-01,11,181,2,6,1,105,14,93,208,170,557,0,0
2017-09-01,10,309,0,5,0,63,11,51,372,311,1069,242,8
2017-10-01,10,46,2,6,2,23,4,21,76,58,281,235,7
2017-11-01,10,70,0,6,0,34,5,28,71,83,213,25,3
2017-12-01,10,86,1,6,1,32,5,27,105,93,262,59,1
2018-01-01,10,148,0,6,0,43,5,36,155,139,309,141,3
2018-02-01,7,50,0,5,0,25,2,23,60,43,154,46,1
2018-03-01,11,104,2,7,2,32,4,27,64,80,186,31,2
2018-04-01,9,43,1,6,0,17,4,16,36,26,84,62,3
2018-05-01,7,61,0,6,0,10,4,5,31,19,92,44,3
2018-06-01,7,23,1,4,1,10,2,8,29,17,105,102,1
2018-07-01,12,121,4,10,3,10,2,11,87,52,299,19,4
2018-08-01,13,100,2,7,1,21,1,15,54,49,238,44,1
2018-09-01,12,98,1,6,0,22,8,17,127,131,308,25,3
2018-10-01,15,103,1,10,0,32,2,31,116,117,390,65,3
2018-11-01,12,107,2,5,0,15,2,14,80,115,188,37,1
2018-12-01,13,87,1,8,0,11,0,13,60,51,118,21,3
2019-01-01,5,23,0,4,0,5,0,4,25,15,40,10,0
2019-02-01,5,43,0,3,0,4,0,5,19,22,55,11,2
2019-03-01,7,30,0,5,0,14,6,5,21,11,20,14,3
2019-04-01,6,59,0,3,0,23,8,18,57,65,192,16,1
2019-05-01,5,40,1,4,0,11,1,10,24,30,63,22,0
2019-06-01,6,36,0,3,0,22,2,13,50,28,69,9,2
2019-07-01,3,25,0,2,0,13,1,17,30,46,133,13,1
2019-08-01,4,7,0,3,0,5,0,5,13,11,27,9,0
2019-09-01,3,56,0,3,0,7,2,4,29,14,83,11,0
2019-10-01,3,28,0,2,0,10,2,5,19,9,100,13,0
2019-11-01,3,41,1,3,0,16,1,19,26,35,100,17,1
2019-12-01,3,19,1,3,1,19,5,14,23,33,49,11,2
2020-01-01,4,23,0,3,0,12,0,10,16,14,12,4,1
2020-02-01,1,4,0,1,0,5,1,6,5,10,5,2,1
2020-03-01,1,1,0,1,0,2,2,3,6,6,15,4,0
2020-04-01,5,6,0,4,0,4,0,4,9,14,4,6,1
2020-05-01,2,4,0,1,0,3,0,3,4,5,4,6,2
2020-06-01,1,2,0,1,0,2,0,1,4,1,6,9,1
2020-07-01,2,5,0,2,0,3,0,2,4,3,0,10,0
2020-08-01,1,4,0,1,0,3,0,4,5,4,4,4,0
