dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-09-01,2,26,1,2,1,1,0,1,1,1,0,1,0
2016-10-01,1,16,0,1,0,1,0,0,1,0,0,1,0
2016-11-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2016-12-01,1,12,0,1,0,0,1,0,0,1,0,0,0
2017-01-01,1,12,0,1,0,0,0,0,2,1,5,3,0
2017-02-01,1,29,0,1,0,0,0,0,17,12,183,27,4
2017-03-01,4,51,3,3,2,3,0,3,30,10,108,57,7
2017-04-01,3,97,1,3,1,1,0,1,32,37,235,42,0
2017-05-01,5,100,3,3,1,18,3,12,35,36,134,51,8
2017-06-01,1,54,0,1,0,4,1,4,24,29,120,43,9
2017-07-01,3,76,2,3,1,6,1,5,33,31,152,53,9
2017-08-01,3,69,2,3,1,6,1,3,31,29,232,105,14
2017-09-01,3,17,2,3,1,2,2,2,17,14,92,73,13
2017-10-01,5,46,4,5,2,9,1,6,40,38,220,322,19
2017-11-01,1,5,0,1,0,6,2,4,24,19,81,152,17
2017-12-01,1,7,0,1,0,2,0,0,19,13,102,79,11
2018-01-01,1,17,0,1,0,3,2,4,20,32,144,143,13
2018-02-01,1,22,0,1,0,1,1,0,29,27,99,419,34
2018-03-01,1,23,0,1,0,5,1,1,47,49,244,248,38
2018-04-01,1,5,0,1,0,0,0,1,16,18,95,221,32
2018-05-01,1,11,0,1,0,1,1,0,20,19,83,167,20
2018-06-01,1,9,0,1,0,1,0,1,18,18,65,157,28
2018-07-01,1,10,0,1,0,3,1,0,26,12,67,182,25
2018-08-01,1,15,0,1,0,4,0,3,20,21,58,150,22
2018-09-01,1,25,0,1,0,2,1,3,19,25,93,155,26
2018-10-01,2,13,1,2,1,2,1,0,31,28,100,240,22
2018-11-01,2,19,0,2,0,4,0,1,14,10,55,149,35
2018-12-01,1,14,0,1,0,3,1,0,13,28,99,198,34
2019-01-01,1,31,0,1,0,3,13,0,11,20,56,247,32
2019-02-01,5,35,4,5,3,3,0,3,19,16,126,182,17
2019-03-01,2,30,1,2,1,1,0,1,18,18,76,178,19
2019-04-01,1,31,0,1,0,1,0,0,23,21,110,216,28
2019-05-01,2,36,1,2,1,3,1,1,30,24,135,187,21
2019-06-01,5,54,4,5,2,4,4,4,38,32,143,185,22
2019-07-01,3,32,2,2,0,6,1,2,45,29,170,209,30
2019-08-01,5,40,4,2,0,3,0,4,57,41,225,200,25
2019-09-01,4,45,3,3,1,7,4,3,70,59,254,218,33
2019-10-01,10,59,9,7,4,20,1,16,90,74,346,204,28
2019-11-01,7,37,6,6,3,9,1,6,109,88,539,264,31
2019-12-01,6,27,4,5,1,9,2,6,67,41,259,329,52
2020-01-01,3,31,1,3,1,7,2,3,77,57,379,277,43
2020-02-01,7,44,5,4,1,14,1,9,121,79,427,290,46
2020-03-01,6,42,4,6,2,11,3,8,105,71,513,285,28
2020-04-01,4,64,2,4,0,15,1,9,153,131,732,288,52
2020-05-01,15,59,13,7,4,27,2,19,160,126,683,321,51
2020-06-01,9,69,5,4,1,26,8,18,160,134,788,254,42
2020-07-01,10,45,6,6,2,9,27,7,124,108,529,2629,96
2020-08-01,7,15,6,6,3,0,0,0,96,55,396,486,54
