dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-03-01,7,23,5,4,2,7,1,4,492,398,3282,10,4
2015-04-01,5,31,2,3,1,4,1,4,7,8,23,8,3
2015-05-01,1,1,0,1,0,1,0,0,2,2,30,6,2
2015-06-01,5,5,4,2,1,5,0,0,8,0,5,5,1
2015-07-01,5,59,2,3,0,14,4,16,18,97,429,15,2
2015-08-01,4,27,1,2,0,9,2,6,12,12,27,16,5
2015-09-01,5,14,0,2,0,7,4,4,14,12,50,8,1
2015-10-01,3,7,1,2,0,5,2,3,13,10,65,8,0
2015-11-01,5,28,2,2,0,6,0,6,10,10,60,17,3
2015-12-01,4,18,2,4,2,3,0,3,9,6,37,13,1
2016-01-01,7,26,4,4,3,9,4,4,14,13,88,11,6
2016-02-01,5,27,3,2,1,4,3,1,14,15,169,17,6
2016-03-01,3,36,1,2,0,6,1,4,17,19,117,15,2
2016-04-01,1,14,0,1,0,0,0,1,3,6,51,16,1
2016-05-01,5,7,4,2,0,7,3,0,13,8,69,13,4
2016-06-01,6,26,1,4,1,5,2,4,14,13,80,11,3
2016-07-01,1,12,0,1,0,0,0,0,1,2,32,13,1
2016-08-01,3,3,2,2,1,2,0,0,5,3,12,8,3
2016-09-01,3,23,1,3,1,2,0,5,7,9,52,21,3
2016-10-01,3,65,2,2,0,4,0,2,17,11,90,19,3
2016-11-01,1,26,0,1,0,0,0,0,11,11,122,19,3
2016-12-01,2,12,1,1,0,1,3,1,9,10,107,18,1
2017-01-01,5,31,3,3,2,5,2,2,16,13,238,19,4
2017-02-01,4,34,1,3,1,5,1,4,14,8,129,19,3
2017-03-01,4,291,2,2,0,11,4,7,16,20,139,21,2
2017-04-01,3,28,0,2,0,4,3,2,22,24,166,17,3
2017-05-01,8,63,4,7,3,11,3,7,26,31,191,23,2
2017-06-01,3,32,1,3,1,2,0,1,6,2,91,11,4
2017-07-01,4,10,2,4,1,6,0,4,11,6,46,23,2
2017-08-01,2,18,1,2,0,2,1,2,9,8,53,20,3
2017-09-01,4,18,1,2,0,3,0,2,11,6,61,13,2
2017-10-01,5,18,1,2,0,11,3,8,18,16,83,14,0
2017-11-01,3,7,2,1,0,5,0,5,18,15,93,22,2
2017-12-01,2,31,0,1,0,14,2,10,35,25,133,20,1
2018-01-01,4,6,1,3,0,7,0,5,15,12,116,24,3
2018-02-01,6,22,3,3,1,7,2,6,15,12,89,24,3
2018-03-01,5,15,3,4,2,9,6,8,15,22,80,17,3
2018-04-01,5,9,3,2,0,6,2,3,17,9,91,21,2
2018-05-01,5,34,2,3,1,11,5,7,33,28,113,25,6
2018-06-01,3,29,0,2,0,18,5,13,32,27,177,21,2
2018-07-01,6,14,2,3,1,9,2,5,19,15,128,26,3
2018-08-01,6,33,3,3,1,14,7,10,29,34,218,28,2
2018-09-01,2,4,0,2,0,5,0,4,15,10,22,33,4
2018-10-01,4,14,1,2,1,8,1,6,15,13,71,23,3
2018-11-01,6,34,1,3,0,11,1,11,22,22,138,19,5
2018-12-01,8,26,2,5,2,9,1,8,21,32,298,30,6
2019-01-01,3,8,1,1,0,5,0,3,9,4,57,26,5
2019-02-01,4,11,2,2,1,5,1,5,10,14,58,21,4
2019-03-01,6,18,2,2,0,8,3,3,16,10,75,37,3
2019-04-01,6,45,3,3,2,12,1,10,24,22,122,18,5
2019-05-01,7,33,3,5,2,9,2,8,21,18,106,27,3
2019-06-01,10,62,6,4,1,16,1,13,26,37,236,16,10
2019-07-01,2,6,0,1,0,4,0,1,14,4,77,22,0
2019-08-01,5,29,1,3,0,11,4,5,23,17,90,28,4
2019-09-01,10,26,4,6,4,37,7,14,46,29,261,25,6
2019-10-01,4,19,1,2,0,32,7,14,55,30,270,24,3
2019-11-01,4,21,2,2,1,18,34,7,34,56,579,31,4
2019-12-01,4,26,0,2,0,6,4,4,17,18,97,23,4
2020-01-01,8,15,5,6,3,14,4,10,25,23,109,25,7
2020-02-01,6,7,3,4,2,5,4,2,8,11,101,25,6
2020-03-01,5,49,1,2,0,7,3,9,15,23,140,32,1
2020-04-01,5,63,2,2,1,7,1,3,33,25,221,31,6
2020-05-01,5,16,1,1,0,6,3,7,20,25,140,33,6
2020-06-01,3,19,2,1,0,3,0,3,13,11,88,30,6
2020-07-01,3,14,1,2,1,1,2,1,7,10,113,28,1
2020-08-01,7,25,4,4,1,9,1,6,21,17,68,29,9
