dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-07-01,7,65,7,4,4,4,0,3,56,48,144,1068,95
2016-08-01,10,124,6,5,1,1,1,1,85,90,156,202,33
2016-09-01,13,145,5,6,1,1,0,1,121,95,249,97,18
2016-10-01,9,116,1,5,0,0,0,0,91,73,207,112,23
2016-11-01,10,110,2,7,2,0,0,0,91,76,267,52,12
2016-12-01,9,119,0,6,0,0,0,0,85,82,173,83,29
2017-01-01,11,165,3,9,3,0,0,0,117,108,196,52,9
2017-02-01,11,189,0,8,0,0,0,0,126,128,420,36,9
2017-03-01,12,149,1,9,1,2,0,2,126,127,300,56,11
2017-04-01,9,108,0,7,0,0,0,0,85,84,163,78,16
2017-05-01,10,101,1,7,0,0,0,0,79,73,96,48,7
2017-06-01,12,65,1,7,0,0,0,0,48,43,88,26,9
2017-07-01,10,72,1,6,0,0,0,0,59,56,164,45,1
2017-08-01,10,71,0,5,0,0,0,0,56,44,78,48,9
2017-09-01,11,137,2,6,0,0,0,0,92,82,122,53,14
2017-10-01,12,137,2,5,0,0,0,0,67,68,147,44,10
2017-11-01,16,155,3,7,0,0,0,0,101,107,342,31,8
2017-12-01,13,121,3,5,0,0,0,0,82,82,228,33,6
2018-01-01,15,122,1,5,0,0,0,0,104,94,298,36,5
2018-02-01,11,115,0,6,0,0,0,0,113,113,286,14,8
2018-03-01,14,226,2,7,1,0,0,0,168,163,625,48,11
2018-04-01,11,136,0,7,0,0,0,0,115,110,483,30,8
2018-05-01,13,170,0,7,0,0,0,0,154,161,693,24,7
2018-06-01,11,152,0,7,0,0,0,0,132,126,541,41,5
2018-07-01,14,134,1,8,1,0,0,0,124,125,593,26,5
2018-08-01,13,149,0,7,0,0,0,0,138,138,590,33,8
2018-09-01,11,127,0,7,0,0,0,0,128,125,538,23,6
2018-10-01,12,113,1,7,1,0,0,0,99,91,281,17,7
2018-11-01,11,131,0,6,0,0,0,0,135,134,369,22,8
2018-12-01,11,121,0,6,0,0,0,0,85,92,281,22,5
2019-01-01,11,92,0,6,0,0,0,0,90,85,150,21,3
2019-02-01,9,84,1,6,1,0,0,0,74,70,137,28,7
2019-03-01,9,102,0,6,0,0,0,0,84,82,176,23,7
2019-04-01,7,76,0,5,0,0,0,0,74,75,185,21,0
2019-05-01,7,58,1,3,0,0,0,0,62,61,170,21,4
2019-06-01,8,58,0,4,0,0,0,0,54,61,163,19,4
2019-07-01,3,62,0,2,0,0,0,0,60,56,148,18,3
2019-08-01,2,84,0,1,0,0,0,0,61,52,112,19,8
2019-09-01,3,63,0,2,0,0,0,0,69,64,143,33,4
2019-10-01,5,80,1,3,1,0,0,0,73,74,157,24,12
2019-11-01,7,67,4,5,1,0,0,0,79,74,227,20,7
2019-12-01,9,56,2,5,1,0,0,0,62,57,131,19,5
2020-01-01,6,165,0,4,0,0,0,0,113,111,269,15,4
2020-02-01,5,131,0,4,0,0,0,0,125,123,225,13,1
2020-03-01,7,78,1,4,0,0,0,0,96,92,144,16,4
2020-04-01,8,138,0,4,0,0,0,0,74,79,106,29,13
2020-05-01,5,93,0,4,0,0,0,0,67,70,175,19,8
2020-06-01,5,72,0,4,0,0,0,0,65,55,138,22,3
2020-07-01,7,75,0,4,0,0,0,0,56,51,174,18,7
2020-08-01,7,61,1,4,0,0,0,0,65,67,190,15,4
