dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-07-01,5,64,5,4,4,5,0,3,47,41,97,367,43
2016-08-01,6,173,3,6,3,0,1,1,100,89,119,28,11
2016-09-01,8,138,3,6,1,0,0,0,115,105,185,15,4
2016-10-01,8,134,2,6,1,0,0,0,126,116,154,37,5
2016-11-01,9,149,1,7,0,0,0,0,135,121,190,20,3
2016-12-01,8,106,1,8,1,0,0,0,80,76,163,30,9
2017-01-01,11,117,5,8,2,0,0,0,104,96,215,6,3
2017-02-01,8,143,0,7,0,0,0,0,112,97,99,17,7
2017-03-01,9,220,1,7,1,0,0,0,162,157,162,17,4
2017-04-01,8,180,1,8,1,0,0,0,167,183,400,39,12
2017-05-01,11,248,2,8,0,0,0,0,157,160,239,18,6
2017-06-01,11,250,2,10,1,0,0,0,162,185,235,14,4
2017-07-01,8,96,0,7,0,0,0,0,97,97,86,20,0
2017-08-01,6,109,0,6,0,0,0,0,87,101,137,13,4
2017-09-01,5,133,0,5,0,0,0,0,128,122,95,19,4
2017-10-01,6,91,1,5,0,0,0,0,88,94,87,15,10
2017-11-01,10,90,3,6,1,0,0,0,144,140,128,14,6
2017-12-01,7,142,0,5,0,0,0,0,150,139,97,16,5
2018-01-01,7,140,0,4,0,0,0,0,199,207,76,10,5
2018-02-01,12,292,3,6,0,0,0,0,242,233,132,10,4
2018-03-01,12,467,0,7,0,0,0,0,414,412,231,7,7
2018-04-01,8,240,1,5,0,0,0,0,266,266,209,8,2
2018-05-01,12,147,1,5,0,0,0,0,227,226,184,7,2
2018-06-01,9,299,0,5,0,0,0,0,387,387,211,9,3
2018-07-01,7,259,0,4,0,0,0,0,333,335,276,2,3
2018-08-01,8,243,0,6,0,0,0,0,265,262,138,2,2
2018-09-01,9,174,0,6,0,0,0,0,290,269,204,5,1
2018-10-01,9,200,1,5,0,0,0,0,251,265,153,10,3
2018-11-01,12,225,2,6,1,0,0,0,248,256,173,9,2
2018-12-01,10,167,1,5,1,0,0,0,250,229,53,12,0
2019-01-01,9,179,1,4,0,0,0,0,191,188,71,12,3
2019-02-01,8,219,0,5,0,0,0,0,246,248,278,8,3
2019-03-01,10,255,0,6,0,0,0,0,296,288,615,8,6
2019-04-01,9,195,0,5,0,0,0,0,262,244,508,4,0
2019-05-01,10,110,1,6,0,0,0,0,161,144,330,10,3
2019-06-01,10,129,1,6,0,0,0,0,173,190,368,9,1
2019-07-01,8,146,1,6,0,0,0,0,205,200,437,6,5
2019-08-01,7,122,1,4,0,8,3,5,149,139,269,7,5
2019-09-01,8,118,1,6,1,3,0,3,139,135,274,8,2
2019-10-01,6,240,0,4,0,2,0,2,266,272,550,6,3
2019-11-01,7,164,1,4,0,3,0,3,197,179,385,8,5
2019-12-01,7,141,0,4,0,1,0,1,170,171,357,6,3
2020-01-01,9,167,1,5,0,2,0,2,165,169,356,5,3
2020-02-01,6,118,0,5,0,3,1,2,130,129,301,10,1
2020-03-01,6,67,0,4,0,1,0,1,179,121,350,7,3
2020-04-01,8,211,1,4,0,2,0,2,218,266,370,11,6
2020-05-01,8,200,1,4,0,3,1,2,250,223,433,10,3
2020-06-01,8,187,1,4,0,2,0,2,186,210,443,9,7
2020-07-01,9,169,2,5,0,1,0,1,198,188,450,10,5
2020-08-01,9,204,2,4,0,1,0,1,235,360,942,5,1
