dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-12-01,4,46,4,3,3,10,0,7,30,12,64,75,5
2016-01-01,6,78,4,4,1,11,1,9,30,14,142,39,4
2016-02-01,8,104,3,5,1,21,2,20,46,40,149,37,5
2016-03-01,9,115,7,5,2,15,1,15,41,30,212,14,7
2016-04-01,3,5,1,3,0,1,0,1,19,11,95,15,5
2016-05-01,5,27,2,3,1,5,1,4,26,13,77,29,8
2016-06-01,2,7,0,2,0,1,0,1,7,2,8,19,11
2016-07-01,3,14,1,2,1,4,1,2,17,4,49,19,5
2016-08-01,2,10,0,2,0,0,0,1,12,6,58,16,6
2016-09-01,2,15,1,2,0,2,0,2,12,16,102,11,4
2016-10-01,3,3,2,2,1,1,0,1,6,3,42,11,7
2016-11-01,1,4,0,1,0,0,0,0,8,1,57,11,7
2016-12-01,2,3,1,2,1,0,0,0,3,5,18,12,5
2017-01-01,4,5,1,4,0,3,1,1,5,6,56,20,6
2017-02-01,2,3,1,2,0,1,0,1,11,7,40,14,2
2017-03-01,4,13,1,4,0,2,1,1,9,5,97,13,5
2017-04-01,3,14,2,3,2,5,1,4,13,13,49,16,4
2017-05-01,1,7,0,1,0,1,1,1,8,5,24,13,5
2017-06-01,2,7,1,2,1,1,1,0,7,9,65,21,4
2017-07-01,5,21,2,4,1,5,2,5,14,10,68,5,5
2017-08-01,2,31,0,2,0,0,0,0,7,10,68,10,5
2017-09-01,1,21,0,1,0,0,0,0,3,1,48,15,4
2017-10-01,6,18,3,4,0,0,0,0,14,7,47,11,8
2017-11-01,5,41,1,3,0,2,0,2,29,25,83,8,4
2017-12-01,3,19,0,2,0,0,0,0,17,6,61,14,6
2018-01-01,3,6,1,3,1,0,0,0,20,9,89,10,7
2018-02-01,4,6,1,3,1,0,0,0,5,6,17,13,5
2018-03-01,4,44,0,4,0,0,0,0,11,7,40,6,5
2018-04-01,6,30,0,5,0,0,0,0,8,7,20,12,9
2018-05-01,2,50,1,2,0,0,0,0,9,10,20,15,4
2018-06-01,6,34,0,4,0,2,1,1,18,20,68,16,5
2018-07-01,6,19,3,3,0,0,0,0,16,14,57,9,6
2018-08-01,3,17,1,3,0,0,0,0,17,16,36,13,4
2018-09-01,3,11,0,2,0,0,0,0,8,5,33,15,3
2018-10-01,3,9,2,3,0,1,0,1,14,73,190,12,7
2018-11-01,4,11,0,3,0,1,0,1,6,11,29,12,5
2018-12-01,4,17,0,3,0,1,0,1,12,10,15,13,5
2019-01-01,1,2,0,1,0,0,0,0,8,9,56,26,3
2019-02-01,3,20,1,2,0,1,0,1,13,15,44,16,7
2019-03-01,3,17,0,2,0,1,0,1,10,16,32,10,3
2019-04-01,2,8,0,2,0,0,0,0,11,10,37,14,2
2019-05-01,3,22,0,2,0,1,0,1,13,9,19,8,7
2019-06-01,3,7,1,2,0,0,0,0,34,9,53,6,5
2019-07-01,4,14,1,3,0,0,0,0,14,12,79,8,6
2019-08-01,2,2,1,2,1,0,0,0,10,6,51,10,3
2019-09-01,2,9,0,1,0,2,1,1,10,8,31,10,4
2019-10-01,2,24,0,2,0,2,0,1,17,14,91,8,4
2019-11-01,5,24,3,5,2,1,0,2,27,20,115,17,6
2019-12-01,4,12,0,3,0,1,0,1,14,12,43,6,4
2020-01-01,6,21,2,3,0,1,0,1,26,27,65,14,5
2020-02-01,3,21,0,2,0,1,0,1,36,57,149,18,3
2020-03-01,3,13,1,2,0,0,0,0,27,23,66,12,2
2020-04-01,4,25,1,2,0,3,2,1,46,41,71,9,4
2020-05-01,5,28,1,3,0,3,0,2,25,26,93,11,5
2020-06-01,4,29,0,3,0,0,0,1,40,46,75,9,3
2020-07-01,3,15,0,3,0,0,0,0,13,14,79,12,4
2020-08-01,2,6,0,2,0,0,0,0,10,7,17,13,4
