dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-07-01,1,28,0,1,0,0,0,0,1,0,6,37,6
2015-08-01,0,0,0,0,0,0,0,0,1,1,7,3,1
2015-09-01,1,1,0,1,0,0,0,0,0,1,1,0,0
2015-10-01,1,3,0,1,0,0,0,0,0,0,0,11,1
2015-11-01,1,11,0,1,0,0,0,0,1,1,4,5,0
2015-12-01,1,65,0,1,0,0,0,0,0,0,0,13,4
2016-01-01,1,60,0,1,0,0,0,0,1,1,4,48,8
2016-02-01,1,60,0,1,0,0,0,0,1,1,8,11,1
2016-03-01,1,61,0,1,0,0,0,0,0,0,0,8,3
2016-04-01,1,41,0,1,0,0,0,0,0,0,0,1,2
2016-05-01,1,55,0,1,0,0,0,0,0,0,0,3,2
2016-06-01,2,70,1,2,1,1,0,1,4,4,8,49,4
2016-07-01,1,103,0,1,0,0,0,0,6,3,31,82,10
2016-08-01,1,33,0,1,0,0,0,0,4,7,25,24,5
2016-09-01,3,42,2,3,2,2,2,0,15,15,108,12,2
2016-10-01,2,11,1,1,0,0,0,0,7,6,66,15,3
2016-11-01,2,25,0,2,0,0,0,0,4,5,28,10,5
2016-12-01,1,23,0,1,0,0,0,0,2,1,9,9,3
2017-01-01,1,48,0,1,0,0,0,0,2,3,15,30,3
2017-02-01,1,115,0,1,0,0,0,0,2,1,9,11,1
2017-03-01,3,165,2,3,2,3,1,2,14,12,113,56,4
2017-04-01,2,91,0,2,0,1,1,0,13,13,247,16,4
2017-05-01,3,306,1,2,0,0,0,0,43,38,620,18,4
2017-06-01,1,105,0,1,0,0,0,0,8,2,57,14,2
2017-07-01,2,111,1,1,0,1,0,1,8,11,101,9,2
2017-08-01,1,88,0,1,0,0,0,0,4,7,89,43,5
2017-09-01,1,122,0,1,0,0,0,0,2,3,19,20,5
2017-10-01,1,22,0,1,0,0,0,0,3,1,15,25,5
2017-11-01,1,39,0,1,0,0,0,0,5,6,44,32,2
2017-12-01,1,52,0,1,0,0,0,0,3,2,20,24,4
2018-01-01,2,86,1,1,0,0,0,0,2,1,10,17,2
2018-02-01,1,38,0,1,0,0,0,0,6,3,28,40,6
2018-03-01,1,21,0,1,0,0,0,0,3,4,33,77,1
2018-04-01,1,80,0,1,0,0,0,0,5,4,31,30,4
2018-05-01,1,69,0,1,0,0,0,0,3,2,8,45,8
2018-06-01,1,24,0,1,0,0,0,0,2,6,46,18,6
2018-07-01,1,10,0,1,0,0,0,0,1,0,3,18,1
2018-08-01,3,61,2,3,2,1,1,0,32,23,245,52,6
2018-09-01,2,119,0,2,0,0,0,0,12,18,184,27,1
2018-10-01,3,85,2,2,1,0,0,0,26,20,235,84,14
2018-11-01,3,109,1,1,0,0,0,0,24,24,290,44,6
2018-12-01,4,78,2,1,0,1,1,0,44,33,475,47,4
2019-01-01,1,87,0,1,0,0,0,0,24,25,243,30,4
2019-02-01,1,74,0,1,0,0,0,0,20,18,289,11,2
2019-03-01,2,114,0,1,0,0,0,0,17,30,247,26,4
2019-04-01,7,101,6,4,2,1,1,0,33,23,265,569,27
2019-05-01,3,86,2,2,1,0,0,0,19,27,431,53,6
2019-06-01,2,214,0,2,0,1,0,1,40,39,705,93,7
2019-07-01,2,307,0,2,0,0,0,0,42,45,774,71,6
2019-08-01,6,171,2,3,0,0,0,0,50,46,684,76,6
2019-09-01,1,84,0,1,0,0,0,0,18,20,351,45,7
2019-10-01,1,67,0,1,0,0,0,0,28,20,312,89,7
2019-11-01,3,56,0,2,0,0,0,0,19,19,213,70,8
2019-12-01,4,61,2,4,0,0,0,0,25,27,193,82,10
2020-01-01,3,126,0,2,0,0,0,0,20,18,284,55,4
2020-02-01,2,174,0,1,0,0,0,0,17,24,251,56,3
2020-03-01,3,163,2,3,1,0,0,0,44,42,441,109,11
2020-04-01,4,177,2,3,1,0,0,0,35,40,710,76,11
2020-05-01,3,208,1,3,1,0,0,0,44,33,495,65,7
2020-06-01,2,127,0,2,0,0,0,0,57,67,967,73,8
2020-07-01,3,97,1,3,0,0,0,0,32,34,384,70,7
2020-08-01,2,66,0,2,0,0,0,0,20,23,338,44,3
