dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-10-01,1,55,0,1,0,0,0,0,1,1,0,0,0
2015-11-01,1,40,0,1,0,0,0,0,1,1,16,3,0
2015-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-01,1,2,0,1,0,0,0,0,0,0,0,1,0
2016-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2016-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,0,0,0,0,0,0,0,0,0,0,0,2,0
2016-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,2,0
2017-03-01,2,2,1,2,1,1,0,1,3,2,11,0,1
2017-04-01,1,1,0,1,0,0,0,0,0,0,0,1,0
2017-05-01,2,7,1,1,0,1,0,1,1,1,2,2,0
2017-06-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2017-07-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2017-08-01,1,32,0,1,0,0,0,0,3,0,6,240,4
2017-09-01,3,24,2,2,1,2,0,2,5,3,32,90,2
2017-10-01,1,5,0,1,0,0,0,0,2,0,7,91,2
2017-11-01,3,18,2,2,1,3,0,3,8,8,23,169,3
2017-12-01,1,49,0,1,0,0,0,0,10,7,79,104,2
2018-01-01,3,51,2,1,0,1,0,1,19,14,181,282,4
2018-02-01,3,33,2,3,2,3,0,3,8,9,73,157,4
2018-03-01,5,36,4,4,3,3,0,2,15,8,46,156,10
2018-04-01,5,53,3,3,1,4,0,5,21,19,112,206,8
2018-05-01,4,62,2,4,2,8,0,8,21,26,126,97,4
2018-06-01,8,33,6,7,5,9,0,8,25,20,97,127,7
2018-07-01,3,31,1,2,0,1,0,1,10,6,47,234,4
2018-08-01,4,64,2,1,0,7,0,7,21,14,78,291,10
2018-09-01,4,123,3,2,0,2,0,2,11,11,74,222,5
2018-10-01,5,73,3,4,2,5,0,4,30,31,235,199,8
2018-11-01,8,106,6,2,0,10,1,8,49,46,259,913,31
2018-12-01,5,45,3,1,0,4,0,4,23,15,82,251,12
2019-01-01,12,77,11,9,6,12,1,11,50,49,341,494,17
2019-02-01,8,70,6,7,5,18,1,15,41,29,186,474,15
2019-03-01,5,91,3,5,3,6,1,4,25,29,275,191,12
2019-04-01,6,93,4,3,2,8,4,5,37,37,369,213,9
2019-05-01,5,94,1,3,1,11,2,5,34,19,176,211,8
2019-06-01,9,79,6,4,1,18,2,17,40,41,256,191,8
2019-07-01,8,134,5,5,1,35,4,29,68,72,411,371,15
2019-08-01,7,151,5,3,2,37,2,37,56,52,148,336,18
2019-09-01,8,91,5,3,1,23,1,22,47,33,186,520,28
2019-10-01,15,139,9,9,4,33,4,28,84,112,619,734,28
2019-11-01,14,123,8,8,4,30,5,23,65,59,294,609,19
2019-12-01,18,142,14,4,2,43,2,38,77,65,409,710,29
2020-01-01,12,90,5,6,3,31,5,28,57,59,418,688,22
2020-02-01,15,51,11,6,4,24,5,20,63,51,431,544,18
2020-03-01,18,68,10,5,0,30,2,25,72,60,418,633,32
2020-04-01,14,98,8,5,2,28,1,24,59,60,443,412,24
2020-05-01,13,76,8,6,3,19,4,15,46,43,323,603,32
2020-06-01,11,67,7,6,4,18,2,17,31,25,223,335,19
2020-07-01,11,55,8,5,3,20,4,14,35,30,233,324,33
2020-08-01,12,40,7,5,3,23,3,16,42,37,278,337,22
