dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-11-01,2,58,0,1,0,24,1,21,39,30,49,64,4
2016-12-01,3,54,1,1,0,21,3,17,29,27,111,7,0
2017-01-01,5,70,2,2,1,18,3,14,24,20,195,13,3
2017-02-01,4,102,1,2,1,38,4,34,55,58,249,19,1
2017-03-01,5,193,2,1,0,70,1,72,88,89,309,42,7
2017-04-01,5,93,2,2,1,42,3,38,61,57,269,35,6
2017-05-01,4,45,0,1,0,20,2,19,32,29,143,32,0
2017-06-01,4,28,1,2,1,14,2,12,16,16,40,17,2
2017-07-01,5,47,0,2,0,23,2,20,30,29,156,35,5
2017-08-01,5,15,2,3,2,8,1,6,18,12,105,25,5
2017-09-01,3,72,1,2,1,37,6,31,54,49,286,28,0
2017-10-01,6,96,3,3,1,47,4,43,65,66,198,29,4
2017-11-01,4,75,0,2,0,42,5,34,59,48,118,57,3
2017-12-01,6,31,2,3,0,20,1,14,32,26,181,50,4
2018-01-01,7,39,3,2,1,17,1,17,23,24,60,33,4
2018-02-01,5,54,2,3,1,29,6,22,37,42,251,38,4
2018-03-01,4,84,0,2,0,41,2,43,87,74,378,34,3
2018-04-01,7,102,2,3,1,53,5,48,80,89,358,28,4
2018-05-01,6,84,2,2,1,42,3,37,62,54,197,28,5
2018-06-01,6,54,2,2,0,25,4,20,53,39,174,44,2
2018-07-01,8,74,4,4,2,49,5,39,80,67,261,29,3
2018-08-01,13,119,5,7,2,58,7,54,101,91,351,36,13
2018-09-01,9,61,4,4,1,31,2,30,45,44,144,47,7
2018-10-01,6,49,2,3,1,23,3,21,37,30,76,76,10
2018-11-01,7,72,2,4,1,36,3,33,68,56,246,88,9
2018-12-01,6,49,2,3,0,26,1,24,46,42,205,59,7
2019-01-01,6,71,1,3,1,37,4,31,64,54,246,92,7
2019-02-01,6,42,2,2,1,17,2,17,28,29,100,46,5
2019-03-01,6,114,1,3,0,48,1,47,82,72,211,49,5
2019-04-01,8,63,3,5,1,34,2,29,64,48,227,63,12
2019-05-01,11,62,6,6,2,38,4,28,84,55,291,67,7
2019-06-01,7,42,3,2,0,21,3,21,36,48,143,56,4
2019-07-01,8,13,4,4,1,8,0,5,20,7,78,35,8
2019-08-01,9,45,5,6,3,16,1,18,30,37,123,49,11
2019-09-01,6,38,4,3,2,15,1,16,31,30,123,51,10
2019-10-01,5,20,0,2,0,11,1,8,31,21,138,38,4
2019-11-01,7,25,4,5,3,14,1,12,39,22,166,53,5
2019-12-01,7,54,4,4,2,28,4,25,45,50,195,53,7
2020-01-01,12,46,4,5,0,18,2,15,43,37,221,46,7
2020-02-01,6,42,1,4,1,19,1,18,40,36,203,33,4
2020-03-01,7,62,4,3,1,26,1,26,51,50,165,42,11
2020-04-01,5,33,1,4,1,16,1,13,33,23,110,49,8
2020-05-01,7,15,2,4,1,7,1,8,11,12,68,47,7
2020-06-01,4,16,1,2,1,15,1,12,24,23,82,43,4
2020-07-01,3,23,0,1,0,18,0,14,26,19,127,32,7
2020-08-01,3,32,1,1,0,16,3,14,25,18,41,38,7
