dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-01-01,2,33,0,2,0,0,0,0,1,0,384,3,4
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,3,3
2016-03-01,1,16,0,1,0,0,0,0,0,0,0,4,3
2016-04-01,1,1,0,1,0,0,0,0,0,0,0,3,2
2016-05-01,1,63,0,1,0,1,1,0,4,3,10,61,19
2016-06-01,1,25,0,1,0,0,0,0,3,3,26,72,35
2016-07-01,1,45,0,1,0,0,0,0,0,0,0,34,21
2016-08-01,1,16,0,1,0,0,0,0,5,3,2,43,20
2016-09-01,1,34,0,1,0,1,1,0,2,4,2,49,19
2016-10-01,1,19,0,1,0,1,0,0,4,2,16,55,27
2016-11-01,1,13,0,1,0,1,0,0,1,0,1,36,25
2016-12-01,1,1,0,1,0,1,0,0,3,0,7,35,22
2017-01-01,1,6,0,1,0,0,0,0,0,0,0,23,11
2017-02-01,1,22,0,1,0,0,2,0,1,2,7,36,20
2017-03-01,1,76,0,1,0,2,3,0,14,3,33,129,59
2017-04-01,1,40,0,1,0,2,2,0,15,3,39,115,49
2017-05-01,1,71,0,1,0,4,3,0,21,10,61,130,72
2017-06-01,2,26,0,2,0,3,2,0,21,9,96,1134,313
2017-07-01,1,57,0,1,0,7,3,0,31,10,96,231,98
2017-08-01,4,57,3,2,1,5,7,2,27,12,91,173,73
2017-09-01,2,15,1,2,0,5,4,1,27,11,91,189,87
2017-10-01,2,9,0,2,0,14,10,0,31,10,70,126,52
2017-11-01,2,22,1,2,1,2,0,1,18,1,46,169,64
2017-12-01,4,76,3,2,1,4,4,3,32,15,76,184,77
2018-01-01,2,45,0,2,0,3,2,0,22,5,66,199,82
2018-02-01,3,13,2,3,1,2,0,1,14,44,124,162,69
2018-03-01,5,24,2,4,2,8,2,1,34,72,162,221,94
2018-04-01,3,16,2,2,1,6,1,1,34,33,126,220,111
2018-05-01,1,12,0,1,0,2,0,0,35,35,139,273,108
2018-06-01,3,26,2,2,1,3,0,4,22,20,85,251,89
2018-07-01,2,5,1,2,1,4,1,0,37,5,79,241,90
2018-08-01,3,29,1,2,0,3,1,3,27,7,48,247,131
2018-09-01,2,35,1,2,0,6,9,1,31,88,195,267,101
2018-10-01,4,37,3,4,2,8,13,6,53,109,330,309,127
2018-11-01,3,50,2,3,2,6,1,0,76,51,339,447,174
2018-12-01,2,7,1,2,1,2,0,0,56,13,156,374,146
2019-01-01,2,13,1,2,0,2,1,0,37,8,83,342,139
2019-02-01,2,47,1,2,1,2,3,3,30,114,338,237,76
2019-03-01,1,10,0,1,0,0,0,0,36,8,77,366,142
2019-04-01,2,17,1,2,0,3,0,1,42,67,247,517,205
2019-05-01,5,48,4,3,0,8,5,3,65,47,205,436,196
2019-06-01,1,14,0,1,0,4,3,1,66,68,255,366,171
2019-07-01,4,47,3,4,1,4,1,3,64,73,247,565,259
2019-08-01,6,10,5,4,0,8,0,1,66,47,217,475,236
2019-09-01,3,7,1,2,0,2,0,1,60,15,173,476,174
2019-10-01,9,50,8,6,2,17,3,9,64,36,146,465,221
2019-11-01,6,77,4,4,1,11,9,10,90,159,437,532,235
2019-12-01,7,42,6,6,2,17,4,4,109,74,379,659,268
2020-01-01,2,15,0,2,0,2,7,3,44,33,111,606,243
2020-02-01,1,5,0,1,0,1,0,0,19,71,243,278,131
2020-03-01,3,34,2,2,1,9,13,7,51,92,235,438,202
2020-04-01,3,43,2,3,2,10,1,2,101,61,256,509,228
2020-05-01,4,14,3,4,1,11,0,4,84,33,178,546,222
2020-06-01,3,7,2,2,1,3,1,0,61,13,93,418,187
2020-07-01,1,5,0,1,0,2,2,2,78,18,113,433,230
2020-08-01,3,7,2,3,1,9,1,2,64,14,61,411,195
